Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,"Duels won, %",Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Successful attacking actions per 90,Non-penalty goals per 90,xG per 90,Assists per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Progressive runs per 90,Received passes per 90,Passes per 90,Forward passes per 90,"Accurate forward passes, %","Accurate short / medium passes, %","Accurate long passes, %",xA per 90,Key passes per 90,Passes to penalty area per 90,Progressive passes per 90,Prevented goals per 90,Exits per 90,Season,Competition
A.  Castillo Manyoma,Estudiantes,Cortuluá,"AMF, CF, RW",20,750000,2025-06-30,35,2740,42.32,Colombia,right,169,61,no,6.57,58.68,3.22,32.65,3.25,0.16,0.19,0.07,29.41,3.58,46.79,1.35,23.19,30.91,8.24,62.15,82.01,51.72,0.08,0.33,2.92,4.01,,,2022,Colombia 1
A. Ábalos,Rangers,Rangers,"CF, RW, LW",37,100000,,32,2634,41.88,Argentina,right,165,67,no,3.69,57.89,2.39,24.29,5.91,0.34,0.29,0.1,43.08,6.83,53,2.15,15.48,23.64,7.55,64.25,79.35,54,0.18,0.68,2.39,4.17,,,2022,Chile 2
A. Abet,Gimnasia Jujuy,Gimnasia Jujuy,"RCB, RB, DMF",25,0,,23,2044,60.34,Argentina,right,181,72,no,12.83,69.7,3.09,53.03,1.87,0.05,0.02,0.05,33.33,2.86,59.02,1.03,34.79,54.88,26.64,78.73,88.68,54.37,0.01,0.05,0.98,10.82,,,2022,Argentina 2
A. Acevedo,Magallanes,Magallanes,RCB,40,50000,,30,2877,64.53,Chile,right,176,74,no,8.78,70.47,4.84,59.33,0.52,0,0.06,0.03,12.5,0.52,87.5,0.36,33.88,49.41,21.41,73.15,92.43,54.09,0.01,0.03,0.65,9.11,,,2022,Chile 2
A. Acevedo,Rentistas,Rentistas,RB,21,200000,,17,1212,54.04,Uruguay,,0,0,no,12.55,66.91,2.52,44.12,2.67,0,0.03,0,18.18,3.19,62.79,1.04,14.41,25.02,13.22,56.74,72.37,50,0.01,0,2.23,7.43,,,2022,Uruguay 1
Á. Acevedo,,Boavista,"LCB, RCB",27,0,,3,178,41.67,Uruguay,,193,85,no,6.07,42.86,4.55,55.56,0.51,0,0.04,0,100,0,0,0.51,14.16,24.27,13.15,61.54,90,25,0,0,0,3.54,,,2022,Carioca
A. Acosta,,Resistencia,"RW, LAMF, LW",23,0,,9,510,35.92,Paraguay,,177,0,no,7.5,51.22,4.07,42.11,3,0,0.04,0,42.86,4.5,42.86,1.29,18.64,26.36,7.71,55.56,81.19,25,0.02,0.21,3,4.71,,,2022,Paraguay 1
A. Acosta,Sud América,Rentistas,"LCMF, LW, AMF",22,225000,2023-12-31,12,517,43.1,Uruguay,left,178,0,no,9.57,61.82,5.22,26.67,3.13,0,0.06,0,36.36,3.13,61.11,0.87,12.36,23.15,8.18,55.32,75.45,41.67,0.06,0,1.39,5.22,,,2022,Uruguay 1
A. Aguilar,Sportivo Luqueño,Olimpia,GK,35,250000,2023-12-31,12,1124,66.67,Paraguay,right,186,89,no,1.44,0,0.48,66.67,0,0,0,0,0,0,0,0,17.62,25.78,14.89,82.26,97.5,72.95,0,0,0.08,7.93,0.008,1.92,2022,Paraguay 1
A. Aguirre,San Martín San Juan,San Martín San Juan,"RCB, RB, LCB",23,100000,2023-12-31,22,1307,51.95,Argentina,right,184,77,no,11.09,61.42,4.34,44.44,0.76,0.07,0.05,0.07,0,0.76,72.73,0.62,21.14,34.43,17.28,70.52,87.43,55.17,0.06,0.14,0.62,8.54,,,2022,Argentina 2
