,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Aline Moura,1997-07-04,"1,85",BRA,PF/C,16-17,CD Torres N.,POR-11,8,34.5,13.0,39.1%,50.0%,71.7%,4.9,5.3,10.1,2.0,3.5,0.5,1.6,3.4,16.5
2,Aline Moura,1997-07-04,"1,85",BRA,PF/C,17-18,Campinas,BRA-11,23,17.0,4.6,41.3%,0.0%,57.6%,2.0,2.0,4.0,1.0,2.1,0.1,0.5,0.7,5.7
3,Aline Moura,1997-07-04,"1,85",BRA,PF/C,2019,Sesi/Arara.,BRA-11,19,31.8,15.4,53.9%,28.6%,73.2%,3.2,5.9,9.1,2.4,2.2,0.3,1.4,2.4,21.4
4,Aline Moura,1997-07-04,"1,85",BRA,PF/C,20-21,GDESSA,POR-11,19,30.6,13.8,50.5%,7.7%,80.7%,2.9,4.5,7.4,1.0,2.1,0.4,1.4,2.5,15.8
5,Aline Moura,1997-07-04,"1,85",BRA,PF/C,2021,Sesi/Arara.,BRA-12,17,36.0,14.3,48.6%,0.0%,64.4%,3.2,6.0,9.2,2.5,2.1,0.4,1.1,3.3,17.2
6,Aline Moura,1997-07-04,"1,85",BRA,PF/C,2022,Sesi/Arara.,BRA-11,23,28.7,14.2,57.3%,21.9%,73.6%,3.7,4.7,8.3,2.2,1.7,0.6,2.0,2.9,20.8
7,Aline Moura,1997-07-04,"1,85",BRA,PF/C,2022,Sesi/Arara.,BRA-12,15,28.4,14.3,51.1%,29.3%,54.7%,4.4,5.9,10.3,1.9,1.7,0.3,1.9,2.1,19.6
8,Aline Moura,1997-07-04,"1,85",BRA,PF/C,2023,Sesi/Arara.,BRA-11,25,29.9,15.5,54.5%,27.5%,80.6%,3.1,6.8,9.9,2.0,2.2,0.3,1.9,3.1,22.8
9,Aline Moura,1997-07-04,"1,85",BRA,PF/C,2023,Sesi/Arara.,BRA-12,12,24.3,11.4,45.5%,32.4%,70.6%,3.2,5.8,9.0,1.7,1.3,0.5,1.0,2.2,16.2
10,Aline Moura,1997-07-04,"1,85",BRA,PF/C,2024,SESI,LSA-11,5,23.2,11.4,40.5%,62.5%,57.1%,3.4,4.4,7.8,1.0,2.8,0.0,0.6,1.8,9.4
11,Aline Moura,1997-07-04,"1,85",BRA,PF/C,2024,SESI,BRA-11,16,26.8,11.0,51.8%,32.1%,77.5%,1.9,4.4,6.3,1.7,1.9,0.3,1.0,2.7,12.9
12,Aline Moura,1997-07-04,"1,85",BRA,PF/C,2024,SESI,BRA-12,12,31.9,18.0,55.4%,28.0%,77.4%,3.1,8.1,11.2,1.8,2.3,0.5,1.0,2.2,20.4
13,Aline Moura,1997-07-04,"1,85",BRA,PF/C,24-25,Beroe,MZRKL-11,3,30.0,14.3,54.5%,33.3%,87.5%,2.7,4.3,7.0,1.7,1.0,0.3,1.3,1.3,16.0
14,Aline Moura,1997-07-04,"1,85",BRA,PF/C,24-25,Beroe,BUL-11,4,35.0,16.3,55.0%,37.5%,92.3%,5.8,6.5,12.3,1.5,1.3,1.3,1.8,3.0,22.8
