,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Barbara Bazilio,1991-05-06,"1,85",BRA,C,11-12,Sao Caetano,BRA-11,16,10.1,1.5,40.0%,25.0%,40.0%,0.8,1.3,2.1,0.4,1.2,0.1,0.2,0.8,0.9
2,Barbara Bazilio,1991-05-06,"1,85",BRA,C,2014,Rio Claro,BRA-11,14,27.6,7.5,47.7%,24.4%,81.3%,1.6,4.6,6.1,0.8,3.1,0.4,0.9,1.8,5.9
3,Barbara Bazilio,1991-05-06,"1,85",BRA,C,14-15,APAB/Barretos,BRA-11,19,29.2,8.7,49.3%,32.1%,56.3%,0.6,7.2,7.8,1.5,2.7,0.1,1.1,2.4,8.6
4,Barbara Bazilio,1991-05-06,"1,85",BRA,C,15-16,Pres.Valceslau,BRA-11,19,18.8,7.0,53.3%,25.0%,61.9%,1.2,3.6,4.8,0.7,1.9,0.1,0.4,1.7,7.0
5,Barbara Bazilio,1991-05-06,"1,85",BRA,C,17-18,Pres.Valceslau,BRA-11,19,28.6,10.1,51.2%,31.4%,75.7%,2.2,6.9,9.1,2.7,2.0,0.5,0.9,2.9,16.0
6,Barbara Bazilio,1991-05-06,"1,85",BRA,C,2019,Santo Andre,BRA-11,21,28.6,9.7,46.3%,30.8%,78.0%,1.3,6.7,8.0,1.8,2.1,0.1,0.9,1.7,13.4
7,Barbara Bazilio,1991-05-06,"1,85",BRA,C,2020,SESI,BRA-11,1,26.0,10.0,33.3%,33.3%,100.0%,1.0,3.0,4.0,0.0,3.0,0.0,0.0,3.0,7.0
8,Barbara Bazilio,1991-05-06,"1,85",BRA,C,20-21,Vitoria SC,POR-11,23,29.8,10.8,51.4%,40.7%,85.3%,1.1,8.3,9.4,2.8,2.4,0.1,0.7,2.7,15.8
9,Barbara Bazilio,1991-05-06,"1,85",BRA,C,2021,Blumenau,BRA-11,14,17.0,4.3,37.9%,29.0%,84.6%,0.8,2.7,3.5,1.4,1.5,0.3,0.4,0.6,6.1
10,Barbara Bazilio,1991-05-06,"1,85",BRA,C,21-22,Galitos,POR-11,22,35.7,10.3,51.2%,28.2%,88.1%,1.5,10.3,11.7,3.4,2.6,0.2,1.1,4.2,17.3
11,Barbara Bazilio,1991-05-06,"1,85",BRA,C,2022,Gloria do Goita,BRA-11,14,27.5,7.4,49.3%,25.0%,75.0%,0.8,6.1,6.9,2.5,1.8,0.3,1.0,1.2,11.9
12,Barbara Bazilio,1991-05-06,"1,85",BRA,C,22-23,Galitos,POR-11,22,38.3,13.7,50.7%,33.7%,68.0%,1.4,10.7,12.1,4.2,2.3,0.5,0.9,4.0,21.2
13,Barbara Bazilio,1991-05-06,"1,85",BRA,C,2023,Catanduva,BRA-11,10,32.4,12.3,59.2%,31.0%,61.1%,1.0,10.0,11.0,2.7,2.5,0.7,1.2,3.4,17.0
14,Barbara Bazilio,1991-05-06,"1,85",BRA,C,23-24,Imortal,POR-11,24,32.5,10.8,53.2%,27.7%,74.6%,1.3,9.9,11.1,3.3,1.9,0.3,0.9,3.1,17.9
15,Barbara Bazilio,1991-05-06,"1,85",BRA,C,2024,Catanduva,BRA-11,9,35.6,13.1,50.8%,29.6%,83.3%,0.9,9.6,10.4,4.4,2.3,0.3,0.8,3.2,17.3
16,Barbara Bazilio,1991-05-06,"1,85",BRA,C,24-25,Esgueira,POR-11,16,32.1,10.8,54.1%,35.4%,83.3%,0.8,7.2,7.9,3.6,2.7,0.4,1.2,2.6,15.0
