,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Damiris Dantas,1992-11-17,"1,91",BRA,F,11-12,Celta Zorka,ESP-11,25,26.6,13.1,39.7%,14.3%,62.5%,2.5,4.5,7.0,0.6,2.8,0.4,1.0,1.3,11.2
2,Damiris Dantas,1992-11-17,"1,91",BRA,F,2013,Maranhao,BRA-11,9,28.2,12.6,51.1%,0.0%,67.9%,2.1,6.7,8.8,1.1,2.1,1.1,1.8,2.0,14.8
3,Damiris Dantas,1992-11-17,"1,91",BRA,F,2014,Corinthians,BRA-11,18,26.4,11.8,51.4%,39.1%,83.0%,2.1,4.8,6.8,1.6,2.3,0.6,1.7,2.2,13.0
4,Damiris Dantas,1992-11-17,"1,91",BRA,F,2014,Minnesota L.,WNBA,33,20.7,5.2,50.7%,100.0%,76.0%,1.4,3.3,4.7,1.1,2.0,0.3,0.5,0.8,6.6
5,Damiris Dantas,1992-11-17,"1,91",BRA,F,14-15,Corinthians,BRA-11,23,32.2,17.0,57.6%,19.2%,78.1%,1.8,5.3,7.2,1.8,2.4,1.0,0.8,2.3,15.8
6,Damiris Dantas,1992-11-17,"1,91",BRA,F,2015,Atlanta D.,WNBA,16,24.6,8.3,38.9%,33.3%,97.3%,2.0,3.4,5.4,0.7,2.1,0.6,0.9,1.1,7.9
7,Damiris Dantas,1992-11-17,"1,91",BRA,F,2015,Minnesota L.,WNBA,16,16.7,5.6,57.6%,66.7%,78.9%,0.6,2.7,3.3,1.2,2.3,0.3,0.2,1.1,5.3
8,Damiris Dantas,1992-11-17,"1,91",BRA,F,2015,Corinthians,LSA-11,4,29.3,24.5,60.0%,42.9%,76.9%,2.3,6.0,8.3,1.0,3.8,0.3,1.0,2.0,20.8
9,Damiris Dantas,1992-11-17,"1,91",BRA,F,15-16,Corinthians,BRA-11,20,33.4,19.3,50.6%,31.3%,86.1%,1.3,6.8,8.0,1.5,2.3,0.6,1.3,1.9,21.0
10,Damiris Dantas,1992-11-17,"1,91",BRA,F,16-17,Corinthians,BRA-11,25,30.8,21.2,52.2%,36.4%,78.9%,2.1,5.9,8.0,1.8,2.5,0.4,2.0,1.7,25.0
11,Damiris Dantas,1992-11-17,"1,91",BRA,F,2017,Atlanta D.,WNBA,33,18.0,7.8,47.8%,27.7%,77.1%,1.0,2.6,3.6,0.7,2.3,0.6,0.5,0.9,5.1
12,Damiris Dantas,1992-11-17,"1,91",BRA,F,2019,Minnesota L.,WNBA,25,26.3,10.0,51.0%,41.1%,72.0%,1.0,3.6,4.6,3.3,2.8,0.6,0.8,1.8,10.0
13,Damiris Dantas,1992-11-17,"1,91",BRA,F,2020,Minnesota L.,WNBA,26,27.8,13.7,47.4%,45.3%,74.6%,1.7,4.6,6.3,2.7,2.7,0.2,1.2,1.9,13.2
14,Damiris Dantas,1992-11-17,"1,91",BRA,F,2020,Vera Cruz,BRA-12,7,30.7,21.9,57.5%,22.2%,86.0%,2.0,10.6,12.6,1.7,2.1,0.0,1.9,2.9,29.3
15,Damiris Dantas,1992-11-17,"1,91",BRA,F,2022,Minnesota L.,WNBA,15,17.4,5.1,38.7%,26.2%,83.3%,0.7,3.1,3.8,1.9,1.2,0.1,0.2,1.1,4.5
16,Damiris Dantas,1992-11-17,"1,91",BRA,F,2023,Fuerza Regia,MEX-12,27,32.6,14.7,46.4%,30.9%,81.3%,1.1,5.3,6.4,2.3,2.0,0.3,0.9,2.0,11.9
17,Damiris Dantas,1992-11-17,"1,91",BRA,F,23-24,Ormanspor,TUR-11,28,32.9,18.9,43.3%,41.9%,70.0%,1.5,5.9,7.4,2.6,2.3,0.2,0.9,2.0,15.4
18,Damiris Dantas,1992-11-17,"1,91",BRA,F,2024,Indiana F.,WNBA,22,11.0,4.8,52.1%,39.5%,71.4%,0.2,1.9,2.0,0.6,1.0,0.2,0.2,0.6,4.0
19,Damiris Dantas,1992-11-17,"1,91",BRA,F,24-25,Botas,TUR-11,14,34.6,18.9,51.4%,34.8%,83.3%,1.2,6.9,8.1,2.2,1.3,0.3,0.6,1.6,17.9
