,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Glenda Cruz,1994-03-23,"1,82",BRA,PF/C,2019,SBC/Brazolin/UNIP,BRA-11,16,26.7,10.6,46.3%,50.0%,63.6%,2.3,4.1,6.4,1.9,2.8,0.8,2.1,1.9,12.7
2,Glenda Cruz,1994-03-23,"1,82",BRA,PF/C,2020,SESI,BRA-11,1,14.0,4.0,20.0%,0.0%,100.0%,3.0,2.0,5.0,0.0,1.0,0.0,0.0,2.0,3.0
3,Glenda Cruz,1994-03-23,"1,82",BRA,PF/C,2020,Pro-Esport S.,BRA-12,6,31.7,10.3,36.8%,12.5%,81.8%,2.3,4.5,6.8,1.5,3.2,0.8,1.3,1.3,10.0
4,Glenda Cruz,1994-03-23,"1,82",BRA,PF/C,2021,Santo Andre,BRA-11,15,28.9,12.7,50.0%,33.3%,59.3%,3.3,5.1,8.3,1.8,3.1,0.9,1.0,1.8,15.3
5,Glenda Cruz,1994-03-23,"1,82",BRA,PF/C,2021,Santo Andre,BRA-12,13,31.2,12.0,43.3%,10.5%,69.0%,3.2,3.8,7.1,1.2,3.3,0.6,2.4,1.6,11.8
6,Glenda Cruz,1994-03-23,"1,82",BRA,PF/C,2022,Santo Andre,BRA-11,23,33.1,14.8,48.6%,32.1%,70.7%,3.3,4.7,8.0,2.3,2.9,0.7,1.8,1.6,17.3
7,Glenda Cruz,1994-03-23,"1,82",BRA,PF/C,2022,Santo Andre,BRA-12,16,31.6,14.4,49.7%,40.0%,64.9%,3.3,4.6,7.8,1.6,2.3,0.8,1.9,1.6,17.3
8,Glenda Cruz,1994-03-23,"1,82",BRA,PF/C,2023,Santo Andre,BRA-11,16,24.8,9.8,50.0%,41.9%,66.7%,1.6,3.3,4.9,1.8,3.1,0.3,1.0,1.4,9.8
9,Glenda Cruz,1994-03-23,"1,82",BRA,PF/C,2023,Sao Jose,BRA-12,13,27.7,9.0,37.4%,23.1%,81.3%,2.3,4.7,7.0,1.1,2.3,0.6,1.5,1.8,8.5
10,Glenda Cruz,1994-03-23,"1,82",BRA,PF/C,2024,Blumenau,BRA-11,15,31.3,16.1,56.0%,27.5%,74.2%,2.9,4.1,6.9,2.3,2.5,0.9,2.0,2.2,18.6
11,Glenda Cruz,1994-03-23,"1,82",BRA,PF/C,24-25,Galitos,POR-11,17,31.2,9.3,43.0%,17.9%,75.0%,1.6,4.5,6.2,1.5,3.1,0.8,2.5,2.2,9.4
