,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Isabela Macedo,1994-01-23,"1,80",BRA,F,10-11,M.Petrobras,BRA-11,9,15.7,4.8,35.4%,33.3%,60.0%,0.9,1.3,2.2,0.3,2.3,0.0,1.2,1.0,1.1
2,Isabela Macedo,1994-01-23,"1,80",BRA,F,10-11,M.Petrobras,BRA-11,3,3.0,0.7,33.3%,0.0%,0.0%,1.0,0.0,1.0,0.0,0.3,0.0,0.0,0.3,-1.0
3,Isabela Macedo,1994-01-23,"1,80",BRA,F,2013,Guarulhos,BRA-11,5,20.2,8.0,36.4%,0.0%,44.4%,1.0,1.8,2.8,0.8,2.0,0.2,1.0,1.6,1.2
4,Isabela Macedo,1994-01-23,"1,80",BRA,F,2014,Sao Jose,BRA-11,18,19.6,8.3,42.0%,29.4%,73.9%,1.3,1.3,2.6,1.4,1.8,0.1,1.1,1.2,5.3
5,Isabela Macedo,1994-01-23,"1,80",BRA,F,14-15,Sao Jose,BRA-11,21,19.2,8.4,44.5%,30.0%,60.3%,1.8,2.0,3.8,1.7,2.0,0.2,1.3,2.6,5.3
6,Isabela Macedo,1994-01-23,"1,80",BRA,F,15-16,Sampaio,BRA-11,27,20.7,9.7,52.0%,38.3%,81.3%,1.1,2.0,3.1,1.0,1.7,0.0,1.1,1.1,9.9
7,Isabela Macedo,1994-01-23,"1,80",BRA,F,15-16,Sampaio,BRA-11,6,1.2,1.5,75.0%,100.0%,0.0%,0.5,0.2,0.7,0.2,0.2,0.0,0.0,0.0,2.0
8,Isabela Macedo,1994-01-23,"1,80",BRA,F,16-17,Zamora,ESP-11,26,30.0,11.2,46.7%,31.1%,68.8%,1.6,2.8,4.3,1.7,2.7,0.1,1.8,2.4,10.5
9,Isabela Macedo,1994-01-23,"1,80",BRA,F,17-18,Valencia,ESP-12,30,22.6,9.4,48.6%,29.5%,63.9%,1.4,2.8,4.2,1.9,2.2,0.1,2.0,1.9,10.2
10,Isabela Macedo,1994-01-23,"1,80",BRA,F,18-19,GDESSA,POR-11,16,27.8,12.3,41.7%,34.0%,80.7%,1.6,2.6,4.2,1.7,2.8,0.1,1.8,1.7,11.5
11,Isabela Macedo,1994-01-23,"1,80",BRA,F,2019,UNINASSAU,BRA-11,15,32.0,12.9,50.9%,27.4%,81.6%,1.4,3.8,5.2,3.3,1.9,0.4,1.1,2.1,14.8
12,Isabela Macedo,1994-01-23,"1,80",BRA,F,2020,Sampaio,BRA-11,1,22.0,10.0,40.0%,66.7%,0.0%,0.0,3.0,3.0,1.0,2.0,1.0,1.0,0.0,11.0
13,Isabela Macedo,1994-01-23,"1,80",BRA,F,20-21,Montana,MZRKL-11,13,29.8,13.9,55.0%,22.2%,70.0%,2.4,4.4,6.8,3.8,2.7,0.2,2.2,2.0,14.8
14,Isabela Macedo,1994-01-23,"1,80",BRA,F,20-21,Montana,BUL-11,14,31.3,18.9,56.5%,32.4%,80.3%,2.6,5.3,7.9,4.5,2.1,0.1,2.3,2.0,22.1
15,Isabela Macedo,1994-01-23,"1,80",BRA,F,2021,Sampaio,BRA-11,8,22.9,9.5,46.5%,20.7%,66.7%,0.3,2.4,2.6,1.4,1.6,0.3,1.4,2.5,7.3
16,Isabela Macedo,1994-01-23,"1,80",BRA,F,21-22,Celje,MZRKL-11,19,28.5,18.9,52.5%,34.2%,75.7%,2.4,3.0,5.4,2.4,1.9,0.1,2.9,1.9,16.7
17,Isabela Macedo,1994-01-23,"1,80",BRA,F,21-22,Celje,SLO-11,26,23.0,17.3,60.1%,30.1%,76.8%,1.5,2.2,3.7,2.6,2.0,0.0,2.2,1.9,17.7
18,Isabela Macedo,1994-01-23,"1,80",BRA,F,2022,Mesquita,BRA-11,5,31.8,18.4,45.5%,38.5%,81.5%,1.6,2.4,4.0,2.0,2.0,0.0,1.0,2.4,15.8
19,Isabela Macedo,1994-01-23,"1,80",BRA,F,22-23,Samara,RUS-11,35,25.1,10.7,44.8%,25.6%,83.2%,1.4,2.4,3.8,1.7,2.4,0.1,1.6,1.4,10.8
20,Isabela Macedo,1994-01-23,"1,80",BRA,F,23-24,Samara,RUS-11,33,27.9,10.0,42.9%,27.1%,71.5%,1.7,3.7,5.5,2.8,3.0,0.2,2.3,1.9,13.4
21,Isabela Macedo,1994-01-23,"1,80",BRA,F,24-25,Nika,RUS-11,7,23.3,11.6,60.9%,25.0%,90.5%,1.6,2.6,4.1,1.4,2.3,0.0,2.1,1.6,15.0
22,Isabela Macedo,1994-01-23,"1,80",BRA,F,24-25,Samara,RUS-11,13,30.5,10.5,44.4%,20.0%,75.4%,1.2,4.8,6.0,3.3,2.5,0.1,2.0,2.2,14.6
