,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Joice Rodrigues,1986-09-06,"1,74",BRA,PG,10-11,Ourinhos,BRA-11,22,29.6,11.0,41.7%,23.4%,73.2%,0.8,2.5,3.2,4.0,2.3,0.1,2.4,3.0,7.3
2,Joice Rodrigues,1986-09-06,"1,74",BRA,PG,11-12,Ourinhos,SACC-11,6,33.7,15.5,53.8%,26.5%,58.8%,1.0,2.8,3.8,3.5,2.0,0.0,1.5,3.5,9.5
3,Joice Rodrigues,1986-09-06,"1,74",BRA,PG,11-12,Ourinhos,BRA-11,21,35.5,13.1,46.9%,25.9%,65.7%,0.6,3.4,4.0,5.5,1.9,0.0,2.7,3.7,11.2
4,Joice Rodrigues,1986-09-06,"1,74",BRA,PG,2013,Ourinhos,BRA-11,7,38.1,14.9,46.6%,20.0%,62.5%,0.6,5.3,5.9,6.7,1.9,0.1,2.0,5.4,11.4
5,Joice Rodrigues,1986-09-06,"1,74",BRA,PG,2014,Ourinhos,BRA-11,16,20.8,8.1,43.1%,45.5%,68.8%,0.9,2.3,3.2,1.6,2.0,0.4,1.3,2.0,6.1
6,Joice Rodrigues,1986-09-06,"1,74",BRA,PG,2015,Americana,LSA-11,4,22.8,5.3,13.3%,30.0%,80.0%,0.3,1.8,2.0,2.3,1.3,0.0,2.5,2.3,3.0
7,Joice Rodrigues,1986-09-06,"1,74",BRA,PG,15-16,Corinthians,BRA-11,26,25.8,8.7,36.5%,28.2%,80.4%,0.5,3.0,3.5,3.2,1.6,0.0,1.3,2.8,8.5
8,Joice Rodrigues,1986-09-06,"1,74",BRA,PG,16-17,Corinthians,BRA-11,24,21.7,6.1,40.2%,19.0%,64.9%,0.4,1.9,2.3,3.7,1.5,0.0,1.8,3.0,5.3
9,Joice Rodrigues,1986-09-06,"1,74",BRA,PG,17-18,Funvic/Ituano,BRA-11,18,37.1,8.9,40.6%,19.5%,60.7%,0.7,4.7,5.4,6.5,2.2,0.0,2.7,4.8,11.2
10,Joice Rodrigues,1986-09-06,"1,74",BRA,PG,2019,Funvic/Ituano,BRA-11,18,36.7,8.4,34.1%,14.0%,61.2%,0.5,4.4,4.9,7.3,2.1,0.0,2.1,4.8,10.3
11,Joice Rodrigues,1986-09-06,"1,74",BRA,PG,2020,Funvic/Ituano,BRA-11,1,37.0,16.0,25.0%,50.0%,62.5%,0.0,6.0,6.0,8.0,2.0,0.0,3.0,5.0,22.0
12,Joice Rodrigues,1986-09-06,"1,74",BRA,PG,2020,Ituano,BRA-12,11,34.0,6.8,33.3%,21.9%,64.7%,0.5,6.3,6.8,6.3,2.9,0.2,2.2,3.8,12.1
13,Joice Rodrigues,1986-09-06,"1,74",BRA,PG,2021,Ituano,BRA-11,21,22.1,6.0,58.3%,29.6%,75.0%,0.7,2.9,3.5,3.4,1.8,0.0,1.2,2.3,8.4
14,Joice Rodrigues,1986-09-06,"1,74",BRA,PG,2021,Ituano,BRA-12,12,23.8,7.0,37.5%,19.4%,71.4%,1.2,2.4,3.6,3.3,2.1,0.0,2.3,1.8,7.5
15,Joice Rodrigues,1986-09-06,"1,74",BRA,PG,2022,Ituano,BRA-11,21,25.5,7.4,42.0%,14.9%,62.1%,1.5,3.9,5.4,3.9,2.3,0.1,2.2,2.3,11.0
16,Joice Rodrigues,1986-09-06,"1,74",BRA,PG,2022,Ituano,BRA-12,15,36.1,11.5,48.2%,18.6%,74.1%,1.1,5.0,6.1,5.1,2.0,0.0,2.3,4.9,13.7
17,Joice Rodrigues,1986-09-06,"1,74",BRA,PG,2023,Ituano,BRA-11,16,37.7,10.9,34.6%,23.0%,75.8%,0.5,3.4,3.9,7.1,1.8,0.0,2.0,4.2,12.2
18,Joice Rodrigues,1986-09-06,"1,74",BRA,PG,2023,Ituano,BRA-12,15,34.5,9.7,55.4%,22.6%,58.1%,0.6,5.9,6.5,8.3,1.7,0.0,1.8,4.7,15.3
19,Joice Rodrigues,1986-09-06,"1,74",BRA,PG,2024,Ituano,BRA-11,25,32.8,8.9,37.8%,28.7%,68.4%,0.4,4.0,4.4,8.0,2.2,0.1,2.0,4.5,12.6
20,Joice Rodrigues,1986-09-06,"1,74",BRA,PG,2024,Ituano,BRA-12,15,34.9,10.7,37.4%,31.9%,66.7%,1.2,3.7,4.9,7.9,1.9,0.3,2.5,4.6,12.0
21,Joice Rodrigues,1986-09-06,"1,74",BRA,PG,24-25,Partizani,ALB-11,3,19.3,5.7,70.0%,0.0%,100.0%,0.3,3.7,4.0,4.7,0.0,0.0,3.0,2.3,13.7
22,Joice Rodrigues,1986-09-06,"1,74",BRA,PG,24-25,Partizani,AlKo-11,2,22.0,2.5,12.5%,33.3%,0.0%,1.5,4.0,5.5,5.5,1.0,0.0,1.0,3.5,5.5
