,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Karina Jacob,1985-05-24,"1,87",BRA,PF/C,10-11,Corinthians,BRA-11,9,18.7,5.3,50.0%,0.0%,58.8%,2.0,3.8,5.8,0.4,1.8,0.0,0.1,0.8,6.1
2,Karina Jacob,1985-05-24,"1,87",BRA,PF/C,2013,Ourinhos,BRA-11,7,32.6,8.9,40.0%,0.0%,66.7%,2.1,6.3,8.4,1.3,2.6,0.0,0.6,2.4,7.6
3,Karina Jacob,1985-05-24,"1,87",BRA,PF/C,2014,Sao Jose,BRA-11,18,27.1,9.7,46.0%,35.3%,63.6%,2.1,5.6,7.7,1.3,2.2,0.3,1.2,1.3,11.1
4,Karina Jacob,1985-05-24,"1,87",BRA,PF/C,14-15,Sao Jose,BRA-11,23,31.6,7.2,37.5%,11.1%,75.0%,1.6,6.2,7.8,1.4,2.1,0.3,1.7,2.4,8.6
5,Karina Jacob,1985-05-24,"1,87",BRA,PF/C,2015,Corinthians,LSA-11,3,11.0,2.7,28.6%,0.0%,80.0%,0.0,2.7,2.7,0.0,2.7,0.0,0.3,0.3,0.3
6,Karina Jacob,1985-05-24,"1,87",BRA,PF/C,15-16,Sampaio,BRA-11,25,29.8,6.9,44.3%,13.3%,75.0%,1.4,5.2,6.6,1.4,2.0,0.3,0.9,1.5,10.0
7,Karina Jacob,1985-05-24,"1,87",BRA,PF/C,16-17,Sampaio,BRA-11,14,32.5,8.2,40.3%,0.0%,63.3%,1.3,5.4,6.6,2.6,1.6,0.4,1.3,2.0,11.1
8,Karina Jacob,1985-05-24,"1,87",BRA,PF/C,17-18,Sampaio,BRA-11,26,28.3,6.5,45.1%,0.0%,70.9%,1.5,6.0,7.5,2.5,1.8,0.3,0.9,2.0,12.6
9,Karina Jacob,1985-05-24,"1,87",BRA,PF/C,2019,Mesquita,BRA-11,13,28.7,5.7,41.3%,25.0%,82.8%,1.0,6.8,7.8,2.3,0.9,0.3,1.2,2.1,13.5
10,Karina Jacob,1985-05-24,"1,87",BRA,PF/C,2022,Blumenau,BRA-11,10,15.2,3.1,35.1%,0.0%,62.5%,0.9,4.4,5.3,0.5,0.9,0.2,0.6,0.9,6.2
11,Karina Jacob,1985-05-24,"1,87",BRA,PF/C,2023,Ituano,BRA-11,16,25.9,4.9,32.9%,16.7%,71.1%,0.9,4.9,5.8,0.9,1.8,0.6,0.6,1.6,7.4
12,Karina Jacob,1985-05-24,"1,87",BRA,PF/C,2023,Ituano,BRA-12,13,11.4,4.3,52.5%,40.0%,80.0%,0.5,2.5,3.0,0.5,0.3,0.1,0.1,0.5,6.2
13,Karina Jacob,1985-05-24,"1,87",BRA,PF/C,2024,Ponta Grossa,BRA-11,18,36.3,9.7,38.7%,28.1%,82.0%,1.2,7.9,9.2,1.8,1.9,0.2,0.9,1.9,13.7
14,Karina Jacob,1985-05-24,"1,87",BRA,PF/C,2024,D.Sporting,URU-11,8,27.6,10.9,43.1%,29.4%,66.7%,2.6,6.5,9.1,1.9,2.1,0.3,1.5,2.0,15.3
