,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Leticia Soares,1997-07-10,"1,85",BRA,C,18-19,San Diego,NCAA1,28,20.9,10.3,49.1%,0.0%,64.8%,1.8,2.1,4.0,0.9,3.2,0.6,0.6,1.9,0.0
2,Leticia Soares,1997-07-10,"1,85",BRA,C,19-20,San Diego,NCAA1,32,20.5,9.5,49.6%,25.0%,65.5%,2.4,2.4,4.8,0.5,3.3,0.2,1.0,2.0,5.9
3,Leticia Soares,1997-07-10,"1,85",BRA,C,20-21,Rosalia,ESP-12,20,28.6,12.5,50.3%,11.1%,66.3%,2.5,3.8,6.3,0.9,3.8,0.3,1.3,3.3,11.3
4,Leticia Soares,1997-07-10,"1,85",BRA,C,2021,Ituano,BRA-11,17,18.4,6.8,45.5%,0.0%,70.0%,1.7,2.5,4.2,0.6,2.6,0.2,0.8,1.6,5.4
5,Leticia Soares,1997-07-10,"1,85",BRA,C,21-22,GDESSA Barreiro,POR-11,23,29.4,13.5,48.0%,25.0%,73.8%,3.1,5.1,8.3,1.3,3.6,0.4,1.7,2.7,14.4
6,Leticia Soares,1997-07-10,"1,85",BRA,C,2022,Sesi/Arara.,BRA-11,11,19.5,10.4,49.4%,20.0%,69.0%,1.5,3.6,5.1,1.7,2.1,0.1,0.8,2.7,9.3
7,Leticia Soares,1997-07-10,"1,85",BRA,C,2022,Sesi/Arara.,BRA-12,13,17.3,7.4,38.5%,35.5%,66.7%,1.2,1.7,2.9,0.7,1.4,0.1,0.7,1.5,5.0
8,Leticia Soares,1997-07-10,"1,85",BRA,C,23-24,Ferragudo,POR-11,9,28.3,14.3,50.0%,14.3%,72.7%,2.4,3.3,5.8,1.6,3.9,0.3,1.3,4.7,10.8
9,Leticia Soares,1997-07-10,"1,85",BRA,C,23-24,Benfica,POR-11,17,28.2,8.2,44.8%,37.5%,78.8%,2.5,4.6,7.1,1.6,2.8,0.1,1.0,2.8,9.9
10,Leticia Soares,1997-07-10,"1,85",BRA,C,2024,SESI,LSA-11,2,25.5,9.5,43.8%,0.0%,83.3%,3.5,8.5,12.0,1.0,3.0,0.0,1.0,1.5,12.5
11,Leticia Soares,1997-07-10,"1,85",BRA,C,24-25,Celje,MZRKL-11,12,28.9,15.3,55.2%,34.9%,67.6%,3.6,4.3,7.9,2.0,2.9,0.2,1.8,3.4,14.3
12,Leticia Soares,1997-07-10,"1,85",BRA,C,24-25,Celje,SLO-11,11,23.5,15.5,64.6%,34.6%,87.0%,2.6,3.7,6.4,1.8,2.5,0.1,2.0,2.5,18.4
