,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Maiara Pereira,2002-03-20,"1,85",BRA,PF,2020,Guarulhos,BRA-12,4,39.8,11.3,36.2%,0.0%,47.8%,3.5,5.5,9.0,1.5,1.8,0.0,1.3,4.3,9.5
2,Maiara Pereira,2002-03-20,"1,85",BRA,PF,21-22,Liepaja/LSSS,EWBL-11,5,23.6,4.8,26.3%,30.0%,62.5%,1.8,3.6,5.4,1.6,2.8,0.0,0.2,0.6,3.8
3,Maiara Pereira,2002-03-20,"1,85",BRA,PF,21-22,Liepaja/LSSS,WBBL-11,22,22.4,7.8,44.0%,25.6%,67.2%,4.1,4.3,8.4,1.2,2.6,0.2,1.4,2.0,11.5
4,Maiara Pereira,2002-03-20,"1,85",BRA,PF,21-22,Liepaja/LSSS,LAT-11,2,20.5,5.0,30.8%,0.0%,100.0%,6.0,5.0,11.0,1.0,3.5,0.0,0.0,1.5,7.5
5,Maiara Pereira,2002-03-20,"1,85",BRA,PF,2022,Mesquita,BRA-11,11,22.5,6.3,63.2%,22.2%,78.9%,2.1,3.2,5.3,1.4,2.3,0.3,0.6,1.2,9.5
6,Maiara Pereira,2002-03-20,"1,85",BRA,PF,22-23,LCC Klaipeda,WBBL-11,21,29.7,10.4,53.2%,18.2%,64.6%,2.7,5.8,8.5,2.0,3.0,0.2,0.9,2.3,13.8
7,Maiara Pereira,2002-03-20,"1,85",BRA,PF,22-23,LCC Klaipeda,LTU-11,5,30.2,9.0,41.3%,20.0%,80.0%,3.0,6.0,9.0,2.0,4.2,0.0,1.4,1.8,10.4
8,Maiara Pereira,2002-03-20,"1,85",BRA,PF,2023,Ituano,BRA-11,9,16.6,4.8,34.6%,40.0%,77.8%,1.1,2.4,3.6,1.1,1.7,0.3,0.2,1.1,4.8
9,Maiara Pereira,2002-03-20,"1,85",BRA,PF,23-24,LCC Klaipeda,WBBL-11,24,21.1,9.5,66.7%,14.3%,66.7%,2.8,4.1,6.9,1.8,2.6,0.2,1.0,1.3,14.5
10,Maiara Pereira,2002-03-20,"1,85",BRA,PF,23-24,LCC Klaipeda,LTU-11,16,20.5,7.6,59.4%,33.3%,64.3%,1.9,2.8,4.6,1.2,2.8,0.1,0.6,1.2,9.2
11,Maiara Pereira,2002-03-20,"1,85",BRA,PF,24-25,LCC Klaipeda,WBBL-11,9,22.0,6.2,44.7%,33.3%,72.7%,2.7,3.9,6.6,1.6,2.0,0.1,0.9,1.3,9.7
12,Maiara Pereira,2002-03-20,"1,85",BRA,PF,24-25,LCC Klaipeda,LTU-11,9,21.4,6.3,53.8%,20.0%,63.2%,3.1,2.3,5.4,2.6,3.0,0.1,1.2,1.7,9.8
