,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Maria Albiero,1998-06-19,"1,73",BRA,G,17-18,BYU,NCAA1,29,0.0,2.0,46.5%,25.0%,56.3%,0.0,0.0,0.9,0.8,0.0,0.0,0.3,0.8,0.0
2,Maria Albiero,1998-06-19,"1,73",BRA,G,18-19,BYU,NCAA1,33,15.1,3.2,32.1%,27.9%,75.0%,0.3,1.4,1.7,1.5,0.7,0.0,0.5,0.8,0.0
3,Maria Albiero,1998-06-19,"1,73",BRA,G,19-20,BYU,NCAA1,29,30.6,6.0,33.3%,36.0%,72.0%,0.1,2.6,2.7,3.2,1.3,0.0,0.9,1.9,5.4
4,Maria Albiero,1998-06-19,"1,73",BRA,G,20-21,BYU,NCAA1,25,30.4,5.0,43.5%,21.9%,85.2%,0.3,2.4,2.8,3.1,2.0,0.0,0.6,2.0,3.6
5,Maria Albiero,1998-06-19,"1,73",BRA,G,21-22,BYU,NCAA1,30,26.4,4.7,47.4%,34.4%,71.4%,0.4,1.7,2.1,3.5,1.6,0.0,1.2,1.3,5.9
6,Maria Albiero,1998-06-19,"1,73",BRA,G,2022,Blumenau,BRA-11,12,30.6,11.3,51.4%,31.9%,60.0%,0.6,4.7,5.3,4.8,2.0,0.0,1.8,3.3,14.3
7,Maria Albiero,1998-06-19,"1,73",BRA,G,2023,Blumenau,BRA-11,16,31.7,8.9,40.0%,31.4%,72.0%,0.6,4.3,4.8,3.1,1.6,0.0,0.7,2.6,8.4
8,Maria Albiero,1998-06-19,"1,73",BRA,G,2023,Ituano,BRA-12,5,24.2,7.8,47.1%,35.0%,100.0%,0.4,1.6,2.0,4.4,1.2,0.0,0.2,1.6,7.8
9,Maria Albiero,1998-06-19,"1,73",BRA,G,2024,Ituano,BRA-11,25,27.2,8.5,43.1%,35.4%,81.6%,0.5,2.2,2.7,2.7,1.0,0.0,0.8,1.4,9.0
10,Maria Albiero,1998-06-19,"1,73",BRA,G,24-25,Oaklands W.,ENG-11,6,26.7,6.8,52.4%,37.5%,50.0%,0.2,2.8,3.0,6.0,1.5,0.0,1.8,1.3,11.3
