,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Maria Ferreira,1994-11-07,"1,92",BRA,C,14-15,APAB/Barretos,BRA-11,8,11.6,1.8,28.6%,0.0%,100.0%,0.8,2.5,3.3,0.3,1.8,0.0,0.3,1.1,0.8
2,Maria Ferreira,1994-11-07,"1,92",BRA,C,16-17,Corinthians,BRA-11,24,10.2,2.3,50.0%,0.0%,42.9%,1.0,1.7,2.6,0.3,1.8,0.4,0.3,0.7,2.8
3,Maria Ferreira,1994-11-07,"1,92",BRA,C,17-18,UNINASSAU,BRA-11,20,11.9,3.9,46.3%,0.0%,76.2%,1.3,2.2,3.5,0.5,1.6,0.4,0.4,1.2,4.9
4,Maria Ferreira,1994-11-07,"1,92",BRA,C,2019,Sampaio,BRA-11,22,11.9,3.4,45.3%,0.0%,80.0%,1.6,1.8,3.4,0.4,2.0,0.1,0.5,0.8,4.2
5,Maria Ferreira,1994-11-07,"1,92",BRA,C,2020,Santo Andre,BRA-11,1,16.0,8.0,42.9%,0.0%,100.0%,3.0,4.0,7.0,2.0,2.0,0.0,0.0,2.0,12.0
6,Maria Ferreira,1994-11-07,"1,92",BRA,C,2020,Santo Andre,BRA-12,10,23.0,7.3,38.2%,0.0%,75.0%,3.2,4.8,8.0,0.6,2.4,0.3,0.8,1.6,9.6
7,Maria Ferreira,1994-11-07,"1,92",BRA,C,2021,Santo Andre,BRA-11,1,8.0,0.0,0.0%,0.0%,0.0%,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,-6.0
8,Maria Ferreira,1994-11-07,"1,92",BRA,C,21-22,Vitoria SC,POR-11,10,27.2,7.6,35.6%,0.0%,60.0%,3.9,4.5,8.4,1.4,2.9,0.7,0.6,2.3,9.3
9,Maria Ferreira,1994-11-07,"1,92",BRA,C,2022,Gloria do Goita,BRA-11,12,17.8,7.1,46.2%,0.0%,52.0%,1.9,3.3,5.2,0.6,2.0,0.3,0.6,1.2,7.7
10,Maria Ferreira,1994-11-07,"1,92",BRA,C,2022,Ituano,BRA-12,15,27.1,10.2,46.3%,0.0%,67.5%,2.9,7.1,9.9,1.5,2.8,0.3,0.9,2.3,13.7
11,Maria Ferreira,1994-11-07,"1,92",BRA,C,2023,Ituano,BRA-11,13,16.0,7.0,49.1%,0.0%,94.6%,1.0,2.8,3.8,0.2,1.5,0.1,0.7,1.2,8.2
12,Maria Ferreira,1994-11-07,"1,92",BRA,C,23-24,Imortal,POR-11,24,18.7,7.0,50.0%,0.0%,69.0%,1.6,3.2,4.8,0.8,2.0,0.2,0.6,1.5,7.9
13,Maria Ferreira,1994-11-07,"1,92",BRA,C,2024,Blumenau,BRA-11,12,28.3,10.8,40.6%,0.0%,85.7%,3.3,4.2,7.5,0.8,3.0,0.3,0.6,1.9,11.8
14,Maria Ferreira,1994-11-07,"1,92",BRA,C,2024,Aguada,URU-11,8,34.6,16.6,46.8%,0.0%,72.6%,5.0,8.1,13.1,1.0,2.8,0.9,1.5,1.5,25.5
