,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Monique Soares,1996-08-21,"1,90",BRA,C,17-18,Ituano,BRA-11,3,7.0,1.3,33.3%,0.0%,0.0%,0.3,1.7,2.0,0.0,1.0,0.3,0.7,0.0,2.3
2,Monique Soares,1996-08-21,"1,90",BRA,C,2019,Ituano,BRA-11,6,7.8,2.3,53.8%,0.0%,0.0%,0.7,2.0,2.7,0.0,0.8,0.0,0.5,0.7,2.8
3,Monique Soares,1996-08-21,"1,90",BRA,C,2020,Ituano,BRA-12,2,6.0,2.0,66.7%,0.0%,0.0%,0.0,0.5,0.5,0.5,1.5,0.0,0.0,1.0,0.0
4,Monique Soares,1996-08-21,"1,90",BRA,C,2021,Ituano,BRA-11,8,7.4,2.0,30.0%,0.0%,100.0%,1.4,1.5,2.9,0.8,0.9,0.1,0.1,0.4,3.0
5,Monique Soares,1996-08-21,"1,90",BRA,C,2022,Hormigas ILBS,COL-11,5,34.6,6.6,23.8%,0.0%,92.9%,2.8,11.4,14.2,1.8,2.0,1.0,1.8,1.8,16.2
6,Monique Soares,1996-08-21,"1,90",BRA,C,22-23,Imortal,POR-11,25,26.4,9.9,39.3%,18.2%,72.1%,3.7,6.8,10.4,2.2,2.2,0.4,1.9,2.0,15.6
7,Monique Soares,1996-08-21,"1,90",BRA,C,2023,Ituano,BRA-11,10,30.9,12.4,40.3%,0.0%,59.3%,4.0,9.1,13.1,1.6,2.1,0.5,1.4,1.4,19.2
8,Monique Soares,1996-08-21,"1,90",BRA,C,23-24,Sportiva,Eurocup-11,2,30.5,8.0,28.6%,0.0%,0.0%,5.5,10.0,15.5,2.0,3.0,1.0,4.0,3.5,13.0
9,Monique Soares,1996-08-21,"1,90",BRA,C,23-24,Sportiva,POR-11,30,29.4,10.2,44.6%,13.3%,67.6%,3.4,6.4,9.7,2.7,2.1,0.6,2.3,2.3,16.1
10,Monique Soares,1996-08-21,"1,90",BRA,C,2024,Ituano,BRA-11,11,21.6,5.5,35.5%,20.0%,42.9%,2.7,3.8,6.5,1.8,2.7,0.3,1.9,1.3,7.8
11,Monique Soares,1996-08-21,"1,90",BRA,C,24-25,Sportiva,Eurocup-11,6,33.2,10.0,37.7%,16.7%,71.4%,2.7,6.0,8.7,2.0,3.2,0.7,2.8,2.7,10.0
12,Monique Soares,1996-08-21,"1,90",BRA,C,24-25,Sportiva,POR-11,17,34.7,13.4,44.2%,0.0%,72.9%,3.7,8.1,11.8,3.8,2.4,0.6,2.8,4.0,19.3
