,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Nany Carvalho,1997-03-06,"1,88",BRA,F,18-19,Kansas,NCAA1,23,15.1,5.3,26.3%,31.1%,70.6%,0.8,1.8,2.6,0.5,1.2,0.1,0.5,0.9,0.0
2,Nany Carvalho,1997-03-06,"1,88",BRA,F,19-20,Kansas,NCAA1,29,28.0,10.4,51.4%,30.4%,58.8%,1.4,3.7,5.1,1.0,2.1,0.3,1.0,1.3,8.0
3,Nany Carvalho,1997-03-06,"1,88",BRA,F,2020,SESI,BRA-12,13,29.0,9.5,44.4%,23.3%,69.0%,1.2,4.1,5.3,1.4,2.2,0.5,1.5,2.0,10.2
4,Nany Carvalho,1997-03-06,"1,88",BRA,F,2021,SESI,BRA-11,16,33.4,17.4,49.5%,37.2%,71.7%,0.7,3.4,4.1,2.1,1.6,0.4,1.8,1.8,16.4
5,Nany Carvalho,1997-03-06,"1,88",BRA,F,2021,SESI,BRA-12,1,38.0,9.0,20.0%,50.0%,40.0%,3.0,4.0,7.0,0.0,2.0,2.0,2.0,3.0,9.0
6,Nany Carvalho,1997-03-06,"1,88",BRA,F,21-22,Gorizont,Eurocup-11,6,31.5,9.5,48.6%,18.5%,60.0%,1.3,4.5,5.8,2.0,2.3,0.2,1.7,2.5,6.8
7,Nany Carvalho,1997-03-06,"1,88",BRA,F,21-22,Gorizont,EWBL-11,3,34.7,10.0,47.8%,12.5%,71.4%,1.3,4.7,6.0,2.0,3.7,0.0,1.0,3.7,4.7
8,Nany Carvalho,1997-03-06,"1,88",BRA,F,21-22,Gorizont,BLR-11,12,22.6,12.8,59.8%,32.6%,63.6%,1.6,3.8,5.4,2.8,0.8,0.1,2.0,1.1,15.3
9,Nany Carvalho,1997-03-06,"1,88",BRA,F,2022,SESI,BRA-11,17,27.2,12.0,49.4%,28.7%,72.9%,1.1,4.3,5.4,2.5,1.2,0.2,0.9,2.0,12.6
10,Nany Carvalho,1997-03-06,"1,88",BRA,F,22-23,Zamora,ESP-12,11,24.3,11.6,37.0%,28.2%,90.3%,0.8,2.8,3.6,1.3,1.6,0.1,1.9,1.8,9.2
11,Nany Carvalho,1997-03-06,"1,88",BRA,F,2023,Campinas,BRA-12,15,15.9,4.5,30.8%,20.3%,68.4%,0.4,1.6,2.0,1.1,1.2,0.1,1.2,1.1,2.3
12,Nany Carvalho,1997-03-06,"1,88",BRA,F,2024,Sao Jose,BRA-11,18,28.2,9.2,39.5%,22.3%,68.3%,2.1,4.1,6.1,1.9,1.2,0.4,1.6,1.6,10.1
13,Nany Carvalho,1997-03-06,"1,88",BRA,F,24-25,GDESSA,POR-11,15,29.1,11.3,41.9%,29.5%,78.6%,0.9,3.0,3.9,1.3,1.8,0.4,1.0,0.9,9.5
