,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Raphaella Monteiro,1995-01-28,"1,81",BRA,F,15-16,UNINASSAU,BRA-11,12,9.8,2.8,58.6%,0.0%,0.0%,1.3,1.8,3.2,0.8,0.8,0.1,0.3,0.9,4.4
2,Raphaella Monteiro,1995-01-28,"1,81",BRA,F,16-17,UNINASSAU,BRA-11,27,28.6,12.6,56.1%,0.0%,76.7%,1.6,5.6,7.2,1.6,2.1,0.9,1.5,2.0,17.0
3,Raphaella Monteiro,1995-01-28,"1,81",BRA,F,17-18,Sportiva,POR-11,28,36.3,14.5,50.8%,10.3%,71.6%,1.6,7.4,9.0,2.5,2.0,0.8,1.9,2.5,18.8
4,Raphaella Monteiro,1995-01-28,"1,81",BRA,F,18-19,Sportiva,Eurocup-11,6,35.2,13.3,47.0%,33.3%,75.0%,1.3,5.3,6.7,1.2,2.0,0.8,0.8,1.3,12.2
5,Raphaella Monteiro,1995-01-28,"1,81",BRA,F,18-19,Sportiva,POR-11,12,31.6,14.1,52.7%,0.0%,78.6%,1.6,6.9,8.5,1.9,1.8,1.3,1.8,1.3,21.1
6,Raphaella Monteiro,1995-01-28,"1,81",BRA,F,2019,Sampaio,BRA-11,24,31.2,11.9,57.0%,30.8%,74.0%,1.4,6.2,7.6,3.1,2.1,0.7,1.8,1.9,18.1
7,Raphaella Monteiro,1995-01-28,"1,81",BRA,F,2020,Sampaio,BRA-11,1,32.0,10.0,55.6%,0.0%,0.0%,0.0,6.0,6.0,3.0,0.0,0.0,3.0,1.0,17.0
8,Raphaella Monteiro,1995-01-28,"1,81",BRA,F,20-21,Q.Lombos,POR-11,18,33.7,16.6,56.1%,29.2%,78.9%,3.1,6.9,10.0,3.2,1.7,0.4,1.8,2.8,24.4
9,Raphaella Monteiro,1995-01-28,"1,81",BRA,F,2021,Sampaio,BRA-11,11,25.5,10.9,43.7%,35.3%,81.5%,1.2,4.4,5.5,1.6,2.4,0.1,1.3,1.5,11.3
10,Raphaella Monteiro,1995-01-28,"1,81",BRA,F,21-22,Benfica,POR-11,28,32.8,14.5,51.6%,32.0%,78.9%,2.2,7.6,9.8,2.4,1.9,0.5,1.9,2.6,20.1
11,Raphaella Monteiro,1995-01-28,"1,81",BRA,F,2022,Ituano,BRA-11,8,33.0,16.1,44.0%,36.8%,91.3%,2.9,8.1,11.0,1.8,2.9,0.5,1.4,2.5,19.8
12,Raphaella Monteiro,1995-01-28,"1,81",BRA,F,22-23,Benfica,Eurocup-11,8,38.6,15.1,49.5%,15.8%,72.2%,2.1,7.1,9.3,2.6,1.8,0.6,1.8,2.8,14.5
13,Raphaella Monteiro,1995-01-28,"1,81",BRA,F,22-23,Benfica,POR-11,30,33.0,15.7,63.7%,24.0%,84.0%,2.0,7.8,9.8,2.5,2.1,0.6,1.3,2.3,23.1
14,Raphaella Monteiro,1995-01-28,"1,81",BRA,F,2023,Sampaio,BRA-11,10,21.3,6.4,65.0%,6.3%,75.0%,1.3,2.8,4.1,0.8,1.9,0.3,1.0,1.6,7.0
15,Raphaella Monteiro,1995-01-28,"1,81",BRA,F,23-24,Benfica,POR-11,18,35.3,10.7,39.1%,41.4%,73.9%,1.4,6.4,7.9,3.8,1.8,0.7,1.3,2.8,16.3
16,Raphaella Monteiro,1995-01-28,"1,81",BRA,F,23-24,Battipaglia,ITA-11,5,28.0,7.2,42.4%,25.0%,71.4%,0.8,3.8,4.6,2.0,2.0,0.2,1.4,2.8,8.2
17,Raphaella Monteiro,1995-01-28,"1,81",BRA,F,2024,Sampaio,BRA-11,15,27.8,10.7,56.9%,50.0%,66.0%,0.6,3.5,4.1,2.0,2.3,0.6,1.6,1.4,13.9
18,Raphaella Monteiro,1995-01-28,"1,81",BRA,F,24-25,Benfica,Eurocup-11,6,31.3,13.0,56.8%,30.0%,79.2%,0.7,5.7,6.3,4.7,2.8,0.2,1.5,2.0,15.7
19,Raphaella Monteiro,1995-01-28,"1,81",BRA,F,24-25,Benfica,POR-11,15,31.5,11.5,45.7%,37.5%,78.6%,1.3,5.3,6.6,4.7,2.1,0.3,1.2,2.1,16.8
