,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Tayara Madonna,1991-07-01,"1,70",BRA-ITA,F/G,10-11,Limburg B,ITA-12,28,26.3,8.4,50.0%,34.8%,73.8%,0.6,2.5,3.1,1.9,3.2,0.1,1.9,2.9,0.0
2,Tayara Madonna,1991-07-01,"1,70",BRA-ITA,F/G,11-12,Limburg B,ITA-12,28,27.5,8.2,44.6%,33.8%,61.4%,0.6,1.9,2.5,0.9,2.7,0.1,2.4,2.6,6.2
3,Tayara Madonna,1991-07-01,"1,70",BRA-ITA,F/G,12-13,Limburg B,ITA-12,26,30.4,9.1,45.6%,33.0%,73.8%,1.0,2.0,3.0,1.3,3.2,0.1,2.1,2.7,6.3
4,Tayara Madonna,1991-07-01,"1,70",BRA-ITA,F/G,13-14,Ancona,ITA-12,8,28.0,5.5,37.0%,30.4%,75.0%,0.8,1.3,2.0,0.5,2.4,0.0,0.9,1.6,1.5
5,Tayara Madonna,1991-07-01,"1,70",BRA-ITA,F/G,14-15,Irpino,ITA-12,27,33.2,14.3,48.6%,38.3%,80.3%,0.7,2.0,2.7,2.4,2.3,0.0,2.6,2.4,12.8
6,Tayara Madonna,1991-07-01,"1,70",BRA-ITA,F/G,15-16,San Giovanni,ITA-11,25,21.5,6.1,48.3%,34.3%,81.5%,0.4,1.3,1.6,1.1,2.6,0.1,1.2,1.4,4.1
7,Tayara Madonna,1991-07-01,"1,70",BRA-ITA,F/G,16-17,Vicenza,ITA-12,32,28.2,10.8,45.1%,39.8%,86.9%,0.5,2.4,2.9,2.4,2.2,0.2,1.6,1.9,10.6
8,Tayara Madonna,1991-07-01,"1,70",BRA-ITA,F/G,17-18,Scrivia,ITA-12,32,34.5,15.2,42.4%,43.0%,71.6%,0.6,4.5,5.1,3.1,1.8,0.2,1.3,2.5,15.3
9,Tayara Madonna,1991-07-01,"1,70",BRA-ITA,F/G,18-19,Empoli,ITA-11,23,28.0,8.2,29.0%,33.1%,91.2%,0.5,2.5,3.0,2.3,3.0,0.0,1.4,2.1,6.2
10,Tayara Madonna,1991-07-01,"1,70",BRA-ITA,F/G,19-20,Empoli,ITA-11,9,29.9,11.0,56.7%,42.2%,80.0%,0.4,2.0,2.4,3.9,1.7,0.0,1.1,2.0,11.6
11,Tayara Madonna,1991-07-01,"1,70",BRA-ITA,F/G,20-21,Scrivia,ITA-12,26,30.4,10.7,38.1%,39.7%,87.5%,0.3,2.3,2.7,3.1,1.8,0.0,1.5,2.7,9.2
12,Tayara Madonna,1991-07-01,"1,70",BRA-ITA,F/G,21-22,Milano,ITA-12,31,33.0,10.4,44.4%,36.2%,85.1%,0.4,3.6,4.0,3.6,1.7,0.1,1.4,2.5,11.5
13,Tayara Madonna,1991-07-01,"1,70",BRA-ITA,F/G,22-23,Milano,ITA-12,32,33.8,9.1,39.0%,40.0%,74.5%,0.5,4.5,5.0,3.5,1.8,0.0,1.1,2.2,11.3
14,Tayara Madonna,1991-07-01,"1,70",BRA-ITA,F/G,23-24,Milano,ITA-11,24,28.0,5.9,33.3%,33.3%,83.3%,0.4,2.0,2.5,2.6,2.3,0.0,1.1,2.0,5.3
15,Tayara Madonna,1991-07-01,"1,70",BRA-ITA,F/G,24-25,Livorno,ITA-12,5,26.8,11.0,62.5%,34.6%,72.7%,1.4,2.4,3.8,4.8,1.8,0.0,0.6,3.6,12.6
