,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Andre Coimbra,1986-10-29,"2,05",BRA,C,10-11,CMU,NCAA1,31,19.0,5.0,50.0%,0.0%,0.0%,1.0,2.0,4.0,0.0,3.0,1.0,0.0,1.0,0.0
2,Andre Coimbra,1986-10-29,"2,05",BRA,C,11-12,CMU,NCAA1,31,27.9,8.1,47.6%,31.0%,71.8%,2.1,3.4,5.5,0.6,3.9,1.0,0.9,2.0,5.8
3,Andre Coimbra,1986-10-29,"2,05",BRA,C,12-13,Ehime OV,JPN-2,22,18.4,6.6,41.1%,25.0%,65.5%,1.2,3.3,4.5,1.4,3.7,0.9,0.5,2.0,3.8
4,Andre Coimbra,1986-10-29,"2,05",BRA,C,12-13,Osaka E.,JPN-2,12,17.5,4.4,30.8%,44.4%,47.4%,1.1,3.3,4.4,0.3,3.5,0.9,0.3,1.1,1.5
5,Andre Coimbra,1986-10-29,"2,05",BRA,C,13-14,Universo/Goiania,BRA-1,32,22.2,9.5,58.9%,37.5%,65.3%,1.8,2.9,4.7,0.6,3.0,0.3,0.3,2.5,6.1
6,Andre Coimbra,1986-10-29,"2,05",BRA,C,14-15,Sesi/Franca,BRA-1,36,17.9,7.0,57.4%,33.3%,61.4%,0.9,2.4,3.3,0.6,3.0,0.4,0.3,2.3,4.7
7,Andre Coimbra,1986-10-29,"2,05",BRA,C,2015,Brasilia,LSA-1,8,11.3,2.6,61.5%,0.0%,71.4%,1.0,1.9,2.9,0.3,3.6,0.0,0.4,1.1,0.5
8,Andre Coimbra,1986-10-29,"2,05",BRA,C,15-16,Brasilia,BRA-1,38,13.3,4.7,65.2%,0.0%,59.6%,1.1,1.8,2.9,0.3,3.0,0.3,0.4,0.6,4.6
9,Andre Coimbra,1986-10-29,"2,05",BRA,C,2016,Brasilia,LAM-1,6,20.3,7.3,66.7%,0.0%,70.6%,1.7,4.7,6.3,1.0,4.7,0.2,0.3,1.0,7.3
10,Andre Coimbra,1986-10-29,"2,05",BRA,C,16-17,Vitoria,BRA-1,39,20.0,5.5,52.3%,33.3%,49.0%,1.3,2.5,3.8,0.9,3.6,0.3,0.4,2.1,3.9
11,Andre Coimbra,1986-10-29,"2,05",BRA,C,17-18,Botafogo,BRA-1,27,23.2,6.9,56.7%,24.2%,54.0%,1.1,4.1,5.2,1.1,3.0,0.9,0.6,1.6,8.3
12,Andre Coimbra,1986-10-29,"2,05",BRA,C,18-19,Sao Jose,BRA-1,28,16.0,5.3,52.1%,0.0%,62.2%,1.1,2.5,3.6,0.6,3.5,0.3,0.4,1.9,3.8
13,Andre Coimbra,1986-10-29,"2,05",BRA,C,19-20,Pato,BRA-1,21,16.5,5.0,53.8%,0.0%,40.0%,1.2,2.5,3.7,0.6,3.0,0.2,0.5,1.4,4.3
14,Andre Coimbra,1986-10-29,"2,05",BRA,C,20-21,Ferro,ARG-1,22,16.0,6.2,50.5%,0.0%,60.0%,1.3,2.9,4.2,0.4,3.1,0.5,0.2,1.7,5.2
15,Andre Coimbra,1986-10-29,"2,05",BRA,C,2021,Salta Basket,ARG-2,30,24.4,9.9,62.1%,0.0%,63.6%,1.6,3.5,5.1,1.3,3.2,0.4,0.4,2.4,11.0
16,Andre Coimbra,1986-10-29,"2,05",BRA,C,2021,Leones,NIC-1,17,34.7,13.1,50.6%,27.3%,69.6%,7.0,2.2,9.2,2.8,2.8,0.9,0.8,3.5,18.8
17,Andre Coimbra,1986-10-29,"2,05",BRA,C,2022,Vila Nova/AEGB,BRA-2,12,23.2,9.9,52.7%,20.0%,64.3%,1.8,4.0,5.8,1.3,3.3,0.5,0.9,2.8,6.9
18,Andre Coimbra,1986-10-29,"2,05",BRA,C,2022,Llaneros,VEN-1,19,18.3,8.9,59.3%,14.3%,65.5%,1.4,2.8,4.2,0.9,3.3,0.6,0.4,1.7,8.7
19,Andre Coimbra,1986-10-29,"2,05",BRA,C,2022,Capitol,URU-2,1,40.0,14.0,50.0%,0.0%,0.0%,6.0,4.0,10.0,0.0,4.0,1.0,0.0,2.0,13.0
20,Andre Coimbra,1986-10-29,"2,05",BRA,C,22-23,Hebraica,URU-1,2,26.5,11.0,66.7%,66.7%,57.1%,1.0,4.0,5.0,2.5,4.0,0.0,0.0,3.0,10.5
21,Andre Coimbra,1986-10-29,"2,05",BRA,C,2023,Bucaros,COL-1,1,23.0,10.0,50.0%,0.0%,60.0%,1.0,8.0,9.0,0.0,3.0,1.0,0.0,1.0,16.0
22,Andre Coimbra,1986-10-29,"2,05",BRA,C,23-24,U.Corinthians,BRA-1,22,14.1,5.2,60.3%,12.5%,62.1%,0.7,1.4,2.1,0.6,3.1,0.2,0.4,1.8,1.7
23,Andre Coimbra,1986-10-29,"2,05",BRA,C,23-24,Puerto Montt,CHI-1,4,38.8,14.3,53.7%,14.3%,52.6%,2.0,6.8,8.8,1.8,3.3,1.8,0.3,4.3,10.3
