,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Caio Pacheco,1999-02-22,"1,89",BRA,PG,2018,Bahia,ARG-1,10,18.6,6.0,29.6%,22.7%,92.9%,0.2,2.0,2.2,2.4,1.3,0.0,0.8,1.5,4.1
2,Caio Pacheco,1999-02-22,"1,89",BRA,PG,18-19,Bahia,ARG-1,19,21.1,5.6,40.5%,18.0%,87.5%,0.4,2.2,2.6,3.1,1.9,0.1,0.7,1.8,4.2
3,Caio Pacheco,1999-02-22,"1,89",BRA,PG,2019,Bahia,ARG-1,5,20.6,11.0,60.0%,17.9%,62.5%,0.4,3.2,3.6,4.8,2.2,0.2,1.0,2.8,11.8
4,Caio Pacheco,1999-02-22,"1,89",BRA,PG,19-20,Bahia,ARG-1,21,27.3,19.4,54.2%,28.8%,75.9%,0.3,2.8,3.1,6.0,2.3,0.1,0.8,3.4,19.3
5,Caio Pacheco,1999-02-22,"1,89",BRA,PG,19-20,Weber Bahia,ARG-4,1,12.0,10.0,66.7%,66.7%,0.0%,0.0,2.0,2.0,3.0,2.0,0.0,1.0,1.0,11.0
6,Caio Pacheco,1999-02-22,"1,89",BRA,PG,20-21,Bahia,ARG-1,31,32.0,16.6,47.2%,29.8%,77.4%,0.7,4.5,5.2,5.1,1.5,0.0,0.8,3.4,18.4
7,Caio Pacheco,1999-02-22,"1,89",BRA,PG,20-21,Murcia,ESP-1,3,15.0,3.0,33.3%,16.7%,66.7%,0.3,0.7,1.0,2.0,1.7,0.0,0.3,1.3,0.0
8,Caio Pacheco,1999-02-22,"1,89",BRA,PG,21-22,Pesaro,ITA-20,1,11.0,2.0,33.3%,0.0%,0.0%,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,-2.0
9,Caio Pacheco,1999-02-22,"1,89",BRA,PG,21-22,MKS DG,ALP-1,4,28.0,13.0,55.6%,37.5%,93.3%,0.8,2.3,3.0,5.0,2.8,0.3,1.3,2.3,16.8
10,Caio Pacheco,1999-02-22,"1,89",BRA,PG,21-22,MKS DG,POL-1,10,22.5,8.7,46.9%,43.3%,78.3%,0.5,2.5,3.0,3.6,1.4,0.0,0.6,1.3,11.4
11,Caio Pacheco,1999-02-22,"1,89",BRA,PG,21-22,Pesaro,ITA-1,1,9.0,2.0,100.0%,0.0%,0.0%,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
12,Caio Pacheco,1999-02-22,"1,89",BRA,PG,22-23,Capitanes M.,G League,36,23.2,6.7,39.5%,33.7%,78.8%,0.5,1.4,1.9,2.5,2.0,0.0,0.6,1.8,4.0
13,Caio Pacheco,1999-02-22,"1,89",BRA,PG,23-24,Real Betis,ESP-2,2,23.0,6.5,20.0%,12.5%,85.7%,1.0,2.0,3.0,3.5,1.5,0.0,1.0,3.5,3.0
14,Caio Pacheco,1999-02-22,"1,89",BRA,PG,23-24,Burgos T.,ESP-2,26,21.1,7.7,54.0%,33.3%,92.1%,0.6,1.2,1.8,3.2,2.3,0.0,0.7,1.5,8.3
15,Caio Pacheco,1999-02-22,"1,89",BRA,PG,24-25,Burgos T.,ESP-2,18,25.1,11.2,45.1%,47.6%,85.3%,1.3,2.0,3.3,4.3,2.5,0.1,1.1,2.3,12.3
