,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Cristiano Felicio,1992-07-07,"2,10",BRA,C,09-10,Minas,LSA-1,1,8.0,4.0,100.0%,0.0%,0.0%,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
2,Cristiano Felicio,1992-07-07,"2,10",BRA,C,13-14,Flamengo,LAM-1,7,14.1,7.1,61.3%,16.7%,75.0%,2.0,3.6,5.6,0.0,1.4,0.0,0.4,0.6,8.3
3,Cristiano Felicio,1992-07-07,"2,10",BRA,C,13-14,Flamengo,BRA-1,39,12.2,4.9,59.2%,23.8%,61.0%,1.3,2.2,3.5,0.4,1.5,0.1,0.2,0.9,4.5
4,Cristiano Felicio,1992-07-07,"2,10",BRA,C,14-15,Flamengo,BRA-1,39,14.3,5.4,65.9%,0.0%,68.5%,1.7,2.8,4.4,0.8,2.2,0.3,0.3,1.1,7.4
5,Cristiano Felicio,1992-07-07,"2,10",BRA,C,2015,Flamengo,LAM-1,8,20.1,6.9,62.1%,0.0%,73.1%,4.3,3.4,7.6,0.5,3.3,0.3,0.3,0.6,9.4
6,Cristiano Felicio,1992-07-07,"2,10",BRA,C,15-16,Chicago B.,NBA,31,10.3,3.4,58.8%,0.0%,71.4%,1.0,2.3,3.3,0.8,1.0,0.4,0.2,0.4,5.4
7,Cristiano Felicio,1992-07-07,"2,10",BRA,C,15-16,Cleveland C.,G League,4,23.0,14.3,72.4%,40.0%,75.0%,2.0,3.5,5.5,1.0,3.3,1.5,0.5,2.0,13.0
8,Cristiano Felicio,1992-07-07,"2,10",BRA,C,16-17,Windy City B.,G League,1,38.0,20.0,50.0%,0.0%,80.0%,5.0,7.0,12.0,1.0,4.0,2.0,1.0,6.0,14.0
9,Cristiano Felicio,1992-07-07,"2,10",BRA,C,16-17,Chicago B.,NBA,72,15.6,4.7,57.8%,0.0%,64.2%,1.8,2.8,4.7,0.6,1.8,0.3,0.4,0.6,6.4
10,Cristiano Felicio,1992-07-07,"2,10",BRA,C,17-18,Windy City B.,G League,8,34.3,17.4,59.4%,0.0%,79.2%,3.5,7.5,11.0,2.6,3.6,2.6,1.5,3.1,22.4
11,Cristiano Felicio,1992-07-07,"2,10",BRA,C,17-18,Chicago B.,NBA,55,17.8,5.6,59.6%,0.0%,66.7%,1.5,2.7,4.2,1.0,1.9,0.2,0.3,1.0,6.4
12,Cristiano Felicio,1992-07-07,"2,10",BRA,C,18-19,Chicago B.,NBA,60,12.4,4.0,54.3%,0.0%,68.5%,1.3,2.3,3.6,0.6,1.2,0.1,0.2,0.6,5.1
13,Cristiano Felicio,1992-07-07,"2,10",BRA,C,19-20,Chicago B.,NBA,22,17.5,3.9,65.4%,0.0%,78.3%,2.5,2.2,4.7,0.7,1.5,0.1,0.5,0.8,6.4
14,Cristiano Felicio,1992-07-07,"2,10",BRA,C,19-20,Windy City B.,G League,4,31.3,16.8,75.0%,66.7%,75.0%,3.3,6.5,9.8,1.5,2.5,1.0,0.3,2.0,21.8
15,Cristiano Felicio,1992-07-07,"2,10",BRA,C,20-21,Chicago B.,NBA,18,4.7,1.3,63.6%,0.0%,56.3%,0.6,0.9,1.4,0.5,0.6,0.0,0.2,0.2,1.9
16,Cristiano Felicio,1992-07-07,"2,10",BRA,C,21-22,Ulm,GER-20,1,22.0,15.0,66.7%,0.0%,87.5%,6.0,8.0,14.0,4.0,3.0,0.0,2.0,3.0,26.0
17,Cristiano Felicio,1992-07-07,"2,10",BRA,C,21-22,Ulm,Eurocup-1,11,27.7,12.0,59.0%,33.3%,80.0%,3.1,4.6,7.7,1.0,2.7,0.3,1.0,2.8,15.4
18,Cristiano Felicio,1992-07-07,"2,10",BRA,C,21-22,Ulm,GER-1,20,26.7,11.0,61.8%,66.7%,75.4%,2.8,5.6,8.4,0.8,2.6,1.0,0.3,1.8,13.7
19,Cristiano Felicio,1992-07-07,"2,10",BRA,C,22-23,Granada,ESP-1,11,22.8,12.8,56.8%,16.7%,79.5%,2.4,2.7,5.1,0.9,2.3,0.2,0.2,1.7,12.9
20,Cristiano Felicio,1992-07-07,"2,10",BRA,C,23-24,Granada,ESP-1,34,21.1,10.2,64.3%,0.0%,76.6%,2.4,3.0,5.4,1.0,2.7,0.2,0.4,1.6,12.3
21,Cristiano Felicio,1992-07-07,"2,10",BRA,C,24-25,Sendai 89ers,JPN-1,33,25.1,10.1,59.9%,27.3%,70.9%,3.2,5.2,8.4,1.4,1.9,0.4,0.6,1.6,17.1
