,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Enrico de Paula,2005-07-13,"2,05",BRA,PF/C,2021,Sao Paulo,BRA-4,1,10.0,9.0,50.0%,0.0%,62.5%,3.0,4.0,7.0,1.0,2.0,0.0,1.0,2.0,12.0
2,Enrico de Paula,2005-07-13,"2,05",BRA,PF/C,21-22,Sao Paulo,BRA-1,4,3.5,0.5,50.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,-1.3
3,Enrico de Paula,2005-07-13,"2,05",BRA,PF/C,2022,Sao Paulo,BRA-5,3,11.0,4.0,40.0%,16.7%,50.0%,1.3,1.0,2.3,0.0,1.0,0.0,1.0,0.7,2.7
4,Enrico de Paula,2005-07-13,"2,05",BRA,PF/C,2022,Sao Paulo,BRA-5,1,7.0,1.0,0.0%,0.0%,50.0%,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0
5,Enrico de Paula,2005-07-13,"2,05",BRA,PF/C,22-23,Sao Paulo,BRA-1,5,20.4,10.2,44.4%,36.4%,70.0%,2.2,3.8,6.0,0.2,1.4,0.8,0.4,0.8,11.4
6,Enrico de Paula,2005-07-13,"2,05",BRA,PF/C,2023,Pinheiros,BRA-5,14,9.6,2.4,57.1%,14.3%,50.0%,0.6,1.2,1.8,0.3,1.4,0.0,0.1,0.7,1.4
7,Enrico de Paula,2005-07-13,"2,05",BRA,PF/C,23-24,Pinheiros,BRA-1,24,4.3,1.3,40.0%,50.0%,50.0%,0.2,0.5,0.7,0.0,0.6,0.0,0.1,0.3,0.7
8,Enrico de Paula,2005-07-13,"2,05",BRA,PF/C,2024,Pinheiros,BRA-5,9,19.4,12.6,61.4%,40.7%,78.8%,1.4,3.4,4.9,0.2,2.0,0.1,0.9,1.1,13.3
9,Enrico de Paula,2005-07-13,"2,05",BRA,PF/C,2024,Pinheiros,BRA-3,5,13.6,4.6,52.9%,16.7%,40.0%,0.0,1.8,1.8,0.6,1.4,0.0,0.4,1.4,1.4
10,Enrico de Paula,2005-07-13,"2,05",BRA,PF/C,24-25,Espanol T.,CHI-20,9,33.8,15.9,45.2%,27.3%,76.7%,2.6,5.1,7.7,1.3,2.4,0.7,0.3,3.0,9.9
