,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Feliciano Perez,1990-05-23,"2,10",BRA,C,2012,Flamengo,LSA-1,4,8.5,3.5,66.7%,0.0%,50.0%,1.0,1.0,2.0,0.8,1.3,0.0,0.0,0.3,3.3
2,Feliciano Perez,1990-05-23,"2,10",BRA,C,12-13,Flamengo,BRA-1,20,7.1,2.0,47.2%,33.3%,33.3%,0.7,1.1,1.8,0.2,1.1,0.2,0.0,0.1,1.6
3,Feliciano Perez,1990-05-23,"2,10",BRA,C,2013,Flamengo,LAM-1,3,10.3,5.3,63.6%,0.0%,100.0%,1.7,2.0,3.7,0.0,1.3,0.0,0.3,0.0,6.3
4,Feliciano Perez,1990-05-23,"2,10",BRA,C,2013,Sesi/Franca,BRA-2,21,14.2,5.0,44.4%,0.0%,54.2%,1.3,2.1,3.5,0.5,2.5,0.4,0.5,0.9,3.0
5,Feliciano Perez,1990-05-23,"2,10",BRA,C,13-14,Sesi/Franca,BRA-1,30,5.5,1.9,55.0%,0.0%,43.3%,0.8,0.7,1.6,0.0,1.1,0.3,0.1,0.7,0.8
6,Feliciano Perez,1990-05-23,"2,10",BRA,C,15-16,Vitoria,BRA-1,31,21.5,6.0,41.0%,12.5%,56.8%,1.6,3.1,4.7,0.4,3.0,0.5,0.3,1.3,5.1
7,Feliciano Perez,1990-05-23,"2,10",BRA,C,2017,Botafogo,BRA-2,28,19.3,5.7,45.5%,16.7%,64.8%,3.8,2.3,6.0,0.7,2.4,0.7,0.5,1.4,8.7
8,Feliciano Perez,1990-05-23,"2,10",BRA,C,2018,Sao Jose,BRA-2,23,21.0,6.4,45.7%,0.0%,61.4%,1.9,4.3,6.1,0.4,2.2,0.7,0.5,1.7,9.3
9,Feliciano Perez,1990-05-23,"2,10",BRA,C,18-19,Cearense,BRA-1,13,12.6,3.2,48.5%,20.0%,46.2%,1.3,2.5,3.8,0.2,1.5,0.4,0.2,1.0,4.2
10,Feliciano Perez,1990-05-23,"2,10",BRA,C,18-19,Rivadavia,ARG-2,31,22.8,9.5,45.2%,9.1%,56.6%,2.3,5.3,7.6,0.8,2.8,0.7,0.6,1.5,12.1
11,Feliciano Perez,1990-05-23,"2,10",BRA,C,19-20,Povoa,POR-2,11,28.3,14.8,56.9%,42.9%,73.5%,3.2,6.6,9.8,1.0,1.6,1.3,1.1,2.5,21.5
12,Feliciano Perez,1990-05-23,"2,10",BRA,C,19-20,Galitos-Barreiro,POR-1,6,30.3,13.3,64.1%,42.9%,50.0%,3.0,5.2,8.2,0.5,3.2,1.2,1.0,1.5,17.2
13,Feliciano Perez,1990-05-23,"2,10",BRA,C,20-21,Galitos-Barreiro,POR-1,11,23.5,5.9,42.4%,6.3%,40.0%,2.4,3.4,5.7,1.0,3.0,0.5,0.4,1.0,5.1
14,Feliciano Perez,1990-05-23,"2,10",BRA,C,20-21,Oliveirense,POR-1,9,20.2,7.2,53.8%,6.7%,64.5%,2.0,2.2,4.2,0.3,2.7,0.6,0.3,1.6,5.7
15,Feliciano Perez,1990-05-23,"2,10",BRA,C,21-22,Oliveirense,POR-1,19,10.3,2.7,45.5%,0.0%,42.9%,0.9,1.6,2.6,0.2,1.6,0.3,0.1,0.5,2.4
16,Feliciano Perez,1990-05-23,"2,10",BRA,C,22-23,Portimonense,POR-2,19,30.0,10.6,53.4%,18.9%,40.0%,2.9,5.6,8.5,0.8,3.3,0.4,1.0,2.1,11.9
17,Feliciano Perez,1990-05-23,"2,10",BRA,C,23-24,Limburg,GER-4,5,29.4,17.4,64.6%,14.3%,50.0%,1.8,5.2,7.0,1.0,1.4,0.4,0.4,2.6,12.6
18,Feliciano Perez,1990-05-23,"2,10",BRA,C,2024,Bima Perkasa,IDN-1,9,21.7,6.4,50.0%,15.4%,33.3%,2.6,4.1,6.7,0.9,2.9,1.3,0.9,1.7,8.8
