,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Felipe Braga,1994-07-11,"2,13",BRA,C,13-14,Pau-Lacq-Orthez,FRA-1,3,3.7,0.0,0.0%,0.0%,0.0%,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.3,-0.3
2,Felipe Braga,1994-07-11,"2,13",BRA,C,2015,S.Jose/Unimed,BRA-2,6,1.2,0.0,0.0%,0.0%,0.0%,0.0,0.2,0.2,0.0,0.3,0.0,0.0,0.2,-0.3
3,Felipe Braga,1994-07-11,"2,13",BRA,C,15-16,S.Jose/Unimed,BRA-1,1,1.0,0.0,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Felipe Braga,1994-07-11,"2,13",BRA,C,16-17,Vitoria,BRA-1,26,7.3,1.4,38.5%,0.0%,37.5%,0.4,0.8,1.2,0.0,1.5,0.3,0.3,0.5,0.5
5,Felipe Braga,1994-07-11,"2,13",BRA,C,17-18,Parque Sur,ARG-2,15,18.5,5.4,50.0%,0.0%,55.3%,1.1,2.1,3.2,0.4,3.2,1.0,0.1,1.5,4.3
6,Felipe Braga,1994-07-11,"2,13",BRA,C,18-19,Un.Oviedo,ESP-4,18,34.7,12.4,45.8%,0.0%,55.7%,3.9,9.7,13.6,1.4,1.9,2.4,0.4,3.5,21.9
7,Felipe Braga,1994-07-11,"2,13",BRA,C,19-20,Angers,FRA-3,5,16.6,4.8,57.1%,0.0%,0.0%,2.4,3.0,5.4,0.6,2.4,1.0,0.2,0.6,6.2
8,Felipe Braga,1994-07-11,"2,13",BRA,C,19-20,CAB Madeira,POR-1,14,6.3,1.6,40.0%,0.0%,41.2%,0.6,1.2,1.8,0.4,1.1,0.1,0.1,0.6,1.8
9,Felipe Braga,1994-07-11,"2,13",BRA,C,20-21,Angers,FRA-3,23,19.5,6.4,61.2%,0.0%,48.8%,1.7,3.4,5.2,0.6,1.8,0.5,0.5,1.2,8.6
10,Felipe Braga,1994-07-11,"2,13",BRA,C,21-22,Lorient,FRA-3,16,13.4,2.8,50.0%,0.0%,26.3%,1.0,2.3,3.3,0.8,1.8,0.6,0.3,0.8,3.8
11,Felipe Braga,1994-07-11,"2,13",BRA,C,22-23,Rueil,FRA-3,37,20.2,5.7,51.1%,0.0%,40.9%,1.4,3.3,4.6,0.9,2.2,0.8,0.4,1.5,6.9
