,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Gabriel Galvanini,1998-09-11,"2,04",BRA,SF,15-16,Bauru,BRA-1,4,1.0,0.5,100.0%,0.0%,0.0%,0.3,0.3,0.5,0.0,0.5,0.0,0.0,0.3,0.3
2,Gabriel Galvanini,1998-09-11,"2,04",BRA,SF,2016,Bauru,BRA-3,7,1.1,0.9,100.0%,100.0%,50.0%,0.1,0.0,0.1,0.1,0.3,0.0,0.1,0.0,1.0
3,Gabriel Galvanini,1998-09-11,"2,04",BRA,SF,2017,Bauru,BRA-3,19,21.6,8.5,47.3%,26.9%,58.5%,1.3,4.3,5.6,0.8,3.2,0.5,0.8,1.5,7.8
4,Gabriel Galvanini,1998-09-11,"2,04",BRA,SF,17-18,Bauru,BRA-1,39,19.9,7.2,62.8%,36.0%,51.5%,1.2,3.5,4.7,1.6,3.2,0.5,0.9,1.1,8.8
5,Gabriel Galvanini,1998-09-11,"2,04",BRA,SF,2018,Bauru,LSA-1,6,22.7,5.5,30.0%,38.9%,100.0%,0.5,2.7,3.2,1.3,2.8,0.0,0.7,1.7,3.2
6,Gabriel Galvanini,1998-09-11,"2,04",BRA,SF,2018,Bauru,LAM-1,6,16.2,4.2,45.0%,0.0%,58.3%,1.3,2.8,4.2,0.7,4.0,0.2,0.8,1.0,2.0
7,Gabriel Galvanini,1998-09-11,"2,04",BRA,SF,2019,Bauru,BRA-3,1,6.0,0.0,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
8,Gabriel Galvanini,1998-09-11,"2,04",BRA,SF,19-20,Bauru,BRA-1,26,20.7,7.2,54.5%,20.8%,40.4%,1.1,3.8,5.0,1.2,3.2,0.3,0.7,1.8,5.8
9,Gabriel Galvanini,1998-09-11,"2,04",BRA,SF,2020,Bauru,BRA-3,7,22.6,8.7,67.9%,21.1%,57.9%,2.0,6.3,8.3,1.1,4.0,0.3,0.7,2.3,12.0
10,Gabriel Galvanini,1998-09-11,"2,04",BRA,SF,20-21,Bauru,BRA-1,31,19.3,8.4,59.6%,12.5%,65.6%,2.1,3.9,6.0,0.9,3.1,0.3,0.6,1.6,10.2
11,Gabriel Galvanini,1998-09-11,"2,04",BRA,SF,2021,Bauru,BRA-3,17,31.7,18.7,62.6%,51.4%,79.1%,1.6,4.1,5.7,1.3,3.3,0.8,1.5,2.2,17.0
12,Gabriel Galvanini,1998-09-11,"2,04",BRA,SF,21-22,Bauru,BRA-1,32,33.0,16.1,60.3%,31.8%,62.8%,2.3,5.2,7.5,1.8,3.7,1.1,1.1,3.0,15.1
13,Gabriel Galvanini,1998-09-11,"2,04",BRA,SF,22-23,Flamengo,LAM-1,10,22.7,11.5,62.1%,26.1%,40.5%,2.3,4.0,6.3,1.4,3.6,0.3,1.1,1.6,9.0
14,Gabriel Galvanini,1998-09-11,"2,04",BRA,SF,22-23,Flamengo,BRA-1,39,24.9,12.6,67.0%,42.5%,63.6%,2.5,4.6,7.1,2.0,2.6,0.5,0.7,2.4,15.0
15,Gabriel Galvanini,1998-09-11,"2,04",BRA,SF,2023,Flamengo,LAM-1,2,29.0,18.0,61.9%,33.3%,57.1%,4.5,3.5,8.0,0.5,4.5,1.5,1.0,3.0,14.0
16,Gabriel Galvanini,1998-09-11,"2,04",BRA,SF,23-24,Flamengo,LAM-1,9,26.7,16.2,60.7%,33.3%,54.8%,3.7,4.8,8.4,1.4,3.4,0.8,1.0,1.9,15.2
17,Gabriel Galvanini,1998-09-11,"2,04",BRA,SF,23-24,Flamengo,BRA-1,46,25.3,13.5,62.1%,29.7%,64.6%,2.3,4.7,7.0,1.7,2.9,0.5,1.2,2.2,14.9
18,Gabriel Galvanini,1998-09-11,"2,04",BRA,SF,24-25,Kolossos HH,BCL-1,4,20.8,11.3,62.1%,18.2%,75.0%,2.3,4.3,6.5,1.0,2.3,0.3,0.5,1.0,11.0
19,Gabriel Galvanini,1998-09-11,"2,04",BRA,SF,24-25,Kolossos HH,GRE-1,11,21.6,9.9,58.5%,26.9%,76.5%,1.9,4.2,6.1,1.1,3.2,0.5,1.4,2.3,11.1
