,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,João Cardoso,2000-08-28,"2,00",BRA,PF,2019,Pinheiros,BRA-4,15,27.5,13.5,69.6%,21.4%,56.8%,3.7,2.6,6.3,1.3,2.1,0.9,2.3,1.2,18.2
2,João Cardoso,2000-08-28,"2,00",BRA,PF,2019,Pinheiros,LSA-1,1,2.0,0.0,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,João Cardoso,2000-08-28,"2,00",BRA,PF,19-20,Pinheiros,BRA-1,1,6.0,2.0,100.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0
4,João Cardoso,2000-08-28,"2,00",BRA,PF,20-21,Crn Dream,MKD-1,23,30.4,13.0,62.6%,29.1%,48.7%,2.7,5.6,8.3,0.7,2.7,1.0,1.3,1.5,16.7
5,João Cardoso,2000-08-28,"2,00",BRA,PF,21-22,Cearense,BRA-1,20,33.9,13.5,67.4%,30.6%,61.1%,3.9,5.7,9.6,1.1,3.5,1.1,1.4,1.2,17.3
6,João Cardoso,2000-08-28,"2,00",BRA,PF,21-22,MZT Skopje II,MKD-1,7,13.6,3.9,54.2%,0.0%,100.0%,0.7,1.6,2.3,0.7,2.1,0.6,0.3,0.9,4.0
7,João Cardoso,2000-08-28,"2,00",BRA,PF,2022,Corinthians,BRA-3,13,25.9,10.4,68.8%,25.6%,56.7%,2.7,6.4,9.1,1.3,2.8,1.4,1.0,1.2,14.1
8,João Cardoso,2000-08-28,"2,00",BRA,PF,2022,Corinthians,BRA-5,5,29.0,14.2,69.4%,0.0%,33.3%,6.4,5.0,11.4,1.8,2.2,1.8,2.6,1.6,24.0
9,João Cardoso,2000-08-28,"2,00",BRA,PF,22-23,Corinthians,BRA-1,32,29.3,11.2,72.9%,34.0%,60.9%,2.6,7.2,9.8,0.8,2.7,1.2,1.0,0.8,17.8
10,João Cardoso,2000-08-28,"2,00",BRA,PF,23-24,Capitanes M.,G League,40,23.5,10.8,67.9%,29.7%,62.1%,2.7,6.0,8.7,0.9,2.9,1.2,1.4,1.7,15.1
11,João Cardoso,2000-08-28,"2,00",BRA,PF,23-24,Memphis G.,NBA,7,17.9,6.9,59.1%,38.5%,70.0%,1.6,3.7,5.3,0.3,1.4,0.6,0.9,0.7,8.9
12,João Cardoso,2000-08-28,"2,00",BRA,PF,24-25,Memphis H.,G League,14,25.3,8.3,65.2%,29.2%,66.7%,2.1,4.6,6.8,1.2,1.5,0.7,1.2,1.5,11.4
