,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Marcelinho Huertas,1983-05-25,"1,91",BRA-ITA,PG,08-09,Fortitudo BO,ITA-1,29,27.6,10.4,55.6%,24.2%,83.3%,0.6,2.1,2.7,2.5,2.0,0.0,1.9,0.0,0.0
2,Marcelinho Huertas,1983-05-25,"1,91",BRA-ITA,PG,08-09,Fortitudo BO,Eurocup-1,6,23.7,8.7,56.0%,45.5%,90.0%,1.3,1.2,2.5,2.7,2.2,0.0,1.7,0.0,0.0
3,Marcelinho Huertas,1983-05-25,"1,91",BRA-ITA,PG,09-10,Baskonia,EUROL-1,16,20.5,8.3,60.6%,30.8%,85.2%,0.4,1.4,1.8,3.9,1.6,0.0,0.6,0.0,0.0
4,Marcelinho Huertas,1983-05-25,"1,91",BRA-ITA,PG,09-10,Baskonia,ESP-1,36,24.9,8.6,49.3%,45.6%,82.9%,0.8,2.4,3.1,4.9,2.2,0.0,1.3,0.6,4.1
5,Marcelinho Huertas,1983-05-25,"1,91",BRA-ITA,PG,10-11,Baskonia,EUROL-1,20,28.2,10.3,46.9%,44.2%,86.5%,0.8,2.3,3.1,5.6,1.8,0.1,0.8,2.7,14.0
6,Marcelinho Huertas,1983-05-25,"1,91",BRA-ITA,PG,10-11,Baskonia,ESP-1,39,28.4,9.9,52.7%,43.2%,87.3%,0.6,2.3,2.9,5.9,2.4,0.0,0.7,2.3,13.5
7,Marcelinho Huertas,1983-05-25,"1,91",BRA-ITA,PG,11-12,Barca,ESP-1,45,22.4,8.3,52.6%,40.1%,86.4%,0.6,1.9,2.5,3.2,1.1,0.0,1.0,1.9,10.2
8,Marcelinho Huertas,1983-05-25,"1,91",BRA-ITA,PG,11-12,Barca,EUROL-1,21,23.2,8.5,55.7%,43.9%,86.7%,0.4,1.6,2.0,4.4,1.8,0.0,1.0,2.0,10.7
9,Marcelinho Huertas,1983-05-25,"1,91",BRA-ITA,PG,12-13,Barca,EUROL-1,31,20.0,8.0,47.8%,34.7%,97.2%,0.4,1.8,2.2,3.4,1.2,0.0,0.6,1.8,8.7
10,Marcelinho Huertas,1983-05-25,"1,91",BRA-ITA,PG,12-13,Barca,ESP-1,45,20.4,8.8,47.3%,38.9%,84.4%,0.4,1.7,2.1,3.4,1.2,0.0,0.9,1.7,10.2
11,Marcelinho Huertas,1983-05-25,"1,91",BRA-ITA,PG,13-14,Barca,EUROL-1,29,21.0,8.2,59.3%,33.8%,81.1%,0.4,1.6,2.0,3.8,1.2,0.0,0.4,1.7,9.5
12,Marcelinho Huertas,1983-05-25,"1,91",BRA-ITA,PG,13-14,Barca,ESP-1,44,21.9,8.9,57.8%,32.8%,94.3%,0.6,1.7,2.3,4.5,1.2,0.0,0.7,1.6,11.5
13,Marcelinho Huertas,1983-05-25,"1,91",BRA-ITA,PG,14-15,Barca,ESP-1,44,20.4,8.0,54.4%,35.6%,84.0%,0.5,1.5,2.0,4.3,1.5,0.0,0.6,1.8,9.6
14,Marcelinho Huertas,1983-05-25,"1,91",BRA-ITA,PG,14-15,Barca,EUROL-1,28,21.7,7.6,42.5%,36.5%,83.3%,0.2,2.1,2.3,4.4,1.8,0.0,0.5,2.0,8.5
15,Marcelinho Huertas,1983-05-25,"1,91",BRA-ITA,PG,15-16,LA Lakers,NBA,53,16.3,4.5,47.9%,26.2%,93.1%,0.3,1.4,1.7,3.4,1.4,0.1,0.5,1.5,4.7
16,Marcelinho Huertas,1983-05-25,"1,91",BRA-ITA,PG,16-17,LA Lakers,NBA,23,10.3,2.7,42.9%,21.1%,52.9%,0.1,1.0,1.0,2.3,0.7,0.1,0.4,0.8,2.8
17,Marcelinho Huertas,1983-05-25,"1,91",BRA-ITA,PG,17-18,Baskonia,EUROL-1,29,16.1,5.9,40.6%,43.2%,92.1%,0.2,0.8,1.0,3.6,1.6,0.0,0.1,1.5,6.2
18,Marcelinho Huertas,1983-05-25,"1,91",BRA-ITA,PG,17-18,Baskonia,ESP-1,42,20.0,7.8,50.3%,37.0%,87.7%,0.5,1.6,2.1,4.7,1.7,0.0,0.5,1.7,9.9
19,Marcelinho Huertas,1983-05-25,"1,91",BRA-ITA,PG,18-19,Baskonia,EUROL-1,34,19.0,7.8,52.4%,42.1%,88.4%,0.5,1.0,1.5,4.7,1.8,0.0,0.7,2.5,8.6
20,Marcelinho Huertas,1983-05-25,"1,91",BRA-ITA,PG,18-19,Baskonia,ESP-1,34,19.2,7.3,54.2%,37.5%,97.0%,0.5,1.5,2.0,4.9,1.3,0.0,0.7,1.7,10.1
21,Marcelinho Huertas,1983-05-25,"1,91",BRA-ITA,PG,19-20,Tenerife,BCL-1,17,25.1,12.1,54.7%,32.6%,86.8%,0.4,1.9,2.4,8.1,1.7,0.0,1.2,2.3,14.5
22,Marcelinho Huertas,1983-05-25,"1,91",BRA-ITA,PG,20-21,Tenerife,BCL-1,12,21.2,8.9,47.6%,34.4%,100.0%,0.3,0.8,1.0,6.0,2.3,0.0,0.4,1.4,8.1
23,Marcelinho Huertas,1983-05-25,"1,91",BRA-ITA,PG,20-21,Tenerife,ESP-1,40,25.6,14.6,53.9%,38.8%,93.8%,0.5,1.5,2.0,6.3,1.7,0.0,0.8,2.8,15.6
24,Marcelinho Huertas,1983-05-25,"1,91",BRA-ITA,PG,21-22,Tenerife,BCL-1,19,24.3,10.5,57.1%,30.0%,77.8%,0.4,1.2,1.6,7.3,1.8,0.0,0.4,2.4,10.9
25,Marcelinho Huertas,1983-05-25,"1,91",BRA-ITA,PG,21-22,Tenerife,ESP-1,37,24.1,12.6,50.3%,30.3%,90.3%,0.6,1.3,1.9,6.3,1.6,0.0,0.6,2.6,14.3
26,Marcelinho Huertas,1983-05-25,"1,91",BRA-ITA,PG,22-23,Tenerife,BCL-1,17,23.8,12.9,58.4%,42.9%,87.9%,0.3,1.5,1.8,6.8,1.8,0.1,0.7,2.8,13.4
27,Marcelinho Huertas,1983-05-25,"1,91",BRA-ITA,PG,22-23,Tenerife,ESP-1,35,22.7,11.6,54.9%,32.8%,82.9%,0.4,1.5,1.9,5.6,1.1,0.0,0.7,2.9,12.6
28,Marcelinho Huertas,1983-05-25,"1,91",BRA-ITA,PG,23-24,Tenerife,BCL-1,17,27.5,16.4,54.7%,34.8%,91.8%,0.6,2.6,3.2,7.9,1.9,0.1,0.5,2.6,16.9
29,Marcelinho Huertas,1983-05-25,"1,91",BRA-ITA,PG,23-24,Tenerife,ESP-1,36,25.9,14.2,52.7%,37.7%,91.2%,0.5,1.9,2.4,6.4,1.6,0.0,0.7,2.7,15.7
30,Marcelinho Huertas,1983-05-25,"1,91",BRA-ITA,PG,24-25,Tenerife,ESP-1,18,23.8,13.2,48.6%,40.0%,91.7%,0.6,1.5,2.1,6.7,1.3,0.1,0.7,3.1,15.0
31,Marcelinho Huertas,1983-05-25,"1,91",BRA-ITA,PG,24-25,Tenerife,BCL-1,6,23.2,15.0,56.9%,36.8%,100.0%,0.7,1.2,1.8,5.7,1.3,0.0,0.7,2.2,14.0
