,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Marcio Santos,2002-11-02,"2,04",BRA,PF/C,18-19,Sesi/Franca,LAM-1,1,2.0,0.0,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
2,Marcio Santos,2002-11-02,"2,04",BRA,PF/C,18-19,Sesi/Franca,BRA-1,4,6.0,3.0,75.0%,25.0%,75.0%,0.5,1.5,2.0,0.0,1.3,0.3,0.8,0.8,3.3
3,Marcio Santos,2002-11-02,"2,04",BRA,PF/C,2019,Sesi/Franca,BRA-3,6,11.5,5.5,46.2%,22.2%,75.0%,1.0,2.3,3.3,0.2,2.8,0.3,0.2,0.5,5.2
4,Marcio Santos,2002-11-02,"2,04",BRA,PF/C,2019,SESI Franca,BRA-4,11,26.3,15.1,56.2%,27.3%,78.6%,3.3,4.4,7.6,1.1,2.7,0.9,1.5,2.6,20.3
5,Marcio Santos,2002-11-02,"2,04",BRA,PF/C,19-20,Sesi/Franca,LAM-1,5,4.4,1.4,75.0%,0.0%,100.0%,0.0,1.0,1.0,0.2,1.4,0.0,0.2,0.4,0.8
6,Marcio Santos,2002-11-02,"2,04",BRA,PF/C,19-20,Sesi/Franca,BRA-1,13,4.4,1.8,50.0%,40.0%,77.8%,0.3,0.7,1.0,0.2,1.3,0.1,0.0,0.3,1.2
7,Marcio Santos,2002-11-02,"2,04",BRA,PF/C,2020,Sesi/Franca,BRA-3,6,17.0,7.5,70.0%,50.0%,66.7%,0.5,3.0,3.5,0.7,3.8,0.7,0.2,1.2,7.8
8,Marcio Santos,2002-11-02,"2,04",BRA,PF/C,20-21,Sesi/Franca,LAM-1,5,11.8,2.0,50.0%,0.0%,40.0%,0.6,1.6,2.2,0.2,1.6,0.8,0.4,1.2,0.6
9,Marcio Santos,2002-11-02,"2,04",BRA,PF/C,20-21,Sesi/Franca,BRA-1,30,16.6,7.4,63.2%,43.8%,63.1%,1.0,3.1,4.1,0.4,2.7,0.7,0.5,1.0,9.2
10,Marcio Santos,2002-11-02,"2,04",BRA,PF/C,2021,SESI Franca,BRA-4,13,30.5,18.7,56.8%,26.7%,69.7%,2.8,8.3,11.2,1.2,2.6,0.7,1.4,2.4,24.5
11,Marcio Santos,2002-11-02,"2,04",BRA,PF/C,2021,Sesi/Franca,BRA-3,20,18.1,7.5,55.1%,20.0%,76.9%,2.0,2.4,4.4,0.8,2.3,0.8,0.6,1.3,6.8
12,Marcio Santos,2002-11-02,"2,04",BRA,PF/C,21-22,Sesi/Franca,BRA-1,40,16.3,8.1,63.9%,26.5%,59.2%,1.4,3.0,4.4,0.7,2.2,0.5,0.4,1.0,8.2
13,Marcio Santos,2002-11-02,"2,04",BRA,PF/C,2022,SESI Franca,BRA-5,5,31.2,16.8,61.8%,40.0%,94.7%,3.0,5.2,8.2,1.8,2.4,0.6,1.8,4.0,21.0
14,Marcio Santos,2002-11-02,"2,04",BRA,PF/C,22-23,Sesi/Franca,LAM-1,10,16.8,8.5,63.6%,14.3%,76.7%,1.9,3.8,5.7,1.0,3.3,0.8,0.4,0.9,8.7
15,Marcio Santos,2002-11-02,"2,04",BRA,PF/C,22-23,Sesi/Franca,BRA-1,47,18.1,8.0,60.0%,23.6%,72.6%,1.3,2.8,4.1,0.7,2.6,0.7,0.3,1.2,7.2
16,Marcio Santos,2002-11-02,"2,04",BRA,PF/C,2023,Atlanta H.,NBA,1,18.0,2.0,0.0%,0.0%,50.0%,2.0,4.0,6.0,0.0,4.0,0.0,0.0,1.0,0.0
17,Marcio Santos,2002-11-02,"2,04",BRA,PF/C,2023,SESI Franca,BRA-5,6,27.8,14.3,55.3%,34.8%,74.1%,1.5,6.3,7.8,1.7,2.0,1.5,0.8,3.5,19.2
18,Marcio Santos,2002-11-02,"2,04",BRA,PF/C,2023,Sesi/Franca,IntCup-1,3,23.0,13.3,65.0%,33.3%,61.5%,2.3,4.7,7.0,0.0,4.0,1.0,0.7,2.3,10.3
19,Marcio Santos,2002-11-02,"2,04",BRA,PF/C,2023,Sesi/Franca,BRA-3,15,26.3,12.9,61.5%,18.9%,64.7%,1.6,5.0,6.6,2.1,3.1,1.1,0.5,2.4,11.7
20,Marcio Santos,2002-11-02,"2,04",BRA,PF/C,2023,Sesi/Franca,LAM-1,1,12.0,9.0,80.0%,0.0%,50.0%,2.0,0.0,2.0,0.0,3.0,1.0,1.0,2.0,5.0
21,Marcio Santos,2002-11-02,"2,04",BRA,PF/C,23-24,Sesi/Franca,LAM-1,8,23.9,12.9,55.3%,52.4%,75.0%,1.9,4.3,6.1,2.0,2.6,0.4,1.4,1.8,13.8
22,Marcio Santos,2002-11-02,"2,04",BRA,PF/C,23-24,Sesi/Franca,BRA-1,49,22.0,12.9,57.9%,47.2%,76.2%,2.0,4.4,6.4,1.0,2.7,0.8,0.7,2.2,13.8
23,Marcio Santos,2002-11-02,"2,04",BRA,PF/C,24-25,Ulm,GER-20,1,9.0,3.0,100.0%,0.0%,50.0%,0.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0
24,Marcio Santos,2002-11-02,"2,04",BRA,PF/C,24-25,Ulm,GER-1,17,16.1,6.4,61.4%,29.6%,77.5%,1.2,2.5,3.8,0.8,3.0,0.4,0.5,1.5,4.7
25,Marcio Santos,2002-11-02,"2,04",BRA,PF/C,24-25,Ulm,Eurocup-1,17,15.0,7.6,58.7%,44.1%,81.6%,1.6,1.6,3.2,0.9,3.5,0.4,0.4,1.4,7.4
