,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Marcus Toledo,1986-07-10,"2,03",BRA-ESP,F,09-10,Manresa,ESP-1,23,6.6,1.7,50.0%,40.0%,45.5%,0.5,0.7,1.2,0.1,1.0,0.1,0.4,0.0,0.0
2,Marcus Toledo,1986-07-10,"2,03",BRA-ESP,F,10-11,Burgos SP,ESP-2,40,20.6,7.1,52.5%,23.1%,42.4%,1.4,2.3,3.7,1.2,2.1,0.2,1.2,1.6,7.7
3,Marcus Toledo,1986-07-10,"2,03",BRA-ESP,F,11-12,Burgos SP,ESP-2,39,22.4,7.6,62.2%,26.9%,50.0%,1.8,3.6,5.4,1.6,2.4,0.4,2.1,1.4,12.1
4,Marcus Toledo,1986-07-10,"2,03",BRA-ESP,F,12-13,Burgos SP,ESP-2,25,20.9,8.7,63.2%,28.1%,62.3%,2.2,2.9,5.0,1.3,1.8,0.1,1.7,1.3,13.0
5,Marcus Toledo,1986-07-10,"2,03",BRA-ESP,F,2013,Mogi,BRA-2,27,29.6,11.0,53.5%,24.1%,68.0%,2.6,3.9,6.5,1.6,2.6,0.3,2.4,2.5,10.9
6,Marcus Toledo,1986-07-10,"2,03",BRA-ESP,F,13-14,Mogi,BRA-1,44,28.8,12.0,53.8%,32.5%,58.8%,2.6,3.7,6.3,1.7,2.5,0.4,1.6,4.1,8.9
7,Marcus Toledo,1986-07-10,"2,03",BRA-ESP,F,14-15,Pinheiros,BRA-1,33,30.0,11.5,50.7%,30.0%,66.4%,2.2,4.2,6.5,1.5,2.3,0.4,2.1,2.0,14.3
8,Marcus Toledo,1986-07-10,"2,03",BRA-ESP,F,15-16,Cearense,BRA-1,31,30.5,12.2,48.9%,34.2%,54.7%,2.6,4.4,7.0,0.8,2.2,0.2,1.6,2.0,13.5
9,Marcus Toledo,1986-07-10,"2,03",BRA-ESP,F,16-17,Cearense,BRA-1,29,24.7,9.0,49.7%,26.2%,43.2%,2.0,3.7,5.7,0.8,2.0,0.1,1.4,1.2,10.6
10,Marcus Toledo,1986-07-10,"2,03",BRA-ESP,F,2017,Pinheiros,BRA-3,16,27.5,11.1,52.5%,21.1%,60.0%,2.4,4.4,6.9,1.9,3.0,0.3,2.0,1.5,15.1
11,Marcus Toledo,1986-07-10,"2,03",BRA-ESP,F,2017,Pinheiros,LSA-1,5,25.4,10.8,51.4%,66.7%,58.8%,2.2,4.4,6.6,1.4,2.4,0.2,1.8,1.8,12.2
12,Marcus Toledo,1986-07-10,"2,03",BRA-ESP,F,17-18,Pinheiros,BRA-1,13,25.0,9.6,76.2%,0.0%,65.9%,1.8,3.2,5.0,1.8,1.8,0.3,0.9,1.4,15.8
13,Marcus Toledo,1986-07-10,"2,03",BRA-ESP,F,18-19,Pinheiros,BRA-1,31,26.5,8.0,51.3%,14.3%,50.0%,3.5,3.5,7.1,1.1,2.3,0.2,1.7,1.0,14.5
14,Marcus Toledo,1986-07-10,"2,03",BRA-ESP,F,2019,Pinheiros,BRA-3,16,28.2,11.4,62.7%,22.2%,63.2%,2.5,4.1,6.6,1.1,2.3,0.1,1.6,0.9,16.3
15,Marcus Toledo,1986-07-10,"2,03",BRA-ESP,F,2019,Pinheiros,LSA-1,6,19.2,7.7,57.6%,0.0%,57.1%,2.3,2.5,4.8,1.7,2.3,0.0,2.0,1.0,12.0
16,Marcus Toledo,1986-07-10,"2,03",BRA-ESP,F,19-20,Pinheiros,BRA-1,24,25.1,9.2,54.3%,0.0%,60.9%,2.7,2.4,5.1,1.7,2.4,0.2,1.3,1.5,12.0
17,Marcus Toledo,1986-07-10,"2,03",BRA-ESP,F,20-21,Lleida,ESP-2,22,15.1,3.8,50.0%,26.5%,73.0%,1.1,1.2,2.3,0.7,1.6,0.2,0.6,0.4,4.5
18,Marcus Toledo,1986-07-10,"2,03",BRA-ESP,F,21-22,Valls,ESP-4,14,28.6,14.9,63.3%,21.7%,62.1%,2.0,7.3,9.3,1.6,2.4,0.2,2.0,3.1,20.5
19,Marcus Toledo,1986-07-10,"2,03",BRA-ESP,F,22-23,Valls,ESP-4,24,24.1,9.5,57.6%,18.9%,63.0%,1.4,4.5,6.0,1.7,2.3,0.1,1.4,1.8,13.8
20,Marcus Toledo,1986-07-10,"2,03",BRA-ESP,F,23-24,Valls,ESP-4,23,23.0,8.9,46.6%,26.9%,53.6%,2.9,6.0,8.9,1.3,2.3,0.3,1.3,1.4,15.2
21,Marcus Toledo,1986-07-10,"2,03",BRA-ESP,F,24-25,Valls,ESP-4,13,14.9,3.2,35.3%,7.1%,50.0%,1.6,2.8,4.5,1.0,1.5,0.0,0.8,1.1,5.6
