,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Oscar da Silva,1998-09-21,"2,05",BRA-ALE,PF/C,14-15,Schwabing,GER-4,18,18.2,7.2,60.5%,15.8%,56.4%,1.4,2.4,3.9,1.0,1.8,0.4,0.8,1.4,6.4
2,Oscar da Silva,1998-09-21,"2,05",BRA-ALE,PF/C,16-17,Schwabing,GER-4,21,30.7,18.0,70.1%,30.2%,73.0%,2.7,5.4,8.1,2.8,3.1,2.8,1.6,2.6,22.0
3,Oscar da Silva,1998-09-21,"2,05",BRA-ALE,PF/C,17-18,Stanford,NCAA1,35,24.1,6.2,49.5%,55.8%,63.6%,1.5,3.1,4.7,1.1,2.7,0.9,0.4,1.5,6.4
4,Oscar da Silva,1998-09-21,"2,05",BRA-ALE,PF/C,18-19,Stanford,NCAA1,31,28.3,9.5,65.1%,25.7%,68.3%,1.5,4.5,6.0,1.8,2.6,1.3,0.7,2.0,10.0
5,Oscar da Silva,1998-09-21,"2,05",BRA-ALE,PF/C,19-20,Stanford,NCAA1,31,28.6,15.7,60.6%,31.7%,77.1%,1.8,4.6,6.4,1.5,2.8,0.8,1.1,2.6,14.7
6,Oscar da Silva,1998-09-21,"2,05",BRA-ALE,PF/C,20-21,Ludwigsburg,GER-1,17,14.1,6.6,64.1%,26.1%,66.7%,1.1,2.1,3.2,0.5,1.8,0.6,0.4,0.8,5.9
7,Oscar da Silva,1998-09-21,"2,05",BRA-ALE,PF/C,20-21,Stanford,NCAA1,24,32.2,18.5,61.9%,31.1%,79.1%,1.8,5.0,6.7,2.4,2.8,1.0,0.9,2.5,18.0
8,Oscar da Silva,1998-09-21,"2,05",BRA-ALE,PF/C,2021,OKC Thunder,NBA,4,15.3,7.5,42.1%,50.0%,40.0%,1.5,3.5,5.0,0.3,1.3,1.0,0.8,1.0,7.8
9,Oscar da Silva,1998-09-21,"2,05",BRA-ALE,PF/C,21-22,ALBA,GER-20,4,14.8,9.3,83.3%,100.0%,57.1%,1.5,2.3,3.8,1.8,0.8,1.0,1.0,0.3,14.3
10,Oscar da Silva,1998-09-21,"2,05",BRA-ALE,PF/C,21-22,ALBA,EUROL-1,33,18.9,8.8,62.4%,25.6%,71.7%,1.2,2.2,3.5,0.8,1.8,0.6,0.9,0.9,9.6
11,Oscar da Silva,1998-09-21,"2,05",BRA-ALE,PF/C,21-22,ALBA,GER-1,41,20.6,11.3,65.5%,46.2%,78.2%,1.6,3.6,5.2,1.1,1.3,1.1,1.0,0.9,14.3
12,Oscar da Silva,1998-09-21,"2,05",BRA-ALE,PF/C,22-23,Barca,EUROL-1,27,12.7,2.9,53.7%,30.0%,64.0%,1.0,1.6,2.6,0.2,1.5,0.1,0.3,0.4,3.1
13,Oscar da Silva,1998-09-21,"2,05",BRA-ALE,PF/C,22-23,Barca,ESP-1,27,18.0,5.8,61.3%,39.0%,61.5%,1.6,2.0,3.6,0.6,2.0,0.4,0.5,0.7,6.5
14,Oscar da Silva,1998-09-21,"2,05",BRA-ALE,PF/C,23-24,Barca,EUROL-1,37,15.1,3.4,58.4%,24.2%,60.0%,1.3,1.5,2.8,0.4,1.7,0.2,0.6,0.3,4.1
15,Oscar da Silva,1998-09-21,"2,05",BRA-ALE,PF/C,23-24,Barca,ESP-1,37,16.6,5.7,68.9%,35.3%,65.1%,0.9,1.8,2.7,0.5,1.9,0.4,0.6,0.5,6.5
16,Oscar da Silva,1998-09-21,"2,05",BRA-ALE,PF/C,24-25,Bayern,GER-20,2,20.5,6.0,55.6%,0.0%,66.7%,1.5,4.5,6.0,2.0,3.0,0.0,1.0,0.5,8.5
17,Oscar da Silva,1998-09-21,"2,05",BRA-ALE,PF/C,24-25,Bayern,GER-1,13,19.3,6.5,66.7%,5.3%,81.0%,1.7,2.8,4.5,1.0,1.4,0.7,0.7,1.1,7.9
18,Oscar da Silva,1998-09-21,"2,05",BRA-ALE,PF/C,24-25,Bayern,EUROL-1,23,16.6,5.0,64.6%,35.3%,68.4%,1.2,2.0,3.1,0.5,2.1,0.3,0.5,0.7,6.0
