,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Pedro Ianguas,1998-01-01,"2,10",BRA,C,18-19,Bahia,ARG-1,31,11.2,2.9,52.2%,0.0%,69.2%,0.9,1.7,2.6,0.3,2.1,0.4,0.2,0.5,3.2
2,Pedro Ianguas,1998-01-01,"2,10",BRA,C,18-19,Weber Bahia,ARG-4,35,20.5,11.5,56.9%,0.0%,66.4%,3.4,5.1,8.5,0.8,2.7,1.0,0.6,1.5,15.8
3,Pedro Ianguas,1998-01-01,"2,10",BRA,C,2019,Bahia,ARG-1,8,17.8,5.6,61.5%,16.7%,62.5%,1.0,5.1,6.1,0.8,2.0,0.8,0.5,0.8,9.6
4,Pedro Ianguas,1998-01-01,"2,10",BRA,C,19-20,Bahia,ARG-1,21,8.5,3.3,66.0%,0.0%,36.8%,1.2,1.9,3.1,0.1,1.7,0.3,0.1,0.7,3.6
5,Pedro Ianguas,1998-01-01,"2,10",BRA,C,19-20,Weber Bahia,ARG-4,23,20.0,11.7,63.9%,37.5%,62.4%,3.1,6.3,9.3,0.8,2.1,1.0,0.6,1.4,18.2
6,Pedro Ianguas,1998-01-01,"2,10",BRA,C,20-21,Paulistano,BRA-1,22,6.0,1.6,56.5%,50.0%,50.0%,0.7,0.6,1.3,0.1,1.3,0.1,0.1,0.1,1.5
7,Pedro Ianguas,1998-01-01,"2,10",BRA,C,21-22,O.Mundial,URU-1,27,35.7,12.0,59.5%,0.0%,71.4%,4.6,6.3,10.9,1.3,3.7,1.3,0.6,1.6,19.4
8,Pedro Ianguas,1998-01-01,"2,10",BRA,C,21-22,San Martin,ARG-1,10,6.4,1.8,63.6%,0.0%,44.4%,0.6,0.6,1.2,0.2,1.4,0.2,0.1,0.4,1.6
9,Pedro Ianguas,1998-01-01,"2,10",BRA,C,2022,San Martin,LSA-1,8,13.6,4.8,58.6%,0.0%,36.4%,1.6,1.6,3.3,0.8,2.1,0.4,0.3,1.1,3.8
10,Pedro Ianguas,1998-01-01,"2,10",BRA,C,22-23,San Martin,ARG-1,37,13.3,3.6,67.1%,0.0%,48.4%,1.3,2.1,3.4,0.7,2.0,0.3,0.3,0.5,5.4
11,Pedro Ianguas,1998-01-01,"2,10",BRA,C,2023,O.Mundial,URU-2,18,31.9,10.0,59.8%,0.0%,48.2%,4.6,6.7,11.2,1.3,3.2,1.2,0.7,2.3,17.6
12,Pedro Ianguas,1998-01-01,"2,10",BRA,C,23-24,Platense,ARG-1,46,23.1,8.0,67.5%,0.0%,56.1%,2.7,3.8,6.5,0.4,2.7,0.7,0.3,0.9,11.8
13,Pedro Ianguas,1998-01-01,"2,10",BRA,C,24-25,Platense,ARG-1,20,19.6,5.9,70.7%,0.0%,55.0%,2.2,3.9,6.1,0.7,2.6,0.5,0.3,0.5,9.9
