,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Raul Neto,1992-05-19,"1,85",BRA,PG,2009,Minas,LSA-1,1,16.0,4.0,100.0%,0.0%,0.0%,0.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0
2,Raul Neto,1992-05-19,"1,85",BRA,PG,2009,Minas,LAM-1,6,11.3,4.0,33.3%,33.3%,87.5%,0.3,0.3,0.7,1.7,2.0,0.0,0.3,0.0,0.0
3,Raul Neto,1992-05-19,"1,85",BRA,PG,2009,Minas,BRA-1,21,2.5,0.8,75.0%,25.0%,50.0%,0.0,0.1,0.2,0.4,0.2,0.0,0.5,0.0,0.0
4,Raul Neto,1992-05-19,"1,85",BRA,PG,09-10,Minas,LSA-1,6,16.2,5.8,75.0%,25.0%,100.0%,0.2,1.3,1.5,3.0,2.2,0.0,1.8,0.0,0.0
5,Raul Neto,1992-05-19,"1,85",BRA,PG,09-10,Minas,LAM-1,3,11.3,4.0,33.3%,33.3%,87.5%,0.3,0.3,0.7,1.7,2.0,0.0,0.3,0.0,0.0
6,Raul Neto,1992-05-19,"1,85",BRA,PG,11-12,Gipuzkoa,ESP-1,37,17.2,5.8,49.3%,23.5%,70.7%,0.6,1.1,1.8,2.1,2.3,0.0,1.1,1.7,5.3
7,Raul Neto,1992-05-19,"1,85",BRA,PG,12-13,Gipuzkoa,ESP-1,34,24.0,8.5,48.5%,39.0%,79.2%,0.4,1.9,2.4,2.9,2.5,0.1,1.0,1.8,8.7
8,Raul Neto,1992-05-19,"1,85",BRA,PG,13-14,Gipuzkoa,ESP-1,27,27.0,9.8,47.8%,33.8%,72.6%,0.6,2.2,2.9,3.3,2.9,0.1,1.1,1.6,10.2
9,Raul Neto,1992-05-19,"1,85",BRA,PG,14-15,Murcia,ESP-1,34,22.0,8.9,51.1%,20.5%,66.7%,0.5,1.6,2.1,3.9,2.8,0.1,1.2,2.7,8.3
10,Raul Neto,1992-05-19,"1,85",BRA,PG,14-15,Murcia,ESP-1,34,22.0,8.9,51.1%,20.5%,66.7%,0.5,1.6,2.1,3.9,2.8,0.1,1.2,2.7,8.3
11,Raul Neto,1992-05-19,"1,85",BRA,PG,15-16,Utah Jazz,NBA,81,18.5,5.9,45.3%,39.5%,74.3%,0.2,1.3,1.5,2.1,1.5,0.0,0.8,1.3,4.3
12,Raul Neto,1992-05-19,"1,85",BRA,PG,16-17,SLC Stars,G League,1,33.0,14.0,71.4%,25.0%,100.0%,1.0,8.0,9.0,12.0,5.0,0.0,1.0,0.0,26.0
13,Raul Neto,1992-05-19,"1,85",BRA,PG,16-17,Utah Jazz,NBA,49,8.3,2.5,52.9%,35.1%,92.3%,0.1,0.7,0.8,0.8,1.1,0.1,0.4,0.4,1.9
14,Raul Neto,1992-05-19,"1,85",BRA,PG,17-18,Utah Jazz,NBA,49,11.7,4.2,45.8%,38.9%,77.5%,0.2,1.0,1.2,1.7,0.9,0.1,0.3,0.8,3.6
15,Raul Neto,1992-05-19,"1,85",BRA,PG,18-19,Utah Jazz,NBA,40,12.3,5.0,51.9%,32.8%,84.8%,0.2,1.5,1.6,2.4,1.3,0.1,0.4,0.9,4.8
16,Raul Neto,1992-05-19,"1,85",BRA,PG,19-20,Philadelphia 76,NBA,55,12.6,5.1,49.6%,38.7%,83.0%,0.2,1.0,1.2,1.8,0.9,0.1,0.5,0.9,4.4
17,Raul Neto,1992-05-19,"1,85",BRA,PG,20-21,Washington W.,NBA,71,22.0,8.5,50.8%,38.0%,88.0%,0.4,2.0,2.4,2.1,1.7,0.1,1.1,0.8,7.8
18,Raul Neto,1992-05-19,"1,85",BRA,PG,21-22,Washington W.,NBA,70,19.6,7.5,52.6%,29.2%,76.9%,0.2,1.7,1.9,3.1,1.5,0.0,0.8,1.1,7.0
19,Raul Neto,1992-05-19,"1,85",BRA,PG,22-23,Cleveland C.,NBA,49,10.9,3.2,66.2%,27.9%,88.9%,0.2,0.7,0.9,1.6,1.0,0.1,0.3,0.5,3.5
20,Raul Neto,1992-05-19,"1,85",BRA,PG,24-25,Barca,EUROL-1,2,4.0,2.5,50.0%,100.0%,0.0%,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,4.0
21,Raul Neto,1992-05-19,"1,85",BRA,PG,24-25,Pinheiros,BRA-1,5,20.4,16.8,63.4%,18.8%,85.2%,0.6,2.6,3.2,5.0,1.8,0.6,1.6,3.0,20.0
