,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Romulo Gusmão,1995-10-01,"2,08",BRA,C,2016,Brasilia,LSA-1,3,2.3,0.7,33.3%,0.0%,0.0%,0.3,0.7,1.0,0.0,0.3,0.0,0.0,0.3,0.3
2,Romulo Gusmão,1995-10-01,"2,08",BRA,C,2017,Ferro,ARG-1,2,2.5,0.0,0.0%,0.0%,0.0%,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.5,-1.0
3,Romulo Gusmão,1995-10-01,"2,08",BRA,C,17-18,Ferro,ARG-1,26,5.1,2.1,74.2%,0.0%,61.5%,0.7,1.1,1.8,0.1,1.0,0.1,0.2,0.2,2.9
4,Romulo Gusmão,1995-10-01,"2,08",BRA,C,2018,Ferro,ARG-1,7,7.4,1.4,45.5%,0.0%,0.0%,0.1,1.6,1.7,0.0,1.7,0.3,0.0,0.3,0.6
5,Romulo Gusmão,1995-10-01,"2,08",BRA,C,2018,Ferro,LAM-1,3,4.0,0.0,0.0%,0.0%,0.0%,0.7,0.3,1.0,0.3,1.7,0.0,0.0,0.0,-0.7
6,Romulo Gusmão,1995-10-01,"2,08",BRA,C,18-19,Ferro,ARG-1,18,2.1,0.6,33.3%,0.0%,100.0%,0.2,0.3,0.4,0.1,0.5,0.1,0.2,0.1,0.3
7,Romulo Gusmão,1995-10-01,"2,08",BRA,C,2019,Argentino,ARG-1,8,17.1,6.3,53.3%,0.0%,33.3%,1.1,3.5,4.6,0.3,3.6,1.0,0.4,1.0,5.8
8,Romulo Gusmão,1995-10-01,"2,08",BRA,C,19-20,Argentino,ARG-1,25,10.5,3.4,58.0%,0.0%,41.7%,0.9,2.4,3.4,0.3,2.1,0.6,0.5,0.4,4.6
9,Romulo Gusmão,1995-10-01,"2,08",BRA,C,20-21,Ferro,ARG-1,36,12.4,4.6,55.1%,0.0%,69.4%,0.9,2.5,3.4,0.3,2.2,0.8,0.4,0.7,5.5
10,Romulo Gusmão,1995-10-01,"2,08",BRA,C,21-22,Cerrado,BRA-1,29,14.9,6.9,50.3%,33.3%,73.7%,1.3,2.3,3.6,0.5,2.0,0.3,0.3,0.9,5.8
11,Romulo Gusmão,1995-10-01,"2,08",BRA,C,2022,O.Mundial,URU-2,21,30.1,12.3,51.8%,11.1%,67.4%,2.7,7.6,10.3,1.5,2.5,1.7,0.4,1.3,18.1
12,Romulo Gusmão,1995-10-01,"2,08",BRA,C,22-23,Cearense,BRA-1,31,13.8,3.9,46.0%,0.0%,69.6%,1.4,2.7,4.1,0.4,1.1,0.4,0.2,0.5,5.5
13,Romulo Gusmão,1995-10-01,"2,08",BRA,C,2024,Cruzeiro,BRA-2,10,18.6,5.5,52.2%,0.0%,58.3%,2.1,2.6,4.7,0.6,2.3,0.5,0.4,0.8,5.7
14,Romulo Gusmão,1995-10-01,"2,08",BRA,C,24-25,H.Americano,ARG-2,17,29.6,13.4,66.5%,14.3%,40.0%,3.4,6.2,9.5,0.9,2.2,0.5,1.2,1.2,19.0
15,Romulo Gusmão,1995-10-01,"2,08",BRA,C,2025,H.Americano,ARG-2,5,32.2,12.4,53.2%,11.1%,56.3%,4.4,5.6,10.0,1.2,3.0,0.8,1.4,1.0,16.2
