,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Tim Soares,1997-02-04,"2,11",BRA-EUA,C,16-17,Master's,NCAA1,1,5.0,2.0,50.0%,0.0%,0.0%,2.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0
2,Tim Soares,1997-02-04,"2,11",BRA-EUA,C,16-17,Master's,NAIA,28,18.9,8.9,61.8%,0.0%,82.7%,1.9,5.1,7.0,0.7,3.2,1.8,0.5,1.2,11.7
3,Tim Soares,1997-02-04,"2,11",BRA-EUA,C,17-18,Master's,NAIA,32,24.4,14.3,60.2%,45.3%,74.0%,2.7,5.7,8.4,1.0,3.2,2.8,0.7,1.8,0.0
4,Tim Soares,1997-02-04,"2,11",BRA-EUA,C,18-19,Master's,NAIA,33,23.6,15.8,65.7%,33.8%,83.2%,2.7,6.2,8.8,1.0,3.4,2.1,0.8,2.5,0.0
5,Tim Soares,1997-02-04,"2,11",BRA-EUA,C,20-21,Samsunspor,TUR-2,36,30.2,14.1,56.8%,39.4%,78.1%,2.8,6.7,9.5,1.6,3.1,0.7,0.9,2.3,16.0
6,Tim Soares,1997-02-04,"2,11",BRA-EUA,C,21-22,I.Ness Ziona,FEL-1,2,22.5,8.0,77.8%,0.0%,100.0%,1.5,3.5,5.0,1.0,5.0,1.0,0.5,2.0,5.0
7,Tim Soares,1997-02-04,"2,11",BRA-EUA,C,21-22,I.Ness Ziona,ISR-1,27,26.1,14.1,62.1%,53.8%,83.3%,2.3,4.1,6.4,1.5,3.7,1.3,0.9,2.1,17.8
8,Tim Soares,1997-02-04,"2,11",BRA-EUA,C,2022,Milwaukee B.,NBA,2,7.0,4.5,100.0%,33.3%,0.0%,0.0,1.0,1.0,0.0,1.5,0.0,0.0,0.0,3.0
9,Tim Soares,1997-02-04,"2,11",BRA-EUA,C,22-23,Sydney,AUS-1,36,21.4,9.4,58.7%,39.8%,75.3%,1.4,3.5,4.9,0.6,3.1,1.0,0.7,1.4,9.9
10,Tim Soares,1997-02-04,"2,11",BRA-EUA,C,2023,Caguas,PUR-1,5,23.0,10.4,57.1%,25.0%,61.5%,2.2,4.6,6.8,1.2,3.0,0.8,0.2,0.6,12.0
11,Tim Soares,1997-02-04,"2,11",BRA-EUA,C,2023,Guaynabo,PUR-1,19,30.8,16.3,62.4%,45.2%,76.3%,2.3,5.3,7.6,1.9,3.5,1.6,1.2,1.4,20.6
12,Tim Soares,1997-02-04,"2,11",BRA-EUA,C,23-24,Nagoya DD,JPN-1,40,23.9,10.3,57.7%,38.8%,69.2%,1.9,4.7,6.6,2.1,2.6,1.0,0.6,1.8,12.5
13,Tim Soares,1997-02-04,"2,11",BRA-EUA,C,24-25,Koshigaya A.,JPN-1,35,28.7,14.0,58.1%,35.0%,78.5%,1.8,4.5,6.3,2.3,2.8,0.9,1.0,2.5,16.7
