,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Victor Bafutto,1998-06-14,"2,08",BRA,F,18-19,Mercer,NCAA1,29,8.2,2.9,54.7%,0.0%,50.0%,0.9,0.9,1.8,0.0,1.5,1.0,0.2,0.7,2.1
2,Victor Bafutto,1998-06-14,"2,08",BRA,F,19-20,Mercer,NCAA1,31,9.1,3.6,51.0%,0.0%,52.0%,1.1,1.4,2.5,0.3,1.9,0.4,0.2,1.0,2.2
3,Victor Bafutto,1998-06-14,"2,08",BRA,F,20-21,Mercer,NCAA1,5,4.0,2.0,71.4%,0.0%,0.0%,0.4,0.8,1.2,0.2,0.0,0.2,0.0,0.4,2.8
4,Victor Bafutto,1998-06-14,"2,08",BRA,F,21-22,Mercer,NCAA2,1,4.0,4.0,66.7%,0.0%,0.0%,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
5,Victor Bafutto,1998-06-14,"2,08",BRA,F,21-22,Mercer,NAIA,1,12.0,0.0,0.0%,0.0%,0.0%,1.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0
6,Victor Bafutto,1998-06-14,"2,08",BRA,F,21-22,Mercer,NCAA1,13,8.3,3.0,65.4%,0.0%,62.5%,0.8,1.2,1.9,0.4,1.3,0.7,0.2,1.0,2.8
7,Victor Bafutto,1998-06-14,"2,08",BRA,F,22-23,ULM,NAIA,1,18.0,14.0,100.0%,0.0%,100.0%,3.0,6.0,9.0,2.0,1.0,2.0,0.0,1.0,25.0
8,Victor Bafutto,1998-06-14,"2,08",BRA,F,22-23,ULM,NCAA1,32,26.8,7.3,50.3%,0.0%,64.8%,3.0,3.9,6.9,1.1,2.3,2.3,0.4,1.6,10.4
9,Victor Bafutto,1998-06-14,"2,08",BRA,F,23-24,Melilla,ESP-3,14,15.1,6.0,50.8%,42.9%,45.8%,2.4,1.9,4.2,0.1,2.3,0.6,0.4,1.4,5.5
10,Victor Bafutto,1998-06-14,"2,08",BRA,F,23-24,Clavijo,ESP-2,7,13.0,2.4,57.1%,0.0%,50.0%,0.7,1.0,1.7,0.4,2.0,0.4,0.1,1.1,1.3
11,Victor Bafutto,1998-06-14,"2,08",BRA,F,24-25,IA,ISL-2,15,31.1,15.7,63.4%,19.0%,79.5%,4.3,9.1,13.4,1.8,2.2,1.9,0.7,2.6,27.6
