,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Vinicius Pastor,1990-09-09,"2,00",BRA,F,2011,Jacarei,BRA-2,13,23.6,9.8,58.5%,39.5%,83.3%,0.8,2.9,3.8,1.8,3.2,0.4,1.1,1.3,8.5
2,Vinicius Pastor,1990-09-09,"2,00",BRA,F,12-13,Paulistano,BRA-1,15,4.5,1.9,70.0%,37.5%,100.0%,0.3,0.5,0.8,0.1,0.2,0.3,0.0,0.1,2.3
3,Vinicius Pastor,1990-09-09,"2,00",BRA,F,2013,Jacarei,BRA-2,22,24.7,11.0,51.5%,33.8%,82.4%,1.7,3.1,4.8,1.6,2.9,0.3,1.1,1.5,9.4
4,Vinicius Pastor,1990-09-09,"2,00",BRA,F,14-15,Rio Claro,BRA-1,23,10.3,2.9,54.3%,26.1%,73.3%,0.7,1.1,1.8,0.7,2.0,0.0,0.3,0.5,2.0
5,Vinicius Pastor,1990-09-09,"2,00",BRA,F,2015,Rio Claro,BRA-2,17,7.6,2.4,53.8%,33.3%,33.3%,0.4,1.4,1.8,0.3,1.6,0.0,0.5,0.4,1.8
6,Vinicius Pastor,1990-09-09,"2,00",BRA,F,15-16,Rio Claro,BRA-1,32,8.4,2.8,45.0%,32.5%,76.2%,0.5,1.0,1.4,0.4,1.6,0.1,0.4,0.6,1.8
7,Vinicius Pastor,1990-09-09,"2,00",BRA,F,2016,Rio Claro,BRA-3,21,14.5,3.9,57.8%,24.0%,64.7%,0.9,1.8,2.7,0.9,1.9,0.1,0.7,1.3,4.0
8,Vinicius Pastor,1990-09-09,"2,00",BRA,F,16-17,Campo Mourao,BRA-1,32,26.4,10.0,46.9%,39.0%,65.6%,1.5,3.3,4.8,1.4,2.5,0.2,0.9,1.4,10.0
9,Vinicius Pastor,1990-09-09,"2,00",BRA,F,2017,Osasco B.,BRA-3,15,27.9,9.2,41.7%,14.5%,88.9%,1.3,3.6,4.9,1.9,1.9,0.1,0.9,1.9,8.1
10,Vinicius Pastor,1990-09-09,"2,00",BRA,F,17-18,Campo Mourao,BRA-1,23,26.3,9.9,49.4%,31.8%,74.5%,1.4,3.3,4.8,1.3,2.2,0.3,0.8,1.3,9.6
11,Vinicius Pastor,1990-09-09,"2,00",BRA,F,2018,Corinthians,BRA-2,1,5.0,0.0,0.0%,0.0%,0.0%,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Vinicius Pastor,1990-09-09,"2,00",BRA,F,18-19,Sao Jose,BRA-1,28,17.4,6.9,59.5%,40.0%,68.1%,1.0,2.2,3.3,1.2,2.0,0.3,0.8,1.0,8.5
13,Vinicius Pastor,1990-09-09,"2,00",BRA,F,2019,Rio Claro,BRA-3,11,28.5,8.4,54.8%,29.6%,71.0%,1.7,5.1,6.8,1.5,3.4,0.3,0.9,1.2,10.8
14,Vinicius Pastor,1990-09-09,"2,00",BRA,F,19-20,Rio Claro,BRA-1,16,22.4,8.2,63.3%,40.0%,58.3%,1.1,3.8,4.8,1.4,2.8,0.1,0.6,1.1,8.7
15,Vinicius Pastor,1990-09-09,"2,00",BRA,F,20-21,UniFacisa,BRA-1,33,20.5,8.6,57.1%,40.7%,77.1%,1.5,2.8,4.2,0.9,2.1,0.2,0.8,1.1,9.0
16,Vinicius Pastor,1990-09-09,"2,00",BRA,F,2021,Rio Claro,BRA-3,15,28.9,10.0,45.5%,37.1%,80.8%,1.6,4.1,5.7,1.3,2.6,0.1,0.9,1.3,8.5
17,Vinicius Pastor,1990-09-09,"2,00",BRA,F,21-22,Rio Claro,BRA-1,33,20.9,6.6,51.5%,31.3%,71.8%,1.6,2.1,3.7,0.7,2.1,0.1,0.7,1.0,5.5
18,Vinicius Pastor,1990-09-09,"2,00",BRA,F,22-23,U.Corinthians,BRA-1,32,12.6,3.9,57.1%,32.8%,62.5%,0.9,1.4,2.3,0.5,1.5,0.1,0.3,0.7,3.1
19,Vinicius Pastor,1990-09-09,"2,00",BRA,F,2023,Mogi,BRA-3,12,23.4,7.0,50.0%,37.8%,78.6%,1.3,2.7,4.0,1.2,2.5,0.0,0.6,0.9,5.8
20,Vinicius Pastor,1990-09-09,"2,00",BRA,F,23-24,Mogi,BRA-1,36,18.9,5.5,52.8%,33.7%,73.3%,1.0,2.3,3.3,0.9,2.3,0.1,0.6,0.7,4.9
21,Vinicius Pastor,1990-09-09,"2,00",BRA,F,24-25,Bigua,LAM-1,2,15.5,8.0,42.9%,50.0%,100.0%,0.5,3.5,4.0,0.5,1.5,0.0,0.0,0.0,8.0
22,Vinicius Pastor,1990-09-09,"2,00",BRA,F,24-25,Bigua,URU-1,2,11.0,4.5,40.0%,33.3%,100.0%,1.0,0.5,1.5,0.0,2.5,0.0,0.0,1.0,0.5
