,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Augusto Lima,1991-09-11,"2,09",BRA-ESP,C,09-10,Unicaja,EUROL-1,8,12.8,4.9,66.7%,16.7%,53.3%,0.6,2.1,2.8,0.1,2.3,0.3,0.6,0.0,0.0
2,Augusto Lima,1991-09-11,"2,09",BRA-ESP,C,09-10,Clinicas Rincon,ESP-2,20,26.9,13.0,58.6%,28.6%,58.4%,2.9,5.4,8.3,0.7,2.4,0.6,1.3,0.0,0.0
3,Augusto Lima,1991-09-11,"2,09",BRA-ESP,C,09-10,Unicaja,ESP-1,9,15.0,6.4,60.0%,0.0%,52.6%,1.0,2.7,3.7,0.2,1.7,0.8,0.7,0.0,0.0
4,Augusto Lima,1991-09-11,"2,09",BRA-ESP,C,10-11,Unicaja,EUROL-1,7,9.3,2.9,52.6%,0.0%,0.0%,1.0,2.1,3.1,0.1,2.0,0.6,0.4,0.4,3.3
5,Augusto Lima,1991-09-11,"2,09",BRA-ESP,C,10-11,Clinicas Rincon,ESP-2,11,25.5,13.0,50.5%,38.9%,60.0%,3.1,4.4,7.5,0.4,2.6,0.5,1.2,1.5,15.1
6,Augusto Lima,1991-09-11,"2,09",BRA-ESP,C,10-11,Granada,ESP-1,15,18.5,7.9,51.6%,25.0%,61.5%,2.4,3.1,5.5,0.3,2.9,0.7,0.7,1.5,8.2
7,Augusto Lima,1991-09-11,"2,09",BRA-ESP,C,10-11,Unicaja,ESP-1,7,4.6,1.7,50.0%,0.0%,50.0%,0.3,0.6,0.9,0.0,1.0,0.3,0.1,0.4,0.9
8,Augusto Lima,1991-09-11,"2,09",BRA-ESP,C,11-12,Unicaja,ESP-1,29,9.0,2.1,45.0%,0.0%,43.8%,1.2,2.0,3.2,0.1,1.5,0.4,0.3,0.8,3.0
9,Augusto Lima,1991-09-11,"2,09",BRA-ESP,C,11-12,Clinicas Rincon,ESP-1,5,17.2,7.6,42.1%,20.0%,50.0%,2.0,2.6,4.6,1.0,2.4,0.2,1.0,1.0,5.8
10,Augusto Lima,1991-09-11,"2,09",BRA-ESP,C,11-12,Unicaja,EUROL-1,7,10.1,2.9,41.2%,0.0%,60.0%,0.4,2.0,2.4,0.3,2.0,0.6,0.3,0.9,2.6
11,Augusto Lima,1991-09-11,"2,09",BRA-ESP,C,11-12,Clinicas Rincon,ESP-2,5,17.2,7.6,42.1%,20.0%,50.0%,2.0,2.6,4.6,1.0,2.4,0.2,1.0,1.0,5.8
12,Augusto Lima,1991-09-11,"2,09",BRA-ESP,C,12-13,Unicaja,EUROL-1,21,10.2,3.2,49.0%,27.3%,50.0%,0.7,2.0,2.7,0.1,1.6,0.2,0.1,0.8,2.9
13,Augusto Lima,1991-09-11,"2,09",BRA-ESP,C,12-13,Unicaja,ESP-1,31,9.5,2.6,41.9%,0.0%,85.7%,1.0,1.3,2.3,0.2,1.3,0.1,0.2,0.5,2.5
14,Augusto Lima,1991-09-11,"2,09",BRA-ESP,C,13-14,Murcia,ESP-1,30,22.5,10.3,53.4%,0.0%,64.5%,3.4,3.7,7.1,0.9,3.1,0.6,1.5,1.4,13.7
15,Augusto Lima,1991-09-11,"2,09",BRA-ESP,C,14-15,Murcia,ESP-1,34,24.1,10.4,56.0%,50.0%,66.9%,2.8,4.4,7.2,0.6,2.4,1.1,1.6,1.1,15.6
16,Augusto Lima,1991-09-11,"2,09",BRA-ESP,C,15-16,Real Madrid,EUROL-1,8,9.1,3.4,86.7%,0.0%,16.7%,0.8,1.3,2.0,0.1,1.9,0.0,0.1,0.8,3.1
17,Augusto Lima,1991-09-11,"2,09",BRA-ESP,C,15-16,Murcia,ESP-1,17,23.5,9.1,54.4%,0.0%,65.6%,2.2,3.6,5.9,1.1,2.5,0.7,1.1,1.2,13.4
18,Augusto Lima,1991-09-11,"2,09",BRA-ESP,C,15-16,Real Madrid,ESP-1,18,11.3,4.9,72.9%,0.0%,51.4%,1.1,2.1,3.1,0.6,2.0,0.4,0.2,1.1,5.7
