,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Bruno Caboclo,1995-09-21,"2,08",BRA,C,2013,Pinheiros,BRA-2,8,5.0,2.6,40.0%,20.0%,63.6%,0.3,1.0,1.3,0.1,0.8,0.1,0.3,1.0,0.4
2,Bruno Caboclo,1995-09-21,"2,08",BRA,C,13-14,Pinheiros,LAM-1,3,14.7,8.0,71.4%,66.7%,100.0%,0.7,1.7,2.3,0.7,1.3,0.3,0.0,0.3,8.3
3,Bruno Caboclo,1995-09-21,"2,08",BRA,C,13-14,Pinheiros,BRA-1,16,12.7,4.9,58.1%,31.8%,72.4%,0.8,2.4,3.1,0.2,0.9,0.6,0.4,1.4,4.5
4,Bruno Caboclo,1995-09-21,"2,08",BRA,C,14-15,Toronto R.,NBA,8,3.0,1.3,22.2%,66.7%,0.0%,0.1,0.1,0.3,0.0,0.4,0.1,0.0,0.5,-0.3
5,Bruno Caboclo,1995-09-21,"2,08",BRA,C,14-15,Indiana MA,G League,7,8.4,3.4,26.3%,33.3%,100.0%,0.9,1.0,1.9,0.0,1.6,0.7,0.1,1.0,0.1
6,Bruno Caboclo,1995-09-21,"2,08",BRA,C,15-16,Raptors 905,G League,37,33.9,14.7,48.0%,33.5%,72.7%,1.2,5.2,6.5,1.7,3.8,1.8,1.1,2.1,10.9
7,Bruno Caboclo,1995-09-21,"2,08",BRA,C,15-16,Toronto R.,NBA,6,7.2,0.5,0.0%,14.3%,0.0%,0.2,0.2,0.3,0.2,0.3,0.2,0.3,0.7,-1.3
8,Bruno Caboclo,1995-09-21,"2,08",BRA,C,16-17,Raptors 905,G League,41,26.7,10.2,50.8%,34.6%,63.6%,1.2,4.2,5.4,1.2,2.2,1.3,0.9,1.4,9.4
9,Bruno Caboclo,1995-09-21,"2,08",BRA,C,16-17,Toronto R.,NBA,8,5.0,1.8,40.0%,33.3%,0.0%,0.6,0.6,1.3,0.5,0.5,0.1,0.3,0.3,1.9
10,Bruno Caboclo,1995-09-21,"2,08",BRA,C,17-18,Stockton K.,G League,2,20.5,9.5,40.0%,50.0%,0.0%,1.0,4.5,5.5,1.5,4.0,0.5,1.0,2.0,8.0
11,Bruno Caboclo,1995-09-21,"2,08",BRA,C,17-18,Raptors 905,G League,34,30.1,14.4,46.6%,33.5%,83.1%,1.8,4.7,6.5,1.3,2.3,1.6,1.3,1.9,12.6
12,Bruno Caboclo,1995-09-21,"2,08",BRA,C,17-18,Sacramento K.,NBA,10,10.0,2.6,42.9%,20.0%,83.3%,0.7,1.4,2.1,0.3,0.7,0.4,0.2,0.4,2.4
13,Bruno Caboclo,1995-09-21,"2,08",BRA,C,17-18,Toronto R.,NBA,2,3.5,0.0,0.0%,0.0%,0.0%,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0
14,Bruno Caboclo,1995-09-21,"2,08",BRA,C,18-19,Memphis G.,NBA,34,23.5,8.3,50.5%,36.9%,84.0%,1.2,3.4,4.6,1.5,2.4,1.0,0.4,1.1,8.3
15,Bruno Caboclo,1995-09-21,"2,08",BRA,C,18-19,RGV Vipers,G League,28,28.0,16.4,60.5%,42.8%,74.4%,2.5,4.6,7.1,1.3,3.8,3.0,1.1,1.8,17.0
16,Bruno Caboclo,1995-09-21,"2,08",BRA,C,2019,Memphis G.,NBA,5,21.8,11.2,61.9%,25.0%,92.3%,2.4,4.8,7.2,1.0,3.0,1.6,1.2,2.0,11.8
17,Bruno Caboclo,1995-09-21,"2,08",BRA,C,19-20,Memphis G.,NBA,5,21.8,11.2,61.9%,25.0%,92.3%,2.4,4.8,7.2,1.0,3.0,1.6,1.2,2.0,11.8
18,Bruno Caboclo,1995-09-21,"2,08",BRA,C,19-20,Memphis H.,G League,2,25.0,11.5,72.7%,16.7%,100.0%,1.5,3.5,5.0,3.0,2.5,3.0,1.5,2.0,15.5
19,Bruno Caboclo,1995-09-21,"2,08",BRA,C,19-20,Memphis G.,NBA,22,8.8,2.8,54.5%,16.0%,66.7%,0.8,1.2,2.0,0.5,1.0,0.5,0.5,0.3,3.0
20,Bruno Caboclo,1995-09-21,"2,08",BRA,C,19-20,Houston R.,NBA,10,6.0,3.0,69.2%,22.2%,100.0%,0.6,1.3,1.9,0.2,1.0,0.5,0.6,0.6,3.5
21,Bruno Caboclo,1995-09-21,"2,08",BRA,C,20-21,Houston R.,NBA,6,6.2,2.8,66.7%,0.0%,50.0%,0.5,1.8,2.3,0.2,1.0,0.3,0.0,0.7,2.3
22,Bruno Caboclo,1995-09-21,"2,08",BRA,C,20-21,Limoges,FRA-1,19,22.2,10.8,53.0%,44.8%,65.1%,1.4,3.8,5.2,0.8,2.1,0.6,0.5,1.4,11.2
23,Bruno Caboclo,1995-09-21,"2,08",BRA,C,2021,Sao Paulo,BRA-3,15,32.8,14.1,62.1%,31.1%,85.7%,1.5,5.3,6.7,1.3,2.3,1.5,0.9,1.9,14.2
24,Bruno Caboclo,1995-09-21,"2,08",BRA,C,21-22,Sao Paulo,LAM-1,9,36.7,23.9,73.8%,53.1%,81.0%,2.4,8.7,11.1,1.1,2.4,3.6,1.1,2.3,30.3
25,Bruno Caboclo,1995-09-21,"2,08",BRA,C,21-22,Sao Paulo,BRA-1,35,32.9,16.8,60.4%,36.1%,69.3%,2.1,5.7,7.7,1.4,2.5,1.7,1.1,1.9,18.4
26,Bruno Caboclo,1995-09-21,"2,08",BRA,C,2022,Utah Jazz,NBA,4,23.0,13.3,69.2%,22.2%,78.6%,2.3,5.3,7.5,1.0,3.8,1.5,1.3,2.8,13.5
27,Bruno Caboclo,1995-09-21,"2,08",BRA,C,2022,Utah Jazz,NBA,3,22.0,9.0,83.3%,33.3%,80.0%,1.3,5.0,6.3,0.7,3.0,0.3,0.7,2.7,9.7
28,Bruno Caboclo,1995-09-21,"2,08",BRA,C,22-23,Capitanes M.,G League,18,26.6,14.9,64.4%,29.1%,73.0%,1.7,4.7,6.3,1.5,4.1,2.3,0.8,2.7,13.7
29,Bruno Caboclo,1995-09-21,"2,08",BRA,C,22-23,Ulm,Eurocup-1,11,28.0,17.4,68.7%,30.4%,70.8%,2.5,5.3,7.8,0.8,3.5,1.5,0.5,2.5,19.6
30,Bruno Caboclo,1995-09-21,"2,08",BRA,C,22-23,Ulm,GER-1,30,26.2,14.9,65.8%,28.6%,80.4%,2.5,3.8,6.3,1.0,3.3,2.0,0.9,2.0,14.9
31,Bruno Caboclo,1995-09-21,"2,08",BRA,C,23-24,Partizan,EUROL-1,27,19.9,9.4,70.0%,50.0%,72.6%,1.4,2.6,4.0,0.2,2.7,0.7,0.6,1.3,10.5
