,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Bruno Duranti,1993-03-26,"1,97",BRA-ITA,F,10-11,RO SAzzurra,ITA-4,3,5.0,2.3,25.0%,50.0%,33.3%,0.7,1.0,1.7,0.3,0.3,0.3,0.7,0.3,0.0
2,Bruno Duranti,1993-03-26,"1,97",BRA-ITA,F,13-14,Ferentino,ITA-2,15,2.8,0.7,45.5%,0.0%,0.0%,0.1,0.3,0.3,0.0,0.4,0.0,0.1,0.1,-0.1
3,Bruno Duranti,1993-03-26,"1,97",BRA-ITA,F,15-16,Campli Globo,ITA-3,33,20.6,5.0,51.1%,24.3%,53.8%,0.7,3.5,4.3,1.0,1.8,0.4,1.0,1.4,6.2
4,Bruno Duranti,1993-03-26,"1,97",BRA-ITA,F,16-17,Campli Globo,ITA-3,33,30.0,9.4,50.6%,32.0%,62.0%,1.0,4.1,5.1,2.1,2.4,0.6,1.2,1.9,10.1
5,Bruno Duranti,1993-03-26,"1,97",BRA-ITA,F,17-18,Palestrina,ITA-3,35,28.1,6.7,61.7%,21.5%,68.1%,0.5,3.5,4.0,2.7,2.4,0.7,1.2,1.5,8.9
6,Bruno Duranti,1993-03-26,"1,97",BRA-ITA,F,18-19,Lamezia,ITA-3,3,30.3,8.0,41.7%,28.6%,40.0%,1.0,3.7,4.7,2.0,2.0,0.7,0.3,0.7,7.3
7,Bruno Duranti,1993-03-26,"1,97",BRA-ITA,F,18-19,Salerno,ITA-3,23,22.0,6.0,53.7%,27.9%,71.9%,0.8,2.7,3.4,1.1,1.6,0.8,0.7,0.9,7.3
8,Bruno Duranti,1993-03-26,"1,97",BRA-ITA,F,19-20,Palermo,ITA-3,20,31.6,13.9,56.2%,39.4%,76.8%,0.9,4.4,5.3,2.3,1.4,0.2,1.5,1.7,17.0
9,Bruno Duranti,1993-03-26,"1,97",BRA-ITA,F,20-21,Taranto,ITA-3,29,28.4,10.2,52.9%,28.6%,64.9%,0.6,3.5,4.1,1.6,1.4,0.3,0.9,1.7,9.6
10,Bruno Duranti,1993-03-26,"1,97",BRA-ITA,F,21-22,R.Calabria,ITA-3,32,32.3,12.1,53.1%,32.4%,79.7%,0.3,4.1,4.4,1.6,1.9,0.2,0.9,2.1,11.4
11,Bruno Duranti,1993-03-26,"1,97",BRA-ITA,F,22-23,Montecatini,ITA-3,34,22.9,7.4,44.6%,33.1%,83.0%,0.4,2.0,2.4,0.7,2.4,0.3,0.8,1.5,4.9
12,Bruno Duranti,1993-03-26,"1,97",BRA-ITA,F,24-25,Salerno,ITA-3,1,27.0,11.0,33.3%,50.0%,0.0%,1.0,1.0,2.0,0.0,3.0,0.0,2.0,0.0,8.0
13,Bruno Duranti,1993-03-26,"1,97",BRA-ITA,F,24-25,Salerno,ITA-3,22,18.8,5.0,54.8%,33.9%,55.6%,0.4,2.1,2.5,0.6,1.8,0.2,0.9,0.8,4.4
