,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Emanuel Matias,1999-05-21,"2,02",BRA,F,2017,Bauru,BRA-3,1,3.0,2.0,50.0%,0.0%,0.0%,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2,Emanuel Matias,1999-05-21,"2,02",BRA,F,2018,Bauru,LSA-1,1,1.0,0.0,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
3,Emanuel Matias,1999-05-21,"2,02",BRA,F,18-19,Bauru,BRA-1,9,3.2,0.4,100.0%,0.0%,0.0%,0.0,0.2,0.2,0.0,0.9,0.0,0.1,0.1,-0.3
4,Emanuel Matias,1999-05-21,"2,02",BRA,F,2019,Bauru,BRA-3,11,15.0,4.8,54.2%,43.8%,85.7%,1.5,1.5,3.0,1.1,2.9,0.3,0.1,0.6,4.4
5,Emanuel Matias,1999-05-21,"2,02",BRA,F,19-20,Bauru,BRA-1,13,5.2,1.1,75.0%,0.0%,100.0%,0.2,0.5,0.7,0.3,0.9,0.1,0.2,0.4,0.8
6,Emanuel Matias,1999-05-21,"2,02",BRA,F,2020,Bauru,BRA-3,6,9.8,3.3,46.7%,20.0%,75.0%,0.8,1.5,2.3,0.5,2.0,0.0,0.2,0.7,2.5
7,Emanuel Matias,1999-05-21,"2,02",BRA,F,20-21,Bauru,BRA-1,10,3.9,0.9,50.0%,25.0%,100.0%,0.1,0.7,0.8,0.0,1.2,0.0,0.2,0.3,0.0
8,Emanuel Matias,1999-05-21,"2,02",BRA,F,2021,Joinville,BRA-2,14,30.4,10.5,57.0%,23.5%,61.9%,3.1,5.8,8.9,1.5,2.9,0.6,0.8,2.3,12.6
9,Emanuel Matias,1999-05-21,"2,02",BRA,F,2021,Flamengo,BRA-4,10,16.8,3.5,62.5%,0.0%,55.6%,2.2,2.2,4.4,0.9,2.3,0.3,0.7,1.0,4.9
10,Emanuel Matias,1999-05-21,"2,02",BRA,F,2022,Blumenau,BRA-2,15,22.9,8.7,65.7%,21.2%,72.4%,2.1,4.5,6.6,1.5,3.1,1.1,1.2,1.6,10.5
11,Emanuel Matias,1999-05-21,"2,02",BRA,F,2022,Araraquara,BRA-3,15,21.1,6.4,63.6%,33.3%,65.0%,1.0,3.0,4.0,0.7,2.6,0.3,0.6,1.3,5.2
12,Emanuel Matias,1999-05-21,"2,02",BRA,F,2023,Osasco,BRA-2,11,25.3,8.3,42.9%,35.7%,58.8%,1.5,4.8,6.4,1.5,3.3,0.8,1.1,1.9,7.5
13,Emanuel Matias,1999-05-21,"2,02",BRA,F,23-24,Botafogo,BRA-1,37,26.9,7.9,55.8%,39.1%,74.4%,1.3,4.1,5.4,1.6,2.9,0.6,0.9,1.4,9.1
14,Emanuel Matias,1999-05-21,"2,02",BRA,F,2024,Toros Del Valle,COL-1,11,27.3,8.3,51.5%,10.5%,68.2%,2.5,6.0,8.5,1.1,3.3,0.5,1.1,1.4,10.3
