,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Felipe dos Anjos,1998-04-30,"2,18",BRA,C,14-15,Real Madrid 2,ESP-4,29,13.0,3.6,46.4%,0.0%,59.5%,1.9,2.6,4.4,0.0,1.9,1.2,0.1,1.1,5.1
2,Felipe dos Anjos,1998-04-30,"2,18",BRA,C,15-16,Real Madrid 2,ESP-4,23,22.9,9.7,52.6%,30.8%,59.7%,3.0,4.4,7.4,0.3,2.7,1.4,0.3,2.2,11.9
3,Felipe dos Anjos,1998-04-30,"2,18",BRA,C,16-17,Oviedo,ESP-2,40,20.1,8.5,60.0%,0.0%,61.1%,2.1,4.0,6.1,0.4,3.0,1.0,0.4,0.6,11.7
4,Felipe dos Anjos,1998-04-30,"2,18",BRA,C,17-18,Burgos SP,ESP-1,4,3.5,1.5,40.0%,0.0%,100.0%,0.5,0.8,1.3,0.0,0.8,0.3,0.0,0.3,1.5
5,Felipe dos Anjos,1998-04-30,"2,18",BRA,C,18-19,Melilla,ESP-2,37,20.0,8.6,66.8%,0.0%,64.3%,2.0,3.2,5.2,0.2,1.8,0.8,0.4,0.8,11.9
6,Felipe dos Anjos,1998-04-30,"2,18",BRA,C,19-20,Palencia,ESP-2,23,16.1,6.2,60.0%,0.0%,56.1%,2.2,3.9,6.0,0.4,2.0,0.7,0.2,0.8,10.3
7,Felipe dos Anjos,1998-04-30,"2,18",BRA,C,20-21,Bilbao,BCL-1,6,12.5,3.3,66.7%,0.0%,40.0%,1.2,2.8,4.0,0.0,2.0,0.0,0.3,1.7,2.3
8,Felipe dos Anjos,1998-04-30,"2,18",BRA,C,20-21,Bilbao,ESP-1,28,9.3,2.4,52.6%,0.0%,72.7%,0.9,1.9,2.9,0.3,1.9,0.5,0.4,1.0,2.9
9,Felipe dos Anjos,1998-04-30,"2,18",BRA,C,21-22,Estudiantes,ESP-2,38,13.6,6.3,70.5%,0.0%,47.6%,1.3,2.3,3.7,0.3,2.1,0.4,0.3,0.6,7.8
10,Felipe dos Anjos,1998-04-30,"2,18",BRA,C,22-23,Andorra,ESP-2,34,22.2,11.6,70.2%,0.0%,66.9%,2.1,4.8,6.9,0.4,1.6,0.9,0.4,1.0,17.7
11,Felipe dos Anjos,1998-04-30,"2,18",BRA,C,23-24,Andorra,ESP-1,31,18.9,6.5,58.2%,0.0%,48.8%,1.6,3.5,5.0,0.3,2.3,0.8,0.5,0.9,8.7
12,Felipe dos Anjos,1998-04-30,"2,18",BRA,C,24-25,Andorra,BCL-1,2,14.0,3.0,66.7%,0.0%,50.0%,1.5,1.0,2.5,1.0,1.5,0.5,0.0,0.0,4.0
13,Felipe dos Anjos,1998-04-30,"2,18",BRA,C,24-25,Andorra,ESP-1,19,14.3,4.4,72.5%,0.0%,42.9%,1.4,1.6,3.0,0.1,1.9,0.6,0.5,0.6,5.8
