,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Gabriel de Oliveira,1998-03-03,"2,06",BRA-ALE,PF,14-15,Iserlohn,GER-3,6,2.2,0.7,16.7%,0.0%,40.0%,0.0,0.2,0.2,0.0,0.7,0.2,0.0,0.5,-1.5
2,Gabriel de Oliveira,1998-03-03,"2,06",BRA-ALE,PF,15-16,Iserlohn,GER-3,9,5.2,2.8,66.7%,50.0%,50.0%,0.0,0.0,0.7,0.4,1.0,0.1,0.4,0.1,2.1
3,Gabriel de Oliveira,1998-03-03,"2,06",BRA-ALE,PF,16-17,Iserlohn,GER-3,25,9.7,2.7,44.4%,16.7%,87.5%,0.5,1.7,2.2,0.5,2.0,0.3,0.6,1.1,1.5
4,Gabriel de Oliveira,1998-03-03,"2,06",BRA-ALE,PF,17-18,Iserlohn,GER-3,27,14.6,4.9,56.3%,25.0%,56.4%,0.8,1.3,2.1,0.9,2.8,0.1,0.6,1.5,1.7
5,Gabriel de Oliveira,1998-03-03,"2,06",BRA-ALE,PF,18-19,Iserlohn,GER-3,25,21.5,10.6,56.8%,23.8%,69.9%,1.8,3.6,5.4,0.7,3.8,0.8,0.4,2.1,7.5
6,Gabriel de Oliveira,1998-03-03,"2,06",BRA-ALE,PF,19-20,Rhoendorf,GER-4,16,23.8,17.4,65.1%,57.1%,61.3%,2.3,4.4,6.6,1.6,3.4,1.3,0.6,2.9,14.9
7,Gabriel de Oliveira,1998-03-03,"2,06",BRA-ALE,PF,19-20,Bonn,GER-1,5,5.2,1.2,40.0%,0.0%,25.0%,0.2,0.6,0.8,0.4,1.8,0.0,0.2,0.4,-1.4
8,Gabriel de Oliveira,1998-03-03,"2,06",BRA-ALE,PF,19-20,Bonn,BCL-1,6,4.3,2.0,60.0%,0.0%,100.0%,0.2,0.7,0.8,0.3,1.0,0.0,0.3,0.7,1.5
9,Gabriel de Oliveira,1998-03-03,"2,06",BRA-ALE,PF,20-21,Rhoendorf,GER-4,4,23.8,23.0,68.8%,50.0%,80.0%,3.0,4.0,7.0,1.0,3.3,0.8,2.0,3.3,21.8
10,Gabriel de Oliveira,1998-03-03,"2,06",BRA-ALE,PF,20-21,Bonn,GER-20,1,9.0,6.0,60.0%,0.0%,0.0%,1.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0
11,Gabriel de Oliveira,1998-03-03,"2,06",BRA-ALE,PF,20-21,Bonn,GER-1,18,7.4,2.5,78.9%,0.0%,65.2%,0.5,1.1,1.6,0.1,1.6,0.2,0.3,0.5,1.8
12,Gabriel de Oliveira,1998-03-03,"2,06",BRA-ALE,PF,21-22,Rostock,GER-2,36,14.3,5.8,57.7%,20.0%,71.9%,1.0,1.9,2.9,0.6,3.0,0.2,0.6,1.2,3.7
13,Gabriel de Oliveira,1998-03-03,"2,06",BRA-ALE,PF,22-23,Leverkusen,GER-2,20,18.0,10.2,66.1%,28.6%,60.8%,1.4,2.0,3.3,0.5,3.1,0.4,0.6,1.9,6.4
14,Gabriel de Oliveira,1998-03-03,"2,06",BRA-ALE,PF,22-23,Rostock,GER-1,8,8.6,4.1,66.7%,0.0%,77.3%,0.1,1.3,1.4,0.1,1.8,0.0,0.4,1.3,1.9
15,Gabriel de Oliveira,1998-03-03,"2,06",BRA-ALE,PF,23-24,Koblenz,GER-2,32,23.1,10.4,54.6%,27.7%,71.8%,0.9,3.0,3.9,1.4,2.7,0.3,0.7,2.6,5.9
16,Gabriel de Oliveira,1998-03-03,"2,06",BRA-ALE,PF,24-25,Crailsheim,GER-20,2,19.5,5.0,33.3%,20.0%,75.0%,1.5,3.0,4.5,0.5,3.0,1.0,0.5,1.0,3.0
17,Gabriel de Oliveira,1998-03-03,"2,06",BRA-ALE,PF,24-25,Crailsheim,GER-2,21,17.4,9.6,64.1%,34.3%,73.8%,1.2,2.8,4.0,0.7,3.3,0.7,0.5,1.7,7.0
