,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Gabriel Mendes,1996-12-27,"2,06",BRA,C,15-16,Sorocabana,BRA-1,2,6.0,0.5,0.0%,0.0%,50.0%,1.0,0.5,1.5,0.5,0.0,0.0,0.5,0.0,2.0
2,Gabriel Mendes,1996-12-27,"2,06",BRA,C,2017,Sorocabana,BRA-3,9,8.3,0.8,33.3%,0.0%,100.0%,0.3,0.9,1.2,0.3,0.7,0.1,0.3,0.2,1.6
3,Gabriel Mendes,1996-12-27,"2,06",BRA,C,2018,Quimsa,LSA-1,3,2.0,0.7,50.0%,0.0%,0.0%,0.7,0.7,1.3,0.0,0.0,0.0,0.0,0.7,1.0
4,Gabriel Mendes,1996-12-27,"2,06",BRA,C,2018,Quimsa,ARG-1,14,9.9,3.5,74.1%,0.0%,50.0%,0.8,2.1,2.9,0.1,0.9,0.2,0.1,0.4,5.5
5,Gabriel Mendes,1996-12-27,"2,06",BRA,C,18-19,Quimsa,ARG-1,33,9.8,2.4,51.4%,26.7%,58.8%,0.6,1.2,1.8,0.3,1.2,0.2,0.2,0.3,2.8
6,Gabriel Mendes,1996-12-27,"2,06",BRA,C,18-19,Quimsa,ARG-4,29,24.0,13.0,62.6%,36.1%,62.4%,3.3,5.2,8.6,1.0,1.9,0.7,0.8,1.7,18.4
7,Gabriel Mendes,1996-12-27,"2,06",BRA,C,2019,Bauru,BRA-3,13,16.5,2.8,69.6%,0.0%,57.1%,0.8,2.2,3.1,0.5,1.5,0.4,0.2,1.1,4.5
8,Gabriel Mendes,1996-12-27,"2,06",BRA,C,19-20,Bauru,BRA-1,9,7.4,1.8,37.5%,50.0%,66.7%,0.8,1.1,1.9,0.1,1.0,0.0,0.0,0.4,1.8
9,Gabriel Mendes,1996-12-27,"2,06",BRA,C,2021,Osasco,BRA-2,13,15.5,5.2,50.0%,50.0%,79.4%,1.3,1.8,3.2,0.8,1.2,0.5,0.6,0.7,7.5
10,Gabriel Mendes,1996-12-27,"2,06",BRA,C,21-22,Independiente,ARG-2,24,20.0,8.3,53.7%,25.0%,74.1%,2.1,3.3,5.3,1.0,2.5,0.6,0.3,1.5,10.7
11,Gabriel Mendes,1996-12-27,"2,06",BRA,C,2022,Broncos,VEN-1,30,17.4,4.4,56.2%,16.7%,55.8%,1.5,2.0,3.5,0.4,1.9,0.5,0.4,1.0,5.5
12,Gabriel Mendes,1996-12-27,"2,06",BRA,C,2023,Universitario,URU-3,13,32.5,16.9,61.3%,28.6%,60.9%,3.5,9.6,13.1,1.8,2.2,1.9,0.2,1.8,28.5
13,Gabriel Mendes,1996-12-27,"2,06",BRA,C,23-24,Liceo PN,CHI-1,15,31.5,11.9,61.9%,45.0%,57.4%,3.1,4.8,7.9,1.2,2.3,0.5,0.5,2.1,12.4
