,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Gui Santos,2002-06-22,"2,02",BRA,SF,2018,Minas,BRA-4,15,23.1,6.7,47.7%,22.2%,78.6%,0.9,4.8,5.7,2.5,2.4,0.3,1.7,1.5,10.3
2,Gui Santos,2002-06-22,"2,02",BRA,SF,18-19,Minas,BRA-1,3,1.7,0.0,0.0%,0.0%,0.0%,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.7,-1.0
3,Gui Santos,2002-06-22,"2,02",BRA,SF,2019,Minas,BRA-4,11,32.0,15.0,47.5%,27.3%,74.6%,2.2,4.5,6.7,2.6,3.1,0.4,1.8,3.0,16.5
4,Gui Santos,2002-06-22,"2,02",BRA,SF,19-20,Minas,BRA-1,3,4.3,2.0,50.0%,0.0%,100.0%,0.3,0.0,0.3,0.3,1.3,0.0,0.3,1.0,0.0
5,Gui Santos,2002-06-22,"2,02",BRA,SF,20-21,Minas,LAM-1,8,20.9,6.9,53.6%,20.0%,57.1%,1.1,3.9,5.0,1.3,2.3,0.8,0.6,1.1,6.5
6,Gui Santos,2002-06-22,"2,02",BRA,SF,20-21,Minas,BRA-1,35,20.2,7.8,51.9%,38.6%,59.4%,1.4,3.8,5.2,1.5,2.6,0.8,0.6,1.7,9.0
7,Gui Santos,2002-06-22,"2,02",BRA,SF,2021,Minas,BRA-4,9,33.1,21.3,55.2%,35.6%,84.2%,0.9,6.7,7.6,3.6,2.6,1.0,1.3,6.1,24.8
8,Gui Santos,2002-06-22,"2,02",BRA,SF,21-22,Minas,LAM-1,9,26.9,12.0,55.8%,44.4%,63.6%,0.9,4.1,5.0,2.9,2.9,0.8,0.9,1.9,11.7
9,Gui Santos,2002-06-22,"2,02",BRA,SF,21-22,Minas,BRA-1,37,25.7,10.1,51.4%,29.8%,74.8%,1.6,3.5,5.1,2.0,2.3,0.8,0.8,1.9,9.8
10,Gui Santos,2002-06-22,"2,02",BRA,SF,2022,GS Warriors,NBA,3,24.7,14.0,56.3%,40.0%,66.7%,0.7,2.3,3.0,2.7,3.0,0.3,1.0,4.3,7.3
11,Gui Santos,2002-06-22,"2,02",BRA,SF,2022,GS Warriors,NBA,4,19.8,8.5,47.1%,36.4%,54.5%,1.0,2.5,3.5,0.8,1.8,0.5,0.8,2.8,4.3
12,Gui Santos,2002-06-22,"2,02",BRA,SF,22-23,Santa Cruz W.,G League,43,26.2,10.9,63.8%,33.1%,75.0%,1.7,4.3,6.0,2.3,3.0,0.6,0.6,2.3,10.4
13,Gui Santos,2002-06-22,"2,02",BRA,SF,2023,GS Warriors,NBA,2,28.5,18.5,72.7%,36.4%,81.8%,1.5,3.5,5.0,2.5,3.5,0.0,0.5,2.5,14.5
14,Gui Santos,2002-06-22,"2,02",BRA,SF,2023,GS Warriors,NBA,4,28.8,17.3,77.3%,25.0%,73.9%,0.8,5.3,6.0,0.8,3.3,0.0,1.0,2.8,11.8
15,Gui Santos,2002-06-22,"2,02",BRA,SF,23-24,Santa Cruz W.,G League,34,29.4,14.9,57.4%,32.8%,70.8%,1.7,5.1,6.9,2.8,2.7,0.6,0.6,2.9,13.1
16,Gui Santos,2002-06-22,"2,02",BRA,SF,23-24,GS Warriors,NBA,24,8.6,3.4,64.3%,37.0%,94.1%,0.7,1.4,2.1,0.6,1.0,0.1,0.2,0.3,3.9
17,Gui Santos,2002-06-22,"2,02",BRA,SF,24-25,Santa Cruz W.,G League,6,32.5,14.3,56.7%,32.4%,83.3%,1.2,4.8,6.0,4.8,3.3,0.8,1.3,3.2,14.2
18,Gui Santos,2002-06-22,"2,02",BRA,SF,24-25,GS Warriors,NBA,26,13.0,4.0,59.3%,41.7%,63.2%,1.0,1.5,2.6,1.2,1.4,0.1,0.3,0.6,4.4
