,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,João Franca,1998-12-15,"2,15",BRA,C,16-17,Flamengo,BRA-1,2,3.5,1.0,100.0%,0.0%,0.0%,0.0,1.0,1.0,0.0,2.5,0.0,0.0,0.5,-1.0
2,João Franca,1998-12-15,"2,15",BRA,C,2017,Flamengo,LSA-1,5,7.2,2.0,42.9%,0.0%,66.7%,1.2,1.4,2.6,0.2,2.0,0.0,0.0,0.6,1.8
3,João Franca,1998-12-15,"2,15",BRA,C,2018,Flamengo,LSA-1,3,2.3,0.0,0.0%,0.0%,0.0%,0.0,0.3,0.3,0.3,0.3,0.0,0.0,0.0,-0.3
4,João Franca,1998-12-15,"2,15",BRA,C,2018,Flamengo,BRA-4,14,21.2,13.8,46.7%,55.6%,61.7%,2.9,7.7,10.6,1.1,2.1,2.4,0.7,2.0,21.2
5,João Franca,1998-12-15,"2,15",BRA,C,2019,Sao Paulo,BRA-2,24,24.3,13.0,50.6%,37.5%,61.3%,2.0,6.0,8.0,0.9,2.8,1.8,0.6,1.9,16.5
6,João Franca,1998-12-15,"2,15",BRA,C,19-20,UniFacisa,BRA-1,27,18.7,10.2,60.1%,46.2%,66.7%,1.8,5.2,7.0,0.6,2.3,1.5,0.5,1.3,14.3
7,João Franca,1998-12-15,"2,15",BRA,C,20-21,UniFacisa,BRA-1,13,16.3,8.8,47.8%,28.6%,53.7%,1.9,2.6,4.5,0.7,2.4,1.2,0.3,1.7,8.8
8,João Franca,1998-12-15,"2,15",BRA,C,21-22,Bigua,LAM-1,2,14.0,5.5,62.5%,0.0%,25.0%,0.5,3.0,3.5,0.0,3.5,0.5,0.0,0.5,2.0
9,João Franca,1998-12-15,"2,15",BRA,C,21-22,Bigua,URU-1,12,21.4,10.4,64.0%,14.3%,66.7%,1.6,5.2,6.8,0.8,3.1,0.9,0.3,1.3,12.8
10,João Franca,1998-12-15,"2,15",BRA,C,2022,Rio Claro,BRA-3,17,16.6,4.5,45.0%,16.7%,59.3%,1.6,3.2,4.8,0.5,1.8,1.0,0.2,1.2,4.7
11,João Franca,1998-12-15,"2,15",BRA,C,22-23,Ameghino,ARG-2,28,18.0,11.9,69.4%,36.0%,58.2%,1.1,3.9,4.9,0.4,1.9,1.3,0.3,1.1,14.3
12,João Franca,1998-12-15,"2,15",BRA,C,2023,Correcaminos,MEX-2,13,31.1,17.1,65.9%,42.2%,60.0%,2.0,6.2,8.2,1.4,2.3,0.6,0.3,1.3,17.3
13,João Franca,1998-12-15,"2,15",BRA,C,23-24,Botafogo,BRA-1,3,23.0,11.3,80.0%,30.0%,25.0%,1.0,4.0,5.0,0.7,3.0,1.7,0.3,3.0,9.0
14,João Franca,1998-12-15,"2,15",BRA,C,2024,Tijuana,MEX-1,24,31.0,17.5,55.9%,24.8%,62.5%,1.8,6.6,8.4,1.6,2.6,1.5,0.7,2.4,19.1
15,João Franca,1998-12-15,"2,15",BRA,C,2024,Olimpico,LSA-1,6,30.0,19.8,63.9%,50.0%,63.6%,2.0,6.0,8.0,0.5,3.0,1.2,0.0,1.8,17.3
16,João Franca,1998-12-15,"2,15",BRA,C,24-25,Al Arabi,QAT-1,2,3.0,0.0,0.0%,0.0%,0.0%,1.0,1.0,2.0,0.0,0.5,0.0,0.0,0.0,-0.5
17,João Franca,1998-12-15,"2,15",BRA,C,24-25,Olimpico,ARG-1,14,24.6,16.5,60.0%,18.2%,65.2%,2.2,5.6,7.9,0.3,1.7,1.0,0.3,0.5,23.1
