,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,João Gallina,1994-02-21,"1,92",BRA-POR,SF,13-14,FC Porto,POR-2,26,15.0,3.8,39.7%,17.1%,73.8%,1.0,2.0,3.0,0.9,2.2,0.0,0.7,1.1,3.4
2,João Gallina,1994-02-21,"1,92",BRA-POR,SF,14-15,FC Porto,POR-2,26,17.8,5.5,56.9%,29.2%,73.0%,1.6,2.2,3.8,1.8,2.0,0.2,1.2,1.4,7.5
3,João Gallina,1994-02-21,"1,92",BRA-POR,SF,15-16,FC Porto,FEL-1,3,1.0,0.3,0.0%,0.0%,50.0%,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,-1.3
4,João Gallina,1994-02-21,"1,92",BRA-POR,SF,15-16,Dragon Force,POR-2,6,23.8,7.5,50.0%,33.3%,90.0%,2.3,3.7,6.0,3.3,3.8,0.3,2.3,2.3,12.0
5,João Gallina,1994-02-21,"1,92",BRA-POR,SF,15-16,FC Porto,POR-1,19,7.9,1.1,37.5%,12.5%,83.3%,0.4,1.2,1.6,0.3,1.4,0.1,0.6,0.6,0.7
6,João Gallina,1994-02-21,"1,92",BRA-POR,SF,16-17,FC Porto,BCL-1,2,14.5,0.0,0.0%,0.0%,0.0%,1.0,1.5,2.5,0.5,1.0,0.5,0.5,1.5,0.5
7,João Gallina,1994-02-21,"1,92",BRA-POR,SF,16-17,FC Porto,FEL-1,4,4.0,0.0,0.0%,0.0%,0.0%,0.8,0.5,1.3,0.3,1.0,0.3,0.0,0.0,0.3
8,João Gallina,1994-02-21,"1,92",BRA-POR,SF,16-17,FC Porto,POR-1,28,6.5,1.4,45.5%,15.8%,78.6%,0.5,0.9,1.4,0.4,1.2,0.1,0.4,0.4,1.4
9,João Gallina,1994-02-21,"1,92",BRA-POR,SF,17-18,CAB Madeira,POR-1,35,19.1,5.3,52.3%,44.7%,77.4%,1.3,2.4,3.7,1.7,2.9,0.2,0.9,1.0,6.8
10,João Gallina,1994-02-21,"1,92",BRA-POR,SF,18-19,CAB Madeira,POR-1,35,19.8,5.6,48.7%,28.3%,83.7%,0.8,1.5,2.2,1.0,2.5,0.1,1.0,1.1,4.5
11,João Gallina,1994-02-21,"1,92",BRA-POR,SF,19-20,CAB Madeira,POR-1,21,17.0,2.7,41.5%,16.7%,87.5%,0.7,1.5,2.2,1.0,2.6,0.2,0.5,0.9,2.3
12,João Gallina,1994-02-21,"1,92",BRA-POR,SF,20-21,Filipenses,ESP-4,6,28.0,15.0,53.7%,43.8%,64.7%,2.3,5.3,7.7,2.5,3.7,0.5,1.7,1.5,18.3
13,João Gallina,1994-02-21,"1,92",BRA-POR,SF,20-21,Clavijo,ESP-3,20,10.9,2.4,46.7%,28.6%,100.0%,0.6,0.6,1.2,0.5,1.5,0.1,0.4,0.8,1.2
14,João Gallina,1994-02-21,"1,92",BRA-POR,SF,21-22,Quintanar,ESP-4,13,24.0,7.9,39.3%,42.4%,63.0%,1.1,2.2,3.3,1.8,3.1,0.2,1.7,1.6,7.2
15,João Gallina,1994-02-21,"1,92",BRA-POR,SF,21-22,Vitoria SC,POR-1,14,11.3,1.7,36.8%,25.0%,77.8%,0.6,0.9,1.5,0.4,1.2,0.1,0.2,0.8,1.4
16,João Gallina,1994-02-21,"1,92",BRA-POR,SF,22-23,Galomar,POR-2,26,29.6,9.3,53.4%,38.6%,56.3%,1.9,4.0,5.9,2.5,2.9,0.1,1.5,1.9,11.8
17,João Gallina,1994-02-21,"1,92",BRA-POR,SF,23-24,Galomar,POR-1,22,12.3,1.7,40.9%,23.5%,63.6%,0.4,1.2,1.6,0.5,1.6,0.0,0.4,0.7,1.1
18,João Gallina,1994-02-21,"1,92",BRA-POR,SF,24-25,Galomar,POR-1,11,7.5,0.3,14.3%,0.0%,50.0%,0.3,0.5,0.8,0.5,1.1,0.0,0.1,0.1,-0.3
