,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Leonardo Meindl,1993-03-20,"2,01",BRA,SF,2011,Sesi/Franca,BRA-2,11,9.2,3.8,84.6%,26.7%,88.9%,0.2,0.8,1.0,0.3,2.3,0.5,0.2,0.7,1.5
2,Leonardo Meindl,1993-03-20,"2,01",BRA,SF,11-12,Sesi/Franca,BRA-1,12,0.0,1.4,0.0%,0.0%,0.0%,0.0,0.0,0.7,0.6,0.0,0.0,0.0,0.0,0.0
3,Leonardo Meindl,1993-03-20,"2,01",BRA,SF,12-13,Sesi/Franca,BRA-1,40,24.4,9.8,50.3%,41.7%,67.5%,0.8,2.0,2.8,1.1,2.2,1.3,0.0,0.4,7.6
4,Leonardo Meindl,1993-03-20,"2,01",BRA,SF,2013,Sesi/Franca,BRA-2,12,33.5,14.4,44.4%,36.2%,75.0%,1.6,4.0,5.6,2.8,3.4,0.5,1.4,1.6,12.0
5,Leonardo Meindl,1993-03-20,"2,01",BRA,SF,13-14,Sesi/Franca,BRA-1,39,27.1,11.9,48.0%,37.4%,73.2%,1.2,3.0,4.2,1.6,2.7,0.3,1.2,2.6,7.7
6,Leonardo Meindl,1993-03-20,"2,01",BRA,SF,14-15,Sesi/Franca,BRA-1,40,34.5,15.7,45.1%,33.8%,75.8%,1.6,3.7,5.3,2.5,2.9,0.6,1.7,3.5,13.3
7,Leonardo Meindl,1993-03-20,"2,01",BRA,SF,2015,Bauru,BRA-2,4,27.0,9.5,66.7%,23.1%,59.1%,2.5,2.3,4.8,2.0,3.3,0.0,0.0,2.3,9.0
8,Leonardo Meindl,1993-03-20,"2,01",BRA,SF,15-16,Bauru,BRA-1,39,23.4,9.4,56.1%,23.0%,72.7%,1.5,3.0,4.5,2.0,2.4,0.2,1.1,2.3,9.6
9,Leonardo Meindl,1993-03-20,"2,01",BRA,SF,2016,Bauru,BRA-3,16,31.0,13.6,46.5%,27.3%,73.2%,2.3,3.8,6.1,2.2,3.2,0.2,1.3,2.3,13.8
10,Leonardo Meindl,1993-03-20,"2,01",BRA,SF,2016,Bauru,LAM-1,8,20.8,7.5,39.5%,38.5%,55.0%,1.1,1.9,3.0,1.4,2.4,0.6,0.5,1.1,4.1
11,Leonardo Meindl,1993-03-20,"2,01",BRA,SF,16-17,Bauru,BRA-1,42,29.0,12.9,52.7%,32.0%,70.8%,2.1,2.5,4.6,3.0,2.9,0.3,1.0,2.7,13.5
12,Leonardo Meindl,1993-03-20,"2,01",BRA,SF,2017,Sesi/Franca,BRA-3,16,25.2,14.0,54.8%,30.4%,70.2%,1.2,2.6,3.8,3.6,2.3,0.3,0.9,2.8,14.6
13,Leonardo Meindl,1993-03-20,"2,01",BRA,SF,17-18,Sesi/Franca,BRA-1,31,27.6,12.3,50.5%,30.5%,58.1%,1.5,3.9,5.4,3.7,2.8,0.3,1.1,3.1,13.5
14,Leonardo Meindl,1993-03-20,"2,01",BRA,SF,18-19,Paulistano,LAM-1,7,19.3,8.7,47.4%,17.4%,72.2%,1.7,3.6,5.3,1.7,2.9,0.3,1.0,1.7,6.1
15,Leonardo Meindl,1993-03-20,"2,01",BRA,SF,18-19,Paulistano,BRA-1,26,26.3,15.1,59.3%,30.1%,67.2%,1.7,4.7,6.3,3.4,3.4,0.2,0.7,2.3,17.3
16,Leonardo Meindl,1993-03-20,"2,01",BRA,SF,19-20,Sao Paulo,BRA-1,26,33.2,17.9,55.6%,37.2%,67.7%,2.4,4.8,7.2,3.3,3.3,0.2,1.2,2.8,18.2
17,Leonardo Meindl,1993-03-20,"2,01",BRA,SF,20-21,Fuenlabrada,ESP-1,36,25.4,11.0,50.4%,25.9%,66.7%,2.1,3.8,5.8,1.5,2.7,0.1,1.4,1.7,11.5
18,Leonardo Meindl,1993-03-20,"2,01",BRA,SF,21-22,Fuenlabrada,ESP-1,28,26.8,13.1,48.1%,39.0%,76.5%,1.8,3.9,5.6,2.1,2.3,0.1,0.8,2.0,13.4
19,Leonardo Meindl,1993-03-20,"2,01",BRA,SF,2022,Phoenix S.,NBA,5,13.0,5.6,41.7%,36.4%,85.7%,0.6,2.2,2.8,0.6,2.0,0.0,0.6,0.8,3.8
20,Leonardo Meindl,1993-03-20,"2,01",BRA,SF,22-23,Cluj Napoca,ROM-20,5,22.8,14.8,65.4%,50.0%,76.2%,1.8,5.0,6.8,2.8,2.0,0.2,1.8,2.4,21.0
21,Leonardo Meindl,1993-03-20,"2,01",BRA,SF,22-23,Cluj Napoca,Eurocup-1,18,28.4,14.6,58.7%,36.7%,65.4%,1.8,4.1,5.9,2.3,3.3,0.3,1.2,2.5,15.4
22,Leonardo Meindl,1993-03-20,"2,01",BRA,SF,22-23,Cluj Napoca,ROM-1,33,23.3,14.5,58.1%,42.7%,73.0%,0.9,2.5,3.4,2.7,2.8,0.1,1.5,1.8,15.4
23,Leonardo Meindl,1993-03-20,"2,01",BRA,SF,23-24,Alvark Tokyo,JPN-1,62,27.2,14.3,49.1%,37.8%,69.0%,1.2,4.0,5.2,2.8,2.2,0.2,1.1,2.0,14.7
24,Leonardo Meindl,1993-03-20,"2,01",BRA,SF,24-25,Alvark Tokyo,JPN-1,35,26.2,11.7,49.4%,24.3%,69.8%,1.2,3.0,4.1,2.7,2.1,0.4,1.0,1.6,11.9
