,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Maicon Waldemar,2000-11-09,"2,04",BRA,PF/C,2018,Pinheiros,BRA-4,15,11.3,4.5,45.5%,0.0%,53.3%,1.5,1.7,3.3,0.3,2.3,0.9,0.7,1.1,4.2
2,Maicon Waldemar,2000-11-09,"2,04",BRA,PF/C,18-19,Pinheiros,BRA-1,4,2.0,1.5,100.0%,0.0%,0.0%,0.0,0.8,0.8,0.0,0.8,0.3,0.3,0.0,2.0
3,Maicon Waldemar,2000-11-09,"2,04",BRA,PF/C,2019,Pinheiros,BRA-3,1,5.0,6.0,50.0%,0.0%,0.0%,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0
4,Maicon Waldemar,2000-11-09,"2,04",BRA,PF/C,2019,Pinheiros,BRA-4,17,17.4,6.8,44.6%,11.1%,71.0%,2.5,2.7,5.2,0.4,2.2,0.4,0.4,1.1,7.1
5,Maicon Waldemar,2000-11-09,"2,04",BRA,PF/C,20-21,Pinheiros,BRA-1,24,10.9,2.8,34.2%,16.7%,40.0%,0.9,1.9,2.8,0.1,1.2,0.3,0.3,0.5,2.1
6,Maicon Waldemar,2000-11-09,"2,04",BRA,PF/C,2021,Pinheiros,BRA-4,15,14.3,6.7,55.6%,0.0%,52.6%,2.3,2.9,5.3,0.9,1.8,0.9,0.7,1.1,9.4
7,Maicon Waldemar,2000-11-09,"2,04",BRA,PF/C,2021,Pinheiros,BRA-3,13,3.3,0.2,14.3%,0.0%,0.0%,0.1,0.1,0.2,0.0,0.5,0.0,0.0,0.0,-0.9
8,Maicon Waldemar,2000-11-09,"2,04",BRA,PF/C,21-22,Pinheiros,BRA-1,26,8.8,2.1,50.0%,0.0%,33.3%,0.8,1.0,1.8,0.2,1.2,0.5,0.2,0.3,1.9
9,Maicon Waldemar,2000-11-09,"2,04",BRA,PF/C,2022,Pinheiros,BRA-3,11,13.7,5.5,57.1%,0.0%,80.0%,1.9,1.8,3.7,0.3,1.7,0.4,0.1,0.9,5.2
10,Maicon Waldemar,2000-11-09,"2,04",BRA,PF/C,2022,Pinheiros,BRA-5,15,20.5,6.3,42.3%,0.0%,31.6%,3.7,4.0,7.7,0.6,2.4,0.5,1.1,0.9,9.1
11,Maicon Waldemar,2000-11-09,"2,04",BRA,PF/C,22-23,Pinheiros,BRA-1,31,9.4,2.5,52.4%,0.0%,56.5%,0.8,1.3,2.1,0.3,1.5,0.5,0.2,0.8,2.5
12,Maicon Waldemar,2000-11-09,"2,04",BRA,PF/C,23-24,Cerrado,BRA-1,36,15.5,4.5,44.1%,50.0%,66.7%,1.6,1.9,3.5,0.2,1.9,0.4,0.4,0.8,4.1
13,Maicon Waldemar,2000-11-09,"2,04",BRA,PF/C,2024,Carl A-Z,BOL-1,9,16.1,4.7,34.0%,0.0%,46.2%,1.9,3.9,5.8,0.4,2.2,1.1,0.4,0.9,5.7
