,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Maique Tavares,1993-06-26,"2,11",BRA,C,13-14,Sesi/Franca,BRA-1,6,8.3,2.0,25.0%,0.0%,80.0%,0.8,1.0,1.8,0.0,1.2,0.5,0.2,0.8,1.2
2,Maique Tavares,1993-06-26,"2,11",BRA,C,14-15,Macae,BRA-1,9,2.7,1.3,44.4%,0.0%,80.0%,0.7,0.4,1.1,0.1,0.4,0.0,0.0,0.1,1.7
3,Maique Tavares,1993-06-26,"2,11",BRA,C,15-16,Macae,BRA-1,28,10.5,3.1,50.0%,0.0%,81.8%,1.1,1.5,2.5,0.5,1.6,0.3,0.2,0.6,3.6
4,Maique Tavares,1993-06-26,"2,11",BRA,C,2016,Sorocabana,BRA-3,18,24.7,7.7,65.2%,25.0%,71.4%,2.8,2.8,5.6,0.9,3.3,0.7,0.6,1.4,9.9
5,Maique Tavares,1993-06-26,"2,11",BRA,C,16-17,Sorocabana,BRA-1,28,11.6,3.6,52.1%,0.0%,77.1%,1.2,1.8,3.0,0.4,3.1,0.6,0.4,0.6,3.9
6,Maique Tavares,1993-06-26,"2,11",BRA,C,2017,Vitoria,LSA-1,3,6.7,1.0,50.0%,0.0%,50.0%,0.3,1.3,1.7,0.3,2.0,0.3,0.0,0.3,0.3
7,Maique Tavares,1993-06-26,"2,11",BRA,C,17-18,Vitoria,BRA-1,29,13.3,4.9,52.6%,40.9%,51.9%,1.6,1.8,3.4,0.4,2.1,0.4,0.3,0.8,4.8
8,Maique Tavares,1993-06-26,"2,11",BRA,C,18-19,Botafogo,BRA-1,34,13.1,5.3,54.4%,20.0%,82.0%,1.2,2.0,3.2,0.5,2.9,0.6,0.4,1.1,5.3
9,Maique Tavares,1993-06-26,"2,11",BRA,C,2019,Paulistano,BRA-3,14,19.6,8.6,62.7%,28.6%,80.0%,1.6,3.1,4.7,0.7,2.7,0.6,0.4,1.9,10.6
10,Maique Tavares,1993-06-26,"2,11",BRA,C,19-20,Paulistano,BRA-1,25,19.5,7.6,70.6%,38.9%,80.6%,1.6,3.5,5.2,0.6,2.6,0.6,0.4,1.1,9.6
11,Maique Tavares,1993-06-26,"2,11",BRA,C,2020,Paulistano,BRA-3,8,16.3,4.1,50.0%,0.0%,77.8%,1.5,2.5,4.0,0.3,2.8,0.4,0.3,1.1,4.0
12,Maique Tavares,1993-06-26,"2,11",BRA,C,20-21,Paulistano,BRA-1,35,23.5,9.5,53.2%,49.2%,71.3%,2.1,4.7,6.9,0.7,2.9,0.8,0.5,1.0,12.0
13,Maique Tavares,1993-06-26,"2,11",BRA,C,21-22,Minas,LAM-1,9,17.4,5.8,51.9%,33.3%,100.0%,1.3,2.3,3.7,0.3,2.9,0.8,0.3,1.0,4.7
14,Maique Tavares,1993-06-26,"2,11",BRA,C,21-22,Minas,BRA-1,39,17.3,5.5,60.0%,35.6%,67.4%,1.3,2.5,3.8,0.4,2.3,0.3,0.4,0.9,5.1
15,Maique Tavares,1993-06-26,"2,11",BRA,C,2022,Corinthians,BRA-3,15,21.3,8.4,73.4%,40.0%,80.0%,2.2,2.7,4.9,0.8,3.1,0.5,0.3,1.9,7.8
16,Maique Tavares,1993-06-26,"2,11",BRA,C,22-23,Corinthians,BRA-1,33,27.0,12.1,69.6%,41.1%,87.5%,2.0,4.2,6.2,1.0,3.2,1.0,0.4,1.4,13.2
17,Maique Tavares,1993-06-26,"2,11",BRA,C,2023,Flamengo,LAM-1,2,14.5,5.0,40.0%,25.0%,50.0%,2.0,1.0,3.0,2.0,2.5,0.0,0.5,0.0,3.5
18,Maique Tavares,1993-06-26,"2,11",BRA,C,23-24,Flamengo,LAM-1,8,9.0,4.1,60.0%,44.4%,50.0%,1.0,0.3,1.3,0.6,1.5,0.1,0.1,0.0,3.0
19,Maique Tavares,1993-06-26,"2,11",BRA,C,23-24,Flamengo,BRA-1,39,15.8,7.2,73.0%,39.4%,81.5%,1.4,2.1,3.5,0.7,2.1,0.4,0.5,0.6,7.6
20,Maique Tavares,1993-06-26,"2,11",BRA,C,2024,Diablos,MEX-2,29,17.1,7.1,68.1%,34.5%,88.9%,1.2,2.3,3.6,0.4,2.2,0.3,0.3,0.8,6.4
21,Maique Tavares,1993-06-26,"2,11",BRA,C,24-25,Bigua,LAM-1,4,18.0,7.8,68.2%,0.0%,50.0%,1.8,2.5,4.3,0.5,3.0,0.5,0.8,0.5,7.3
22,Maique Tavares,1993-06-26,"2,11",BRA,C,24-25,Bigua,URU-1,6,17.7,6.8,66.7%,50.0%,0.0%,1.0,3.3,4.3,1.0,2.5,0.7,0.0,0.8,7.8
