,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Rafael Luz,1992-02-11,"1,88",BRA-ESP,PG,09-10,Unicaja,EUROL-1,5,8.6,2.0,66.7%,66.7%,0.0%,0.2,0.4,0.6,0.8,1.0,0.0,0.2,0.0,0.0
2,Rafael Luz,1992-02-11,"1,88",BRA-ESP,PG,09-10,Clinicas Rincon,ESP-2,18,20.1,6.6,45.9%,26.4%,70.0%,0.2,1.8,2.0,2.3,2.2,0.2,1.1,0.0,0.0
3,Rafael Luz,1992-02-11,"1,88",BRA-ESP,PG,09-10,Unicaja,ESP-1,8,10.1,3.1,75.0%,44.4%,50.0%,0.4,0.9,1.3,0.9,1.4,0.0,0.6,0.0,-0.1
4,Rafael Luz,1992-02-11,"1,88",BRA-ESP,PG,10-11,Unicaja,EUROL-1,13,11.6,2.0,50.0%,7.7%,37.5%,0.3,1.1,1.4,1.7,2.1,0.0,0.7,1.5,1.2
5,Rafael Luz,1992-02-11,"1,88",BRA-ESP,PG,10-11,Clinicas Rincon,ESP-2,8,18.6,5.5,58.8%,23.5%,70.6%,0.1,1.8,1.9,2.0,2.1,0.3,0.6,3.0,5.1
6,Rafael Luz,1992-02-11,"1,88",BRA-ESP,PG,10-11,Granada,ESP-1,10,15.5,4.8,44.0%,35.3%,61.5%,0.3,1.0,1.3,2.2,2.5,0.0,1.1,1.5,3.9
7,Rafael Luz,1992-02-11,"1,88",BRA-ESP,PG,10-11,Unicaja,ESP-1,15,15.9,4.4,55.6%,35.3%,66.7%,0.5,0.9,1.3,2.2,2.0,0.0,1.1,1.6,5.5
8,Rafael Luz,1992-02-11,"1,88",BRA-ESP,PG,11-12,Alicante,ESP-1,28,15.4,5.6,49.2%,32.7%,74.1%,0.2,1.6,1.8,1.7,2.8,0.1,0.7,1.6,5.1
9,Rafael Luz,1992-02-11,"1,88",BRA-ESP,PG,12-13,Obradoiro,ESP-1,36,15.9,3.2,42.9%,25.9%,76.5%,0.3,1.3,1.6,3.1,1.9,0.1,0.8,1.6,4.6
10,Rafael Luz,1992-02-11,"1,88",BRA-ESP,PG,13-14,Obradoiro,ESP-1,34,22.3,6.2,51.0%,23.2%,89.8%,0.4,2.5,2.9,3.4,2.2,0.1,1.3,2.0,8.1
11,Rafael Luz,1992-02-11,"1,88",BRA-ESP,PG,14-15,Obradoiro,ESP-1,33,21.5,6.6,50.0%,35.5%,79.6%,0.4,1.9,2.3,3.6,1.9,0.2,1.1,2.4,8.1
12,Rafael Luz,1992-02-11,"1,88",BRA-ESP,PG,15-16,Flamengo,BRA-1,41,22.4,7.0,55.6%,37.6%,71.1%,0.3,2.7,3.0,4.1,2.1,0.2,1.3,1.8,10.6
13,Rafael Luz,1992-02-11,"1,88",BRA-ESP,PG,2016,Flamengo,LAM-1,8,20.3,5.3,57.7%,20.0%,60.0%,0.4,1.5,1.9,4.9,2.0,0.4,1.4,1.6,7.3
14,Rafael Luz,1992-02-11,"1,88",BRA-ESP,PG,16-17,Baskonia,EUROL-1,32,7.3,2.2,55.6%,50.0%,66.7%,0.2,0.6,0.8,1.5,1.3,0.0,0.4,0.8,2.5
15,Rafael Luz,1992-02-11,"1,88",BRA-ESP,PG,16-17,Baskonia,ESP-1,27,10.3,2.9,66.7%,23.5%,71.4%,0.1,1.1,1.2,1.4,1.7,0.1,0.5,0.9,2.6
16,Rafael Luz,1992-02-11,"1,88",BRA-ESP,PG,17-18,Sesi/Franca,BRA-1,11,19.8,5.8,80.0%,41.2%,50.0%,0.5,2.8,3.3,3.1,1.5,0.3,1.3,2.1,10.1
17,Rafael Luz,1992-02-11,"1,88",BRA-ESP,PG,18-19,Andorra,Eurocup-1,20,17.3,4.4,52.4%,21.2%,81.5%,0.6,1.9,2.4,3.1,2.3,0.1,1.0,1.8,5.8
18,Rafael Luz,1992-02-11,"1,88",BRA-ESP,PG,18-19,Andorra,ESP-1,34,17.8,5.4,51.3%,32.8%,85.2%,0.6,1.7,2.3,2.5,2.4,0.1,1.2,1.1,6.9
19,Rafael Luz,1992-02-11,"1,88",BRA-ESP,PG,19-20,Murcia,ESP-1,22,19.9,5.3,39.7%,33.3%,79.3%,0.6,1.8,2.4,2.6,1.9,0.0,0.8,1.6,5.9
20,Rafael Luz,1992-02-11,"1,88",BRA-ESP,PG,20-21,Nevezis,LTU-1,11,26.4,8.9,56.8%,32.4%,68.2%,0.9,2.5,3.4,4.4,2.8,0.1,1.0,2.7,10.9
21,Rafael Luz,1992-02-11,"1,88",BRA-ESP,PG,20-21,Murcia,ESP-1,9,9.2,1.7,50.0%,9.1%,33.3%,0.1,1.6,1.7,0.7,1.2,0.0,0.9,0.9,1.8
22,Rafael Luz,1992-02-11,"1,88",BRA-ESP,PG,21-22,Bilbao,ESP-1,33,21.8,6.1,49.5%,42.4%,71.7%,0.5,1.9,2.4,3.1,2.5,0.2,1.0,1.8,7.4
23,Rafael Luz,1992-02-11,"1,88",BRA-ESP,PG,22-23,Andorra,ESP-2,27,23.1,7.0,58.8%,22.0%,75.0%,0.6,4.5,5.1,6.0,2.1,0.1,1.4,2.4,13.7
24,Rafael Luz,1992-02-11,"1,88",BRA-ESP,PG,23-24,Andorra,ESP-1,30,21.8,5.2,46.9%,34.0%,78.9%,0.5,1.7,2.2,4.1,2.2,0.0,1.2,1.6,7.9
25,Rafael Luz,1992-02-11,"1,88",BRA-ESP,PG,24-25,Andorra,ESP-1,9,17.4,3.1,40.0%,33.3%,50.0%,0.2,1.8,2.0,5.6,1.4,0.0,1.0,1.9,7.6
