,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Tulio da Silva,1996-07-03,"2,03",BRA,F,16-17,S.Florida,NCAA1,30,28.0,9.8,48.2%,0.0%,55.2%,2.2,4.5,6.8,0.8,2.6,0.4,0.9,2.7,7.4
2,Tulio da Silva,1996-07-03,"2,03",BRA,F,17-18,S.Florida,NCAA1,18,22.7,7.2,38.8%,27.8%,69.4%,1.2,4.0,5.2,0.8,2.2,0.4,0.4,1.8,4.9
3,Tulio da Silva,1996-07-03,"2,03",BRA,F,18-19,Missouri St.,NCAA1,27,32.1,14.3,59.1%,37.0%,65.4%,2.3,5.1,7.4,0.7,2.6,0.8,1.0,2.0,13.9
4,Tulio da Silva,1996-07-03,"2,03",BRA,F,19-20,Missouri St.,NCAA1,30,27.0,10.1,55.0%,12.5%,64.2%,2.5,4.7,7.2,1.0,2.1,0.5,0.7,2.2,10.4
5,Tulio da Silva,1996-07-03,"2,03",BRA,F,20-21,Caxias do Sul,BRA-1,29,23.7,12.0,55.8%,28.1%,74.1%,1.6,3.8,5.4,0.9,1.7,0.2,0.9,2.1,13.0
6,Tulio da Silva,1996-07-03,"2,03",BRA,F,2021,Titanes,DOM-1,10,31.2,14.4,57.7%,11.8%,61.9%,2.1,3.8,5.9,2.4,2.2,0.3,0.8,2.3,12.1
7,Tulio da Silva,1996-07-03,"2,03",BRA,F,21-22,Flamengo,LAM-1,2,15.5,9.0,100.0%,40.0%,0.0%,1.5,3.0,4.5,1.0,1.0,0.0,0.0,0.5,11.0
8,Tulio da Silva,1996-07-03,"2,03",BRA,F,21-22,Flamengo,BRA-1,37,17.6,7.5,64.6%,35.2%,57.4%,1.1,2.8,3.8,0.6,1.3,0.2,0.6,1.2,7.6
9,Tulio da Silva,1996-07-03,"2,03",BRA,F,22-23,Sao Paulo,BRA-1,27,26.5,11.7,62.3%,37.7%,65.5%,1.7,4.8,6.6,0.7,2.4,0.2,0.8,1.6,12.0
10,Tulio da Silva,1996-07-03,"2,03",BRA,F,23-24,Sopron KC,HUN-1,21,27.5,11.0,65.5%,31.1%,71.9%,1.6,4.7,6.2,0.6,2.0,0.3,1.2,1.5,13.9
11,Tulio da Silva,1996-07-03,"2,03",BRA,F,23-24,Cantabria,ESP-2,9,21.9,7.1,47.8%,22.2%,60.9%,1.2,3.2,4.4,0.4,2.1,0.0,0.7,1.6,6.1
12,Tulio da Silva,1996-07-03,"2,03",BRA,F,24-25,Peja,KOS-1,6,18.2,9.2,71.4%,33.3%,50.0%,1.5,2.7,4.2,0.2,1.2,0.2,0.2,1.0,9.8
13,Tulio da Silva,1996-07-03,"2,03",BRA,F,24-25,Trouville,URU-1,4,22.8,5.8,27.3%,18.8%,33.3%,2.5,4.3,6.8,1.0,1.0,0.5,0.8,1.5,6.3
