,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Vinicius da Silva,2001-03-04,"2,12",BRA,C,17-18,Joventut,ANGT-1,7,25.4,9.1,48.3%,0.0%,50.0%,2.1,4.0,6.1,0.3,2.0,2.1,0.9,0.6,11.6
2,Vinicius da Silva,2001-03-04,"2,12",BRA,C,18-19,Joventut,ANGT-1,4,27.3,12.5,55.6%,50.0%,46.7%,2.5,8.5,11.0,0.8,0.5,1.5,0.8,1.3,21.8
3,Vinicius da Silva,2001-03-04,"2,12",BRA,C,18-19,Joventut,ESP-5,3,30.7,13.3,42.3%,66.7%,85.7%,3.7,5.3,9.0,2.3,2.0,1.3,0.0,1.3,17.3
4,Vinicius da Silva,2001-03-04,"2,12",BRA,C,19-20,Prat,ESP-3,20,22.4,8.0,49.3%,33.3%,70.8%,1.9,2.8,4.7,0.5,1.7,1.0,0.4,1.1,8.8
5,Vinicius da Silva,2001-03-04,"2,12",BRA,C,20-21,Prat,ESP-3,10,19.4,8.7,52.4%,0.0%,61.8%,2.1,2.3,4.4,1.3,1.7,1.0,0.4,1.0,11.2
6,Vinicius da Silva,2001-03-04,"2,12",BRA,C,2021,Paulistano,BRA-4,10,16.4,4.6,40.5%,20.0%,47.4%,2.0,2.0,4.0,1.0,1.4,0.9,0.5,0.9,6.0
7,Vinicius da Silva,2001-03-04,"2,12",BRA,C,2021,Paulistano,BRA-3,15,8.9,2.0,51.9%,0.0%,66.7%,0.7,1.3,1.9,0.3,0.8,0.2,0.1,0.3,2.3
8,Vinicius da Silva,2001-03-04,"2,12",BRA,C,21-22,J.Hradec,CZE-1,7,14.9,4.4,63.6%,0.0%,60.0%,1.3,2.4,3.7,0.6,1.1,1.3,0.3,0.0,7.9
9,Vinicius da Silva,2001-03-04,"2,12",BRA,C,22-23,Sant Antoni,ESP-3,27,28.1,13.3,64.5%,30.0%,65.2%,3.0,4.3,7.3,0.8,2.1,1.5,0.6,2.1,17.6
10,Vinicius da Silva,2001-03-04,"2,12",BRA,C,23-24,Sant Antoni,ESP-3,30,26.6,10.8,58.1%,33.3%,62.9%,2.7,3.8,6.5,0.8,1.8,1.3,0.5,1.5,14.2
11,Vinicius da Silva,2001-03-04,"2,12",BRA,C,24-25,Moron,ESP-2,12,15.8,6.0,63.0%,25.0%,47.8%,1.3,2.1,3.4,0.3,1.1,0.2,0.3,1.1,6.7
