,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Vinicius Malachias,1999-12-01,"2,09",BRA,C,18-19,Bauru,BRA-1,3,4.3,0.7,100.0%,0.0%,0.0%,0.3,0.3,0.7,0.0,0.0,0.3,0.0,0.3,1.3
2,Vinicius Malachias,1999-12-01,"2,09",BRA,C,2019,Bauru,BRA-3,10,8.9,1.7,46.7%,0.0%,75.0%,0.5,1.8,2.3,0.3,1.8,0.2,0.0,0.6,2.0
3,Vinicius Malachias,1999-12-01,"2,09",BRA,C,19-20,Bauru,BRA-1,15,7.8,1.5,32.1%,0.0%,83.3%,0.7,0.8,1.5,0.3,1.1,0.2,0.3,0.3,1.5
4,Vinicius Malachias,1999-12-01,"2,09",BRA,C,2021,U.Corinthians,BRA-2,12,17.1,7.6,53.3%,36.8%,50.0%,0.8,2.4,3.3,0.8,2.4,0.6,0.4,1.3,5.3
5,Vinicius Malachias,1999-12-01,"2,09",BRA,C,2021,Uniao Corinthians,BRA-4,10,29.2,15.8,47.1%,30.4%,69.4%,1.8,5.7,7.5,1.6,2.6,1.5,0.8,1.9,17.1
6,Vinicius Malachias,1999-12-01,"2,09",BRA,C,21-22,U.Corinthians,BRA-1,30,12.2,4.6,52.0%,28.8%,66.7%,0.8,1.5,2.4,0.5,1.6,0.5,0.3,0.5,3.7
7,Vinicius Malachias,1999-12-01,"2,09",BRA,C,22-23,U.Corinthians,BRA-1,32,13.1,5.8,51.1%,9.5%,67.3%,0.8,1.8,2.6,0.7,2.2,0.3,0.3,0.7,3.5
8,Vinicius Malachias,1999-12-01,"2,09",BRA,C,2023,Colonias,PAR-1,15,31.3,12.1,50.0%,35.6%,61.1%,1.1,6.1,7.1,1.1,2.5,1.4,0.9,1.3,14.5
9,Vinicius Malachias,1999-12-01,"2,09",BRA,C,23-24,U.Corinthians,BRA-1,38,17.3,6.2,51.1%,20.0%,69.8%,0.9,2.4,3.3,0.8,2.8,0.5,0.2,1.0,4.4
10,Vinicius Malachias,1999-12-01,"2,09",BRA,C,2024,Colonias,PAR-1,7,32.4,8.7,46.5%,22.2%,64.3%,0.4,4.6,5.0,2.4,2.9,1.6,0.6,1.7,9.7
11,Vinicius Malachias,1999-12-01,"2,09",BRA,C,24-25,Bigua,URU-1,8,16.6,5.6,48.7%,0.0%,77.8%,2.0,1.5,3.5,0.8,2.6,0.8,0.3,1.1,5.0
12,Vinicius Malachias,1999-12-01,"2,09",BRA,C,24-25,Ferro,ARG-1,8,18.8,9.0,60.4%,0.0%,61.5%,1.0,1.4,2.4,0.4,3.3,0.6,0.6,0.6,6.8
