,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Vitor Benite,1990-02-20,"1,94",BRA,SG,2009,Pinheiros,BRA-1,31,21.4,6.9,42.0%,43.5%,66.0%,0.3,1.4,1.7,1.8,1.7,0.2,0.7,0.0,0.0
2,Vitor Benite,1990-02-20,"1,94",BRA,SG,10-11,Sesi/Franca,LSA-1,5,20.6,10.2,50.0%,28.6%,77.8%,0.8,0.8,1.6,1.4,2.6,0.2,1.2,1.0,5.0
3,Vitor Benite,1990-02-20,"1,94",BRA,SG,2011,Limeira,BRA-2,9,24.1,10.7,48.6%,45.5%,93.8%,0.4,2.6,3.0,4.4,1.8,0.1,1.8,1.1,12.9
4,Vitor Benite,1990-02-20,"1,94",BRA,SG,11-12,Limeira,BRA-1,33,0.0,15.1,0.0%,0.0%,0.0%,0.0,0.0,2.5,3.4,0.0,0.1,1.3,0.0,0.0
5,Vitor Benite,1990-02-20,"1,94",BRA,SG,2012,Flamengo,LSA-1,9,31.0,14.6,52.0%,48.6%,92.6%,0.2,2.7,2.9,2.8,2.4,0.1,1.7,1.8,12.8
6,Vitor Benite,1990-02-20,"1,94",BRA,SG,12-13,Flamengo,BRA-1,41,27.9,13.2,48.7%,45.6%,77.0%,0.5,2.1,2.6,1.8,2.2,1.1,0.2,0.2,10.8
7,Vitor Benite,1990-02-20,"1,94",BRA,SG,2013,Flamengo,LAM-1,6,33.3,16.2,52.3%,32.3%,80.8%,1.3,4.0,5.3,3.7,1.5,0.0,1.2,1.0,16.0
8,Vitor Benite,1990-02-20,"1,94",BRA,SG,2013,Flamengo,LSA-1,3,36.0,13.7,50.0%,16.7%,91.7%,0.3,1.7,2.0,3.0,2.3,0.3,2.3,2.3,9.0
9,Vitor Benite,1990-02-20,"1,94",BRA,SG,13-14,Flamengo,BRA-1,4,28.0,13.5,40.9%,33.3%,100.0%,0.3,1.3,1.5,0.5,3.8,0.8,0.0,0.8,5.5
10,Vitor Benite,1990-02-20,"1,94",BRA,SG,14-15,Flamengo,BRA-1,38,23.4,11.7,54.9%,41.2%,83.3%,0.4,1.9,2.4,1.5,2.1,0.1,0.8,1.5,9.8
11,Vitor Benite,1990-02-20,"1,94",BRA,SG,2015,Flamengo,LAM-1,8,23.9,11.9,48.7%,40.7%,88.9%,0.1,2.6,2.8,2.0,2.5,0.0,0.6,1.4,8.5
12,Vitor Benite,1990-02-20,"1,94",BRA,SG,15-16,Murcia,ESP-1,35,16.7,7.5,40.0%,34.6%,80.4%,0.2,1.3,1.6,0.7,2.4,0.0,0.7,0.8,4.1
13,Vitor Benite,1990-02-20,"1,94",BRA,SG,16-17,Murcia,Eurocup-1,14,21.3,9.8,49.2%,27.5%,80.0%,0.7,1.7,2.4,1.2,2.1,0.1,0.6,1.3,6.4
14,Vitor Benite,1990-02-20,"1,94",BRA,SG,16-17,Murcia,ESP-1,32,21.4,12.1,46.0%,40.1%,79.7%,0.3,1.7,2.0,1.2,2.7,0.0,0.5,1.1,7.3
15,Vitor Benite,1990-02-20,"1,94",BRA,SG,17-18,Murcia,BCL-1,15,20.1,11.5,36.9%,36.7%,83.9%,0.4,1.8,2.2,0.9,2.3,0.0,0.3,1.3,4.4
16,Vitor Benite,1990-02-20,"1,94",BRA,SG,17-18,Murcia,ESP-1,34,19.3,11.4,52.2%,41.0%,85.7%,0.2,1.3,1.5,0.8,2.1,0.0,0.5,1.1,8.0
17,Vitor Benite,1990-02-20,"1,94",BRA,SG,18-19,Cedevita,Eurocup-1,7,18.6,11.4,54.5%,41.5%,62.5%,0.6,1.0,1.6,1.4,2.1,0.0,0.4,0.9,7.3
18,Vitor Benite,1990-02-20,"1,94",BRA,SG,18-19,Cedevita,ADR-1,7,20.0,8.6,41.7%,38.7%,50.0%,0.3,1.9,2.1,1.0,2.7,0.0,0.6,1.4,3.9
19,Vitor Benite,1990-02-20,"1,94",BRA,SG,18-19,Burgos SP,ESP-1,22,20.5,11.9,52.7%,41.2%,78.6%,0.5,1.9,2.4,0.8,2.7,0.0,0.5,0.7,8.3
20,Vitor Benite,1990-02-20,"1,94",BRA,SG,19-20,Burgos SP,ESP-1,29,23.7,14.1,46.5%,41.7%,85.1%,0.3,2.1,2.4,1.6,2.7,0.0,0.8,1.7,10.3
21,Vitor Benite,1990-02-20,"1,94",BRA,SG,19-20,Burgos SP,BCL-1,19,21.5,14.0,43.2%,48.6%,87.0%,0.3,1.7,2.1,2.3,2.8,0.1,0.6,1.1,9.6
22,Vitor Benite,1990-02-20,"1,94",BRA,SG,20-21,Burgos SP,BCL-1,12,23.3,15.3,53.2%,37.0%,90.2%,0.7,2.2,2.8,1.9,2.5,0.0,0.9,1.3,10.7
23,Vitor Benite,1990-02-20,"1,94",BRA,SG,20-21,Burgos SP,ESP-1,37,23.3,13.5,45.6%,45.0%,82.1%,0.2,2.0,2.2,1.2,2.5,0.1,0.8,1.1,10.2
24,Vitor Benite,1990-02-20,"1,94",BRA,SG,21-22,Burgos SP,BCL-1,7,26.3,11.3,41.4%,35.9%,76.5%,0.3,1.7,2.0,2.0,2.6,0.1,0.1,1.4,5.0
25,Vitor Benite,1990-02-20,"1,94",BRA,SG,21-22,Burgos SP,ESP-1,31,25.8,12.5,45.7%,34.0%,84.2%,0.4,1.9,2.3,1.6,2.9,0.1,0.7,1.4,8.1
26,Vitor Benite,1990-02-20,"1,94",BRA,SG,22-23,Gran Canaria,Eurocup-1,22,17.0,8.3,35.1%,35.9%,86.0%,0.2,1.3,1.5,0.5,2.3,0.0,0.4,0.4,5.0
27,Vitor Benite,1990-02-20,"1,94",BRA,SG,22-23,Gran Canaria,ESP-1,29,17.0,8.1,49.5%,32.2%,76.9%,0.3,1.3,1.6,0.8,2.1,0.0,0.8,0.9,4.4
28,Vitor Benite,1990-02-20,"1,94",BRA,SG,23-24,Palencia,ESP-1,33,22.8,11.6,43.6%,36.4%,83.1%,0.4,1.9,2.3,1.5,2.5,0.0,0.4,1.1,7.8
29,Vitor Benite,1990-02-20,"1,94",BRA,SG,24-25,Real Betis,ESP-2,18,28.8,14.1,44.7%,33.9%,83.3%,0.3,2.5,2.8,1.6,2.5,0.0,1.1,2.4,9.9
