,NOME,DATA DE NASCIMENTO,ALTURA,NACIONALIDADE,POSIÇÃO,TEMPORADA,EQUIPE,LIGA,J,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK
1,Yago dos Santos,1999-03-03,"1,75",BRA,PG,16-17,Paulistano,BRA-1,26,12.3,7.1,32.5%,36.2%,80.3%,0.4,0.5,1.0,1.8,1.2,0.0,0.4,0.9,6.1
2,Yago dos Santos,1999-03-03,"1,75",BRA,PG,2017,Paulistano,BRA-3,23,22.1,11.6,49.4%,32.3%,88.0%,0.5,3.3,3.8,5.1,2.1,0.0,0.7,2.3,15.0
3,Yago dos Santos,1999-03-03,"1,75",BRA,PG,17-18,Paulistano,BRA-1,39,15.7,8.6,50.5%,34.1%,80.0%,0.4,1.7,2.1,3.0,1.4,0.0,0.5,1.4,9.7
4,Yago dos Santos,1999-03-03,"1,75",BRA,PG,2018,Paulistano,LAM-1,3,15.7,8.7,45.5%,44.4%,66.7%,0.7,2.3,3.0,2.0,1.0,0.0,0.3,0.7,8.0
5,Yago dos Santos,1999-03-03,"1,75",BRA,PG,18-19,Paulistano,LAM-1,8,24.9,13.0,33.3%,45.7%,85.2%,1.1,3.0,4.1,5.8,1.9,0.0,1.3,2.0,14.4
6,Yago dos Santos,1999-03-03,"1,75",BRA,PG,18-19,Paulistano,BRA-1,25,27.2,13.3,49.5%,36.8%,86.8%,0.4,3.2,3.6,4.8,1.4,0.0,0.8,2.5,17.2
7,Yago dos Santos,1999-03-03,"1,75",BRA,PG,2019,Paulistano,BRA-3,3,26.3,15.0,47.1%,21.7%,77.8%,0.7,2.7,3.3,4.0,1.7,0.0,1.0,3.0,15.7
8,Yago dos Santos,1999-03-03,"1,75",BRA,PG,2019,Paulistano,BRA-4,1,37.0,16.0,50.0%,30.0%,75.0%,4.0,2.0,6.0,5.0,2.0,0.0,2.0,5.0,18.0
9,Yago dos Santos,1999-03-03,"1,75",BRA,PG,19-20,Paulistano,BRA-1,25,31.6,16.0,46.2%,36.8%,84.1%,0.8,2.2,3.0,5.4,2.2,0.0,1.0,2.2,17.0
10,Yago dos Santos,1999-03-03,"1,75",BRA,PG,20-21,Flamengo,LAM-1,8,23.6,9.4,57.1%,28.3%,80.0%,0.5,1.9,2.4,5.6,1.9,0.1,1.1,1.6,9.5
11,Yago dos Santos,1999-03-03,"1,75",BRA,PG,20-21,Flamengo,BRA-1,37,25.6,11.5,59.0%,36.8%,84.2%,0.3,2.7,3.0,5.9,2.0,0.0,0.9,1.6,15.6
12,Yago dos Santos,1999-03-03,"1,75",BRA,PG,21-22,Flamengo,LAM-1,7,22.9,13.3,37.5%,51.2%,93.8%,0.7,2.6,3.3,5.1,1.0,0.0,1.0,2.4,14.7
13,Yago dos Santos,1999-03-03,"1,75",BRA,PG,21-22,Flamengo,BRA-1,41,27.6,12.9,52.9%,36.6%,82.3%,0.8,3.1,3.9,5.9,1.8,0.1,0.9,1.7,15.6
14,Yago dos Santos,1999-03-03,"1,75",BRA,PG,22-23,Ulm,Eurocup-1,20,26.6,13.0,49.2%,39.1%,88.7%,0.4,2.6,3.0,6.1,1.9,0.1,0.7,2.1,17.6
15,Yago dos Santos,1999-03-03,"1,75",BRA,PG,22-23,Ulm,GER-1,45,26.8,15.0,49.7%,38.3%,81.5%,0.8,2.7,3.5,5.6,2.1,0.0,0.7,2.7,13.1
16,Yago dos Santos,1999-03-03,"1,75",BRA,PG,2023,Chicago B.,NBA,4,19.5,8.3,20.0%,44.4%,100.0%,0.8,2.5,3.3,4.5,0.8,0.0,0.3,3.5,8.5
17,Yago dos Santos,1999-03-03,"1,75",BRA,PG,23-24,Crvena zvezda,EUROL-1,28,20.3,8.7,46.7%,40.2%,80.7%,0.3,1.6,2.0,3.9,1.8,0.0,0.5,1.9,9.1
18,Yago dos Santos,1999-03-03,"1,75",BRA,PG,23-24,Crvena zvezda,ADR-1,31,22.2,10.7,58.3%,38.5%,85.9%,0.2,2.4,2.5,4.4,1.6,0.0,0.5,1.7,13.1
19,Yago dos Santos,1999-03-03,"1,75",BRA,PG,23-24,Crvena zvezda,SRB-1,3,25.7,19.7,75.0%,68.4%,100.0%,0.7,2.0,2.7,7.0,3.7,0.0,0.3,1.3,22.0
20,Yago dos Santos,1999-03-03,"1,75",BRA,PG,24-25,Crvena zvezda,ADR-1,18,18.7,8.6,47.1%,37.9%,86.1%,0.2,1.4,1.7,4.2,1.8,0.0,0.5,1.2,10.3
21,Yago dos Santos,1999-03-03,"1,75",BRA,PG,24-25,Crvena zvezda,EUROL-1,25,17.8,6.8,42.9%,37.9%,85.7%,0.1,1.3,1.4,3.5,1.6,0.0,0.5,1.2,8.1
