Player Name,Team Name,League,Nationality,Country ,Age,Height,Pos,GP,EFF,MPG,PPG,RPG,ORB,DRB,APG,BPG,SPG,PF,FTA,FTM,FT%,2PA,2PM,2P%,3PA,3PM,3P%,TO,TYPE
Speranzini Gabe,Pinda,CBB,Brazilian,Brazil,8,205,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Santos Isaiah,Seven Lakes,,Brazilian,USA,15,190,SG,,,,,,,,,,,,,,,,,,,,,,High School
Vazquez Mathias,Real Betis 2,EBA,Brazilian,Spain,16,202,G/F,23,"15,2",23,"8,9","8,9","2,9",6,"1,3","0,3","1,3","2,3","4,9","2,6","53,1","5,8","2,7","46,6","1,1","0,3","27,3","1,4",
Vicentini Francesco,North Broward Prep,,Brazilian,USA,16,195,G,,,,,,,,,,,,,,,,,,,,,,High School
Gluck Joao,Murcia,U19 Championship,Brazilian,Spain,16,194,G,30,"15,8","25,9","13,9","2,4","0,5","1,9","6,6",0,"0,8","1,6","2,4","2,1","87,5","8,3","4,4",53,"2,6",1,"38,5","2,8",
Ruiz Arthur,Genova MyBK,Serie C,Brazilian,Italy,16,185,SG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Araujo Danillo,Pinheiros,LDB U20,Brazilian,Brazil,17,199,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
De Oliveira Lucas,Badajoz,U19 Championship,Brazilian,Spain,17,199,SF,28,"8,9","18,8","6,7","5,1","1,6","3,5","0,2","0,8","0,5","2,3","2,7","1,4","51,9","4,7","2,7","57,4",0,0,0,"0,9",
Pastre Pedro,Stellazzurra,EYBL U16,Brazilian,Italy,17,196,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Campana Eduardo,Pato,NBB,Brazilian,Brazil,17,192,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lopes Caio,Bauru,NBB,Brazilian,Brazil,17,190,G,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kemm Nolan,GBA Lions,U19 League,Brazilian,Czech.Republic,17,189,PG,3,10,21,"8,3","4,3",2,"2,3","3,3","0,3","0,7","1,3","4,7","2,7","57,4","4,7","1,3","27,7","2,7",1,37,"1,7",
Silva Guilhermy,Curtatone,Serie C,Brazilian,Italy,17,184,PG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Monteiro Matheus,Corinthians,NBB,Brazilian,Brazil,17,176,G,2,0,2,0,0,0,0,"0,5",0,0,0,0,0,0,0,0,0,0,0,0,"0,5",
Almeida Davi,Curtatone,Serie C,Brazilian,Italy,17,,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guimaraes Gustavo,Riviera Prep,,Brazilian,USA,18,211,C,,,,,,,,,,,,,,,,,,,,,,High School
Boff Brayan,Caxias do Sul,NBB,Brazilian,Brazil,18,203,F,1,-1,11,3,1,0,1,0,1,0,1,2,1,50,2,1,50,2,0,0,1,
Sampaio Zion,Pine Crest,,Brazilian,USA,18,198,G,,,,,,,,,,,,,,,,,,,,,,High School
Nau Bernardo,Blumenau,CBB,Brazilian,Brazil,18,187,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
