,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PACE, RATINGS, EFFICIENCY",,,,,,,,,,,SHOOTING FREQUENCY AND EFFICIENCY,,,,,,,,,,,PLAYMAKING,,,,,,,REBOUNDS,,,,,,,,,DEF. EFFORTS,,FOULS,,ADVANCED METRICS,,,,,,,,,TEAM AND OPPONENT STATS - PLAYER ON,,,,,,,,,,,,TEAM AND OPPONENT STATS - PLAYER OFF,,,,,,,,,,,,TEAM AND OPPONENT STATS - ON-OFF DIFFERENCE,,,,,,,,,,,
Name,Team,GP,W,L,W%,MIN,PTS,2PTM,2PTA,2PT%,3PTM,3PTA,3PT%,FGM,FGA,FG%,FTM,FTA,FT%,OR,DR,TR,AST,TO,ST,BLK,BLKA,PF,DF,VAL,#ERROR!,POSS,USG%,PPP,OFF RTG (ON),DEF RTG (ON),NET RTG (ON),IND OFF RTG,IND DEF RTG,IND NET RTG,eFG%,TS%,RIM FREQ,RIM PPS,PAINT FREQ,PAINT PPS,MID FREQ,MID PPS,C3 FREQ,C3 PPS,L3 FREQ,L3 PPS,FT Ratio,TO%,AST%,AST% (2P),AST% (3P),AST% (FT),AST Ratio,AST/TO,OR%,OR% (after 2P),OR% (after 3P),OR% (after FT),DR%,DR% (after 2P),DR% (after 3P),DR% (after FT),TR%,ST%,BLK%,PF 100 Poss,DF 100 Poss,PER,OFF WIN SHARE,DEF WIN SHARE,WIN SHARE,WIN Share per 40,OBPM,DBPM,BPM,VORP,TM PACE (ON),TM OFF RTG (ON),TM DEF RTG (ON),TM NET RTG (ON),TM TS% (ON),TM OR% (ON),TM TO% (ON),TM FT Ratio (ON),OPP TS% (ON),OPP OR% (ON),OPP TO% (ON),OPP FT Ratio (ON),TM PACE (OFF),TM OFF RTG (OFF),TM DEF RTG (OFF),TM NET RTG (OFF),TM TS% (OFF),TM OR% (OFF),TM TO% (OFF),TM FT Ratio (OFF),OPP TS% (OFF),OPP OR% (OFF),OPP TO% (OFF),OPP FT Ratio (OFF),TM PACE (NET),TM OFF RTG (NET),TM DEF RTG (NET),TM NET RTG (NET),TM TS% (NET),TM OR% (NET),TM TO% (NET),TM FT Ratio (NET),OPP TS% (NET),OPP OR% (NET),OPP TO% (NET),OPP FT Ratio (NET)
Eduardo Francisco,Angola,5,1,4,20%,"15,8","2,4","0,8",2,40%,0,0,-,"0,8",2,40%,"0,8",2,40%,"1,4","0,8","2,2",0,"0,6","0,4",0,0,"2,2",0,"-0,2","5,2","3,6",15%,"0,67","117,5","96,7","20,8","70,6","93,1","-22,6",40%,40%,33%,1,22%,"0,5",0%,-,0%,-,0%,-,28%,17%,0%,0%,0%,0%,0%,0,"14,00%","13,80%","12,50%","0,00%","8,90%","4,00%","12,00%","0,00%","11,60%","2,20%","0,00%","12,1",0,"2,9","-0,1","0,1",0,"0,009","-14,8","-1,9","-16,8","-3,2","79,8","117,5","96,7","20,8",55%,42%,12%,10%,54%,31%,23%,10%,"78,7","85,2","111,8","-26,6",42%,40%,14%,14%,59%,28%,14%,16%,"1,1","32,3","-15,1","47,4",13%,2%,-2%,-4%,-5%,3%,8%,-6%
Gerson Domingos,Angola,5,1,4,20%,"19,2",8,"1,6",3,53%,"0,8","5,8",14%,"2,4","8,8",27%,"2,4","2,4",100%,"0,4",1,"1,4","5,2","1,6",1,0,0,"1,6",0,6,"-6,6","11,6",22%,"0,69",86,107,-21,"104,5","101,5",3,32%,40%,17%,"1,2",3%,0,5%,"1,33",2%,3,48%,"0,32",10%,14%,33%,37%,56%,20%,31%,"3,3","1,50%","3,60%","0,00%","0,00%","4,60%","1,90%","6,30%","0,00%","2,90%","2,30%","0,00%","3,7",0,"17,9","0,1","0,2","0,3","0,107","-4,8","-4,9","-9,7",-2,"80,6",86,107,-21,42%,31%,12%,15%,57%,25%,17%,15%,"76,9",103,"109,7","-6,7",49%,50%,14%,11%,59%,37%,16%,14%,"3,7",-17,"-2,7","-14,3",-8%,-20%,-2%,4%,-2%,-12%,1%,1%
Dimitri Maconda,Angola,5,1,4,20%,7,"0,4","0,2","1,4",14%,0,"0,6",0%,"0,2",2,10%,0,"0,6",0%,0,0,0,"0,4",1,"0,2",0,0,"1,2",0,"-3,6","-9,6","3,2",5%,"0,13",86,"109,8","-23,8","26,6","109,5","-82,9",10%,9%,19%,"0,67",25%,0,0%,-,0%,-,19%,0,6%,31%,2%,2%,0%,3%,11%,"0,4","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,40%","0,00%","2,3",0,-27,"-0,3","0,1","-0,1","-0,151","-15,7","-0,5","-16,2","-1,4","80,9",86,"109,8","-23,8",42%,32%,13%,14%,59%,23%,16%,16%,"75,1","108,9","104,9",4,52%,54%,13%,10%,56%,47%,17%,11%,"5,9","-22,9","4,9","-27,8",-10%,-22%,1%,4%,3%,-24%,-1%,5%
Gerson Goncalves,Angola,5,1,4,20%,26,"8,4","1,4","3,6",39%,"1,2","6,4",19%,"2,6",10,26%,2,"3,4",59%,"0,4","2,6",3,2,"1,2","1,4","0,6",0,"1,8",0,"3,6","0,6","12,6",27%,"0,67",97,98,"-0,9","73,4","89,2","-15,7",32%,37%,16%,"1,2",5%,0,8%,"0,4",10%,1,41%,"0,46",11%,10%,14%,11%,29%,10%,14%,"1,7","1,80%","1,90%","1,70%","0,00%","14,00%","14,30%","11,90%","0,00%","7,40%","3,60%","1,90%","4,6",0,"9,8","-0,3","0,3",0,"-0,004","-9,3","0,4","-8,9","-2,5","78,5",97,98,"-0,9",48%,31%,14%,13%,53%,26%,17%,11%,"79,6","89,2","119,1",-30,42%,47%,13%,13%,63%,33%,16%,18%,"-1,1","7,8","-21,2",29,6%,-17%,1%,0%,-11%,-7%,2%,-6%
Childe Dundao,Angola,5,1,4,20%,"28,6",14,"1,4",4,35%,"2,6","8,4",31%,4,"12,4",32%,"3,4","4,2",81%,"0,4","2,2","2,6","5,2","1,6","1,6",0,0,"1,8",0,"10,8","-3,4","15,8",37%,"0,89","101,1","114,1",-13,"112,3","101,8","10,4",43%,49%,15%,1,8%,"0,33",3%,0,0%,-,53%,"0,93",11%,10%,49%,46%,100%,46%,25%,"3,3","2,00%","2,00%","2,00%","0,00%","13,80%","7,90%","13,20%","6,70%","7,20%","4,70%","0,00%","5,3",0,"24,2","0,2","0,2","0,4","0,101",7,"-1,5","5,5",3,"78,8","101,1","114,1",-13,49%,36%,14%,11%,60%,26%,15%,13%,"79,2","86,8","103,3","-16,5",42%,43%,13%,14%,57%,31%,18%,16%,"-0,4","14,3","10,8","3,6",7%,-7%,1%,-3%,3%,-5%,-3%,-3%
Jilson Bango,Angola,5,1,4,20%,23,"9,4","3,6","8,2",44%,"0,2","0,2",100%,"3,8","8,4",45%,"1,6","2,2",73%,"4,4",3,"7,4","1,2","0,8",1,"0,4",0,"3,2",0,"10,2","0,6","10,2",41%,"0,92","104,1",101,"3,1","108,9","81,3","27,6",46%,50%,57%,"1,03",18%,"0,44",6%,"0,67",0%,-,2%,3,10%,8%,25%,27%,17%,29%,11%,"1,5","36,10%","28,90%","44,00%","0,00%","30,00%","13,80%","24,00%","62,50%","33,30%","5,10%","2,30%","16,3",0,"26,4","0,1","0,2","0,3","0,101","6,5","4,7","11,2","4,2","72,8","104,1",101,"3,1",46%,44%,11%,12%,53%,28%,17%,6%,"81,3","89,6","110,7","-21,1",45%,39%,14%,13%,60%,29%,16%,17%,"-8,4","14,5","-9,7","24,2",1%,5%,-3%,-1%,-6%,-1%,1%,-11%
Leonel Paulo,Angola,5,1,4,20%,"8,2","1,8","0,8","1,2",67%,0,"0,6",0%,"0,8","1,8",44%,"0,2","0,4",50%,"0,6","1,2","1,8",0,"0,8","0,2",0,0,"2,6",0,"-0,8","-9,8","2,8",19%,"0,64","65,1","142,9","-77,8","58,3","125,3",-67,44%,45%,36%,"1,2",7%,2,0%,-,0%,-,21%,0,7%,29%,0%,0%,0%,0%,0%,0,"8,60%","6,30%","4,50%","100,00%","19,40%","7,70%","10,50%","75,00%","13,60%","1,60%","0,00%","20,6",0,"-5,4","-0,1",0,"-0,1","-0,138","-14,6","-2,9","-17,5","-1,8","77,2","65,1","142,9","-77,8",34%,34%,20%,9%,67%,32%,8%,22%,"79,3","98,5","101,3","-2,8",47%,41%,12%,14%,56%,28%,18%,13%,"-2,1","-33,4","41,6",-75,-13%,-7%,8%,-4%,11%,4%,-10%,9%
Antonio Monteiro,Angola,5,1,4,20%,"10,6","3,2","0,2","0,8",25%,"0,6",4,15%,"0,8","4,8",17%,1,"1,8",56%,"0,8","0,6","1,4","0,2","0,2",0,"0,2",0,"1,2",0,"-1,2","-5,6","5,8",19%,"0,55","93,1",120,"-26,9","60,4","117,2","-56,8",23%,29%,14%,"0,5",0%,-,0%,-,3%,0,66%,"0,47",14%,3%,2%,3%,0%,0%,3%,1,"5,40%","3,60%","7,10%","0,00%","5,50%","4,50%","6,30%","0,00%","5,40%","0,00%","1,10%","4,8",0,"-2,2","-0,2",0,"-0,2","-0,164","-12,3","-3,7",-16,"-2,1",79,"93,1",120,"-26,9",46%,30%,13%,16%,63%,22%,13%,18%,79,"93,2","102,4","-9,2",45%,45%,13%,11%,55%,32%,18%,13%,0,"-0,1","17,6","-17,7",1%,-15%,0%,5%,8%,-11%,-5%,6%
Joao Fernandes,Angola,5,1,4,20%,"8,2","0,4",0,0,-,0,1,0%,0,1,0%,"0,4","0,4",100%,0,0,0,"0,6","0,2","0,6",0,0,"1,8",0,"-1,4","-0,4","1,4",4%,"0,29","94,4",103,"-8,5","53,2","100,3","-47,1",0%,17%,0%,-,0%,-,0%,-,0%,-,71%,0,14%,14%,5%,9%,0%,0%,30%,3,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,20%","0,00%","6,7",0,-5,"-0,1","0,1","0,1","0,053","-13,2","0,1","-13,1","-1,3","77,2","94,4",103,"-8,5",47%,26%,12%,13%,56%,26%,18%,12%,"80,1","92,4",111,"-18,6",44%,47%,14%,13%,59%,31%,15%,16%,"-2,9",2,-8,10,2%,-21%,-3%,0%,-3%,-5%,3%,-4%
Bruno Fernando,Angola,5,1,4,20%,21,"11,2","3,4","6,6",52%,"0,4","1,4",29%,"3,8",8,48%,"3,2","4,4",73%,"1,6","2,6","4,2","1,2","1,6",1,"0,8",0,"2,6",0,"8,8","-0,6","11,6",52%,"0,97","89,6","91,8","-2,2","103,8","74,2","29,6",50%,56%,38%,"1,18",12%,"0,86",7%,"0,5",2%,0,10%,1,17%,14%,43%,27%,150%,0%,9%,"0,8","14,80%","16,10%","13,60%","0,00%","33,30%","41,20%","17,40%","18,20%","22,60%","5,20%","5,90%","13,4",0,26,0,"0,2","0,3","0,105","10,4",8,"18,4","5,9","81,6","89,6","91,8","-2,2",46%,30%,16%,13%,54%,23%,22%,14%,"78,2","94,3","113,8","-19,5",45%,43%,12%,13%,59%,31%,15%,14%,"3,4","-4,7","-22,1","17,3",1%,-13%,4%,-1%,-6%,-7%,7%,0%
